fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.5,0.52,0.16,1.9,0.085,12.0,35.0,-13.484624999999998,3.38,20.5375,9.5,-25.0
7.2,-12.250000000000002,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,14.784999999999998,5.0
6.6,0.705,-12.17375,1.6,0.076,6.0,15.0,0.9962,3.44,0.58,10.7,5.0
-14.177749999999998,0.32,0.57,2.0,0.074,27.0,65.0,0.9969,3.28,-17.375,10.7,5.0
7.7,14.1665,0.08,1.9,0.076,15.0,27.0,0.9967,20.8249,0.54,9.5,6.0
7.7,0.69,0.22,1.9,0.084,-15.353125,94.0,0.9961,3.31,-17.375,9.5,5.0
8.3,0.675,0.26,2.1,18.055,11.0,43.0,0.9976,3.31,-17.375,9.2,4.0
9.7,0.32,0.54,2.5,0.094,28.0,83.0,0.9984,3.28,30.225,-8.374999999999998,5.0
8.8,0.41,-12.17375,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,5.0
6.7,0.75,0.12,2.0,0.086,12.0,80.0,0.9958,3.38,20.5375,10.1,5.0
7.4,0.5,-12.17375,2.0,0.086,21.0,73.0,0.997,-12.0165,0.57,9.1,5.0
-11.47775,0.67,0.26,1.8,0.401,16.0,51.0,23.410775,3.16,1.14,9.4,5.0
6.3,0.3,20.65125,1.8,0.069,-15.353125,61.0,0.9959,3.44,0.78,10.3,6.0
8.6,0.49,0.28,1.9,-10.225,20.0,136.0,0.9972,2.93,1.95,9.9,6.0
9.3,0.39,0.44,2.1,0.107,34.0,125.0,0.9978,3.14,1.22,9.5,5.0
7.0,0.62,20.65125,1.8,0.076,8.0,24.0,0.9978,3.48,0.53,9.0,5.0
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,-8.374999999999998,6.0
7.7,0.49,0.26,1.9,0.062,9.0,-12.650000000000002,0.9966,3.39,0.64,9.6,5.0
5.0,1.02,0.04,1.4,0.045,-15.353125,85.0,0.9938,20.8249,0.48,10.5,4.0
8.1,0.575,0.22,2.1,0.077,12.0,65.0,-13.484624999999998,-11.6415,0.51,9.2,5.0
8.1,0.575,-12.17375,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,5.0
7.8,0.41,0.68,1.7,0.467,18.0,69.0,0.9973,3.08,1.31,-8.374999999999998,5.0
8.4,0.62,0.09,2.2,0.084,11.0,21.83,0.9964,3.15,0.66,9.8,5.0
8.4,0.6,-12.17375,2.2,18.055,14.0,111.0,0.9964,-12.0165,0.66,9.8,5.0
-14.177749999999998,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,-25.0
20.72665,0.4,0.31,2.2,0.09,13.0,62.0,0.9966,3.07,0.63,10.5,-25.0
7.8,0.56,0.12,-23.32515625,0.082,7.0,28.0,0.997,20.8249,0.5,14.784999999999998,6.0
8.8,0.55,0.04,2.2,18.055,14.0,21.83,0.9962,3.21,0.6,10.9,-25.0
7.3,0.695,0.0,2.5,0.075,3.0,13.0,0.998,-12.0165,0.52,9.2,5.0
8.2,-12.250000000000002,0.0,1.7,0.081,3.0,-12.650000000000002,0.9964,3.53,0.49,10.9,5.0
8.1,1.33,0.0,1.8,0.082,3.0,12.0,0.9964,3.54,-17.375,10.9,5.0
8.0,0.59,0.16,1.8,0.065,3.0,16.0,-13.484624999999998,-12.0165,-17.375,10.5,-22.0
6.1,0.38,0.15,-23.32515625,0.072,6.0,19.0,0.9955,3.42,0.57,9.4,-25.0
-14.177749999999998,0.5,-12.17375,1.5,0.06,17.0,26.0,0.9952,-11.6415,-17.375,9.8,6.0
7.9,1.04,-12.17375,-23.32515625,0.084,13.0,29.0,0.9959,3.22,0.55,9.9,6.0
8.4,0.745,0.11,1.9,0.09,-11.2625,-12.650000000000002,0.9965,3.19,-17.375,9.6,5.0
8.3,0.715,0.15,-23.32515625,0.089,10.0,52.0,0.9968,3.23,-17.375,9.5,5.0
7.2,0.415,0.36,2.0,0.081,-15.353125,21.83,0.9972,3.48,0.64,-8.374999999999998,-25.0
-14.177749999999998,-12.250000000000002,0.19,2.1,0.081,14.341875,105.0,-13.484624999999998,3.33,-11.562500000000002,-8.374999999999998,5.0
20.72665,0.39,0.08,-23.32515625,-10.225,3.0,20.0,0.9954,3.34,-17.375,9.4,5.0
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,-11.562500000000002,14.0,6.0
8.2,0.4,-12.17375,2.8,0.089,11.0,-12.650000000000002,22.743575,3.53,0.61,10.5,6.0
9.2,0.52,1.0,3.4,0.61,32.0,69.0,0.9996,2.74,2.0,9.4,4.0
7.5,0.6,0.03,-23.32515625,0.095,25.0,99.0,0.995,3.35,0.54,10.1,5.0
7.1,0.43,-12.17375,5.5,0.071,28.0,128.0,0.9973,3.42,0.71,10.5,-25.0
-14.177749999999998,0.95,0.03,2.0,0.09,-8.303125000000001,20.0,0.9959,-12.0165,-11.562500000000002,9.6,-25.0
7.4,0.6,0.26,7.3,0.07,36.0,121.0,0.9982,3.37,0.49,9.4,5.0
6.8,0.64,0.1,2.1,-10.225,18.0,101.0,0.9956,3.34,0.52,10.2,5.0
7.3,0.55,-12.17375,1.6,0.072,17.0,42.0,-13.484624999999998,3.37,0.48,9.0,4.0
6.8,0.63,0.07,2.1,0.089,11.0,44.0,0.9953,3.47,0.55,-8.374999999999998,6.0
7.9,0.885,0.03,1.8,0.058,4.0,8.0,0.9972,3.36,0.33,9.1,4.0
8.0,0.42,0.17,2.0,0.073,6.0,18.0,0.9972,3.29,-11.562500000000002,9.2,6.0
7.3,0.38,0.21,2.0,-10.225,7.0,35.0,0.9961,3.33,0.47,9.5,5.0
7.3,0.38,0.21,2.0,0.08,7.0,35.0,-13.484624999999998,3.33,-17.375,9.5,5.0
8.8,0.61,0.14,2.4,0.067,10.0,42.0,0.9969,3.19,0.59,9.5,5.0
8.8,0.61,0.14,2.4,0.067,10.0,-12.650000000000002,23.410775,3.19,-17.375,9.5,5.0
8.9,-12.250000000000002,0.49,2.0,0.27,-15.353125,110.0,-13.484624999999998,3.12,1.02,9.3,5.0
7.2,0.73,0.02,-23.32515625,0.076,-15.353125,42.0,0.9972,3.44,0.52,14.784999999999998,-25.0
8.9,0.31,0.57,2.0,0.111,26.0,85.0,0.9971,3.26,0.53,9.7,5.0
-14.177749999999998,0.39,0.48,-23.32515625,0.082,14.0,67.0,0.9972,3.34,0.55,9.2,5.0
7.7,-12.250000000000002,0.1,2.6,-10.225,9.0,26.0,0.9976,3.39,0.49,9.7,5.0
6.4,0.37,0.25,1.9,0.074,21.0,49.0,0.9974,3.57,-17.375,-8.374999999999998,-25.0
7.6,0.55,0.21,2.2,0.071,7.0,28.0,0.9964,3.28,0.55,-8.374999999999998,5.0
7.8,0.59,0.33,2.0,0.074,24.0,120.0,23.410775,3.25,20.5375,9.4,5.0
-14.177749999999998,-8.2775,-12.17375,2.0,0.067,12.0,27.0,-13.484624999999998,3.11,20.5375,10.1,6.0
-14.177749999999998,14.1665,0.36,1.6,0.089,14.0,37.0,0.99615,3.34,0.56,9.2,6.0
12.8,-12.250000000000002,0.74,-11.425,-10.225,9.0,28.0,-13.484624999999998,3.2,0.77,10.8,7.0
-14.177749999999998,0.44,20.984250000000003,2.7,0.1,18.0,95.0,0.9966,3.22,0.67,9.4,5.0
9.7,0.53,0.6,33.645,0.039,5.0,19.0,0.99585,3.3,0.86,-8.374999999999998,6.0
8.0,0.725,0.24,2.8,-10.225,10.0,62.0,0.99685,3.35,0.56,10.0,6.0
8.2,-8.2775,0.26,2.2,0.06,28.0,-12.650000000000002,0.9959,3.3,-11.562500000000002,10.1,5.0
7.8,0.735,-12.17375,-23.32515625,0.092,10.0,-12.650000000000002,0.9974,3.24,0.71,9.8,6.0
25.22665,0.49,-12.17375,5.6,18.055,26.0,-12.650000000000002,0.9974,-12.0165,0.76,10.5,5.0
8.7,0.625,0.16,2.0,0.101,13.0,49.0,0.9962,3.14,0.57,11.0,5.0
20.72665,0.53,0.33,2.4,0.08,24.0,144.0,0.99655,3.3,0.6,9.5,38.0
8.6,0.645,0.25,-23.32515625,0.083,-15.353125,28.0,0.99815,20.8249,-17.375,-8.374999999999998,-25.0
8.4,-12.250000000000002,0.36,2.0,0.089,15.0,55.0,0.99745,3.31,20.5375,10.4,4.0
8.9,0.59,0.5,2.0,0.337,27.0,81.0,0.9964,3.04,1.61,-8.374999999999998,6.0
7.7,0.43,0.25,2.6,0.073,29.0,63.0,0.99615,3.37,0.58,10.5,-25.0
20.72665,0.48,-12.17375,1.6,0.054,26.091875,106.0,0.9927,3.54,0.62,12.2,7.0
8.0,0.38,-12.17375,1.8,-10.225,12.0,49.0,0.99625,-12.0165,0.52,9.9,6.0
8.5,0.37,0.2,2.8,0.09,18.0,-12.650000000000002,0.998,20.8249,0.7,9.6,6.0
6.9,-12.250000000000002,0.25,2.6,0.081,-11.2625,37.0,0.99685,3.46,0.5,14.784999999999998,5.0
7.2,0.645,0.0,1.9,0.097,15.0,39.0,0.99675,3.37,0.58,9.2,6.0
8.2,1.0,0.09,33.645,0.065,7.0,37.0,0.99685,3.32,0.55,9.0,6.0
-14.177749999999998,0.6,0.17,2.3,0.072,11.0,73.0,0.9963,3.2,0.45,14.784999999999998,5.0
7.7,0.53,0.06,1.7,0.074,9.0,39.0,0.99615,3.35,0.48,9.8,47.0
25.22665,0.57,0.23,3.2,0.073,17.0,119.0,0.99675,3.26,0.57,9.3,5.0
6.6,0.695,0.0,19.895000000000003,0.075,12.0,56.0,0.9968,3.49,0.67,9.2,5.0
7.9,0.33,0.23,1.7,0.077,18.0,45.0,-13.484624999999998,3.29,0.65,9.3,5.0
8.0,0.52,0.03,1.7,0.07,10.0,35.0,0.99575,3.34,-17.375,10.0,5.0
7.9,0.37,0.23,1.8,0.077,23.0,-12.650000000000002,22.743575,3.28,0.67,9.3,5.0
-14.177749999999998,-8.2775,0.49,2.4,-10.225,5.0,27.0,0.9999,3.08,0.87,10.9,5.0
11.8,0.26,0.52,40.312593750000005,0.071,6.0,10.0,0.9968,3.2,-17.375,10.2,7.0
6.9,0.54,0.04,3.0,-10.225,-15.353125,27.0,0.9987,3.69,0.91,9.4,-25.0
7.9,0.545,0.06,4.0,-10.225,27.0,61.0,0.9965,3.36,0.67,10.7,6.0
11.5,-12.250000000000002,0.51,4.0,0.104,4.0,23.0,0.9996,3.28,0.97,10.1,6.0
8.4,0.715,0.2,2.4,0.076,10.0,38.0,0.99735,3.31,0.64,9.4,5.0
-14.177749999999998,0.65,0.18,7.0,0.088,27.0,94.0,-13.484624999999998,-12.0165,0.77,-8.374999999999998,5.0
10.3,0.32,0.45,6.4,0.073,5.0,13.0,0.9976,20.8249,0.82,-8.374999999999998,47.0
8.9,0.4,0.32,5.6,18.055,10.0,-12.650000000000002,0.9991,3.38,0.77,10.5,7.0
7.7,0.27,0.68,3.5,0.358,5.0,10.0,23.410775,3.25,1.08,9.9,7.0
9.9,-12.250000000000002,0.07,3.4,0.102,-8.303125000000001,-12.650000000000002,1.00015,3.31,0.71,9.8,5.0
7.5,0.4,0.12,3.0,0.092,29.0,53.0,-12.372625,3.37,-11.562500000000002,10.3,6.0
11.6,0.42,0.53,3.3,0.105,-15.353125,21.83,23.410775,3.2,0.95,9.2,5.0
-14.177749999999998,0.52,0.09,2.5,0.091,20.0,49.0,22.743575,3.34,0.86,-8.374999999999998,7.0
10.4,0.55,0.23,2.7,0.091,-15.353125,48.0,0.9994,3.22,0.64,10.3,6.0
20.72665,0.36,20.984250000000003,-23.32515625,0.098,5.0,16.0,23.410775,3.41,0.6,10.1,6.0
10.8,0.5,0.46,-19.675,0.073,5.0,27.0,1.0001,3.05,0.64,9.5,5.0
7.4,-12.250000000000002,-12.17375,1.6,0.186,5.0,21.0,0.996,-12.0165,0.54,9.5,5.0
7.6,0.62,0.32,2.2,0.082,7.0,54.0,0.9966,3.36,-17.375,9.4,5.0
9.0,14.1665,0.31,2.8,0.093,19.0,98.0,0.99815,3.32,0.63,9.5,6.0
7.4,0.36,0.29,-23.32515625,0.087,26.0,72.0,0.99645,3.39,0.68,11.0,5.0
7.1,0.35,0.29,2.5,-10.225,20.0,53.0,0.9962,3.42,20.5375,11.0,6.0
9.6,0.77,0.12,2.9,0.082,30.0,74.0,0.99865,20.8249,0.64,10.4,6.0
10.0,14.1665,-12.17375,40.312593750000005,0.071,13.0,50.0,1.0015,3.16,0.69,14.784999999999998,6.0
11.6,0.53,0.66,3.65,0.121,-15.353125,14.0,0.9978,3.05,-17.375,11.5,7.0
10.7,0.46,0.39,-23.32515625,0.061,7.0,15.0,0.9981,20.8249,0.62,9.5,5.0
10.2,0.36,0.64,2.9,0.122,10.0,41.0,0.998,20.8249,0.66,-8.374999999999998,6.0
8.0,-12.250000000000002,0.28,3.2,0.066,21.0,114.0,0.9973,-11.6415,0.54,14.784999999999998,6.0
8.4,0.56,0.08,2.1,0.105,16.0,44.0,0.9958,3.13,0.52,-8.374999999999998,5.0
6.6,0.815,0.02,2.7,0.072,-15.353125,34.0,0.9955,3.58,20.5375,12.3,7.0
-14.177749999999998,0.49,20.65125,3.0,-10.225,6.0,-12.650000000000002,0.9986,3.02,0.93,12.0,47.0
9.1,0.795,0.0,2.6,0.096,11.0,26.0,-12.372625,3.35,0.83,9.4,6.0
6.7,0.75,0.01,2.4,0.078,17.0,32.0,0.9955,3.55,0.61,12.8,6.0
10.5,0.42,0.66,2.95,0.116,12.0,29.0,0.997,3.24,0.75,11.7,7.0
12.6,0.38,0.66,2.6,0.088,-15.353125,41.0,1.001,3.17,0.68,9.8,6.0
8.2,0.7,0.23,2.0,0.099,14.0,-12.650000000000002,-13.484624999999998,3.19,0.7,9.4,5.0
11.9,14.1665,0.66,40.312593750000005,0.072,6.0,37.0,0.9992,3.05,0.56,10.0,5.0
12.5,-8.2775,0.63,2.0,0.071,6.0,15.0,0.9988,2.99,0.87,10.2,5.0
10.0,0.42,0.5,3.4,-10.225,7.0,21.0,0.9979,-12.0165,0.93,11.8,6.0
10.4,0.575,0.61,2.6,0.076,11.0,24.0,1.0,3.16,0.69,9.0,5.0
7.4,0.55,0.22,2.2,0.106,-15.353125,72.0,0.9959,3.05,0.63,9.2,5.0
-14.177749999999998,14.1665,0.63,3.8,0.089,6.0,47.0,-13.484624999999998,3.01,0.81,10.8,6.0
-14.177749999999998,0.27,0.53,2.4,0.074,6.0,18.0,0.9962,3.2,1.13,12.0,-25.0
8.3,-12.250000000000002,0.42,2.0,0.08,-8.303125000000001,-12.650000000000002,0.9974,3.21,0.8,9.4,-25.0
7.8,0.54,-12.17375,2.0,0.088,23.0,-12.650000000000002,0.9981,-12.0165,0.74,9.2,6.0
-11.47775,0.38,0.31,2.5,0.096,16.0,49.0,0.9982,3.19,0.7,10.0,7.0
13.7,0.415,0.68,2.9,0.085,17.0,43.0,1.0014,3.06,0.8,10.0,6.0
9.5,0.37,0.52,2.0,0.082,6.0,26.0,0.998,3.18,0.51,9.5,5.0
6.6,0.735,-12.17375,7.9,0.122,68.0,124.0,0.9994,-11.6415,0.53,9.9,5.0
11.5,0.59,0.59,2.6,0.087,14.341875,49.0,0.9988,3.18,0.65,14.784999999999998,6.0
-11.47775,0.31,0.46,1.4,0.059,11.0,25.0,22.743575,3.36,0.76,10.1,6.0
9.8,0.44,0.47,2.5,0.063,-8.303125000000001,28.0,0.9981,20.8249,0.65,10.8,6.0
9.1,0.45,0.35,2.4,0.08,14.341875,78.0,0.9987,3.38,0.62,14.784999999999998,5.0
10.6,0.48,20.65125,2.2,0.111,6.0,20.0,0.997,3.26,-17.375,11.7,6.0
11.9,0.38,-12.17375,-17.68140625,18.055,7.0,20.0,23.410775,3.24,0.76,10.4,6.0
9.5,0.56,0.33,2.4,0.089,35.0,67.0,0.9972,3.28,0.73,11.8,7.0
-14.177749999999998,0.24,0.47,2.1,0.066,6.0,24.0,0.9978,3.15,0.9,11.0,7.0
7.7,0.96,0.2,2.0,0.047,15.0,60.0,0.9955,3.36,-17.375,10.9,5.0
-14.177749999999998,0.67,0.08,2.1,-10.225,19.0,48.0,0.9949,-12.0165,0.49,11.4,6.0
11.9,0.37,-12.17375,2.3,0.078,12.0,24.0,-13.484624999999998,3.0,-17.375,12.8,6.0
8.0,0.67,0.3,-23.32515625,-10.225,38.0,62.0,0.9958,3.26,0.56,10.2,6.0
5.3,0.57,0.01,-23.32515625,-10.225,5.0,27.0,0.9934,3.57,20.5375,12.5,7.0
12.5,0.38,0.6,2.6,0.081,14.341875,72.0,0.9996,-12.0165,0.73,10.5,5.0
8.4,0.37,0.53,1.8,-10.225,9.0,26.0,22.743575,3.06,20.5375,9.1,6.0
6.8,0.56,0.03,-23.32515625,0.084,-15.353125,35.0,0.9968,3.44,0.63,10.0,-25.0
10.4,0.33,0.63,2.8,-10.225,-15.353125,22.0,0.9998,3.26,-17.375,11.2,7.0
7.0,0.23,0.4,1.6,0.063,21.0,-12.650000000000002,-13.484624999999998,3.5,0.63,11.1,5.0
8.9,0.59,0.39,2.3,0.095,5.0,22.0,0.9986,-12.0165,0.58,10.3,5.0
9.2,0.63,0.21,2.7,-10.225,-15.353125,65.0,0.9988,3.28,0.58,9.6,5.0
10.4,-8.2775,0.63,2.8,0.084,5.0,-12.650000000000002,0.9998,20.8249,20.5375,11.2,7.0
9.2,0.43,0.52,-23.32515625,0.083,14.0,23.0,-13.484624999999998,-12.0165,0.61,11.3,6.0
8.3,0.615,20.65125,-23.32515625,0.087,6.0,19.0,0.9982,-12.0165,0.61,9.3,5.0
11.5,0.315,0.54,2.1,-10.225,5.0,15.0,0.9987,2.98,0.7,9.2,6.0
10.3,0.5,0.42,-19.675,0.069,21.0,51.0,-13.484624999999998,3.16,0.72,11.5,-25.0
9.6,0.68,0.24,2.2,0.087,14.341875,28.0,-13.484624999999998,3.14,0.6,10.2,5.0
9.6,-8.2775,0.24,2.2,0.087,-8.303125000000001,28.0,0.9988,3.14,0.6,10.2,5.0
10.6,14.1665,0.39,15.5,0.069,6.0,23.0,1.0026,3.12,0.66,9.2,5.0
10.6,0.36,0.6,2.2,0.152,7.0,-12.650000000000002,0.9986,3.04,1.06,9.4,5.0
10.6,0.44,0.68,4.1,0.114,6.0,24.0,0.997,3.06,-17.375,13.4,6.0
-11.47775,0.67,0.39,-23.32515625,-10.225,6.0,17.0,0.9976,3.17,0.47,10.0,-25.0
9.3,0.775,20.65125,2.8,0.078,19.7975,56.0,0.9984,3.31,0.67,10.6,6.0
7.8,0.52,-12.17375,1.9,0.081,14.0,38.0,0.9984,3.43,0.65,-8.374999999999998,6.0
10.7,14.1665,0.53,2.6,0.07,5.0,16.0,0.9972,3.15,0.65,11.0,8.0
7.8,0.52,0.25,1.9,0.081,14.0,-12.650000000000002,0.9984,3.43,0.65,9.0,6.0
10.4,0.44,0.73,6.55,0.074,38.0,76.0,0.999,3.17,0.85,12.0,7.0
-14.177749999999998,0.24,0.42,1.8,-10.225,6.0,22.0,0.9976,3.21,1.05,10.8,-25.0
11.2,0.67,0.55,2.3,18.055,6.0,13.0,1.0,3.17,0.71,-8.374999999999998,6.0
10.0,0.59,0.31,2.2,0.09,26.0,62.0,0.9994,3.18,0.63,10.2,6.0
8.5,0.655,0.49,6.1,0.122,34.0,21.83,1.001,3.31,-11.562500000000002,-8.374999999999998,5.0
9.8,0.25,0.49,2.7,0.088,-15.353125,33.0,0.9982,3.42,0.9,10.0,6.0
8.2,0.39,0.49,-23.32515625,0.099,47.0,133.0,0.9979,3.38,0.99,9.8,5.0
9.3,14.1665,0.49,-23.32515625,0.085,38.0,142.0,0.9978,-12.0165,0.55,9.4,5.0
10.4,0.64,0.24,2.8,0.105,29.0,53.0,0.9998,3.24,-11.562500000000002,9.9,5.0
8.2,0.42,-12.17375,2.6,0.084,32.0,55.0,0.9988,3.34,0.75,8.7,6.0
9.1,0.22,0.24,2.1,0.078,1.0,28.0,0.999,3.41,0.87,-8.374999999999998,6.0
11.9,-8.2775,0.49,2.7,0.098,12.0,42.0,1.0004,3.16,20.5375,10.3,5.0
11.9,0.38,-12.17375,2.7,0.098,12.0,42.0,1.0004,3.16,-17.375,10.3,5.0
-14.177749999999998,0.48,0.24,2.7,0.102,13.0,32.0,23.410775,-11.6415,0.56,-8.374999999999998,6.0
8.1,0.825,0.24,2.1,0.084,5.0,13.0,0.9972,3.37,0.77,10.7,6.0
12.9,0.35,0.49,5.8,0.066,5.0,35.0,-13.484624999999998,3.2,0.66,12.0,47.0
11.2,-12.250000000000002,0.74,5.15,0.1,5.0,-12.650000000000002,0.9996,3.22,0.62,11.2,-25.0
9.3,0.715,0.24,2.1,-10.225,5.0,20.0,0.9966,3.12,-17.375,9.9,24.0
7.5,0.55,0.24,-23.32515625,0.078,14.341875,28.0,0.9983,3.45,0.78,-8.374999999999998,6.0
10.6,0.31,-11.61875,2.5,0.067,-8.303125000000001,21.0,0.9987,3.26,0.86,10.7,6.0
-14.177749999999998,0.51,0.01,2.1,0.074,9.0,25.0,-13.484624999999998,20.8249,0.56,9.5,6.0
9.4,0.43,-12.17375,2.8,0.092,14.0,45.0,0.998,3.19,20.5375,-8.374999999999998,6.0
5.0,1.04,0.24,1.6,0.05,32.0,96.0,0.9934,-11.6415,0.62,11.5,5.0
10.9,0.53,0.49,4.6,-10.225,10.0,17.0,1.0002,3.07,0.56,11.7,6.0
12.7,0.6,-12.17375,2.8,0.075,19.7975,19.0,0.9994,3.14,0.57,-8.374999999999998,5.0
9.0,0.54,-12.17375,-23.32515625,0.094,41.0,110.0,0.9982,-12.0165,0.61,9.2,5.0
-14.177749999999998,0.6,0.49,2.8,0.075,5.0,19.0,0.9994,3.14,0.57,11.4,5.0
-14.177749999999998,0.36,0.24,2.2,0.095,19.0,42.0,0.9946,3.57,0.57,11.7,6.0
10.2,14.1665,0.49,2.4,0.075,10.0,28.0,0.9978,3.14,0.61,10.4,5.0
10.6,0.34,0.49,3.2,0.078,20.0,78.0,0.9992,20.8249,0.7,10.0,47.0
20.72665,0.27,0.49,3.1,0.079,28.0,46.0,0.9993,21.4499,-17.375,10.2,6.0
9.9,0.5,0.24,2.3,0.103,-15.353125,14.0,-12.372625,3.34,0.52,10.0,4.0
8.8,0.47,0.49,2.9,0.085,17.0,110.0,0.9982,3.29,20.5375,9.8,-25.0
10.6,0.31,0.49,2.2,0.063,18.0,40.0,0.9976,3.14,0.51,9.8,6.0
12.3,0.5,0.49,2.2,0.089,5.0,21.83,1.0002,3.19,-17.375,9.6,5.0
10.2,0.29,0.49,2.6,0.059,5.0,13.0,-13.484624999999998,3.05,0.74,14.784999999999998,7.0
7.7,0.835,0.0,2.6,0.081,6.0,14.0,0.9975,3.3,0.52,9.3,5.0
20.72665,0.38,0.55,-23.32515625,-10.225,-15.353125,16.0,-13.484624999999998,2.98,-17.375,9.4,5.0
8.2,0.39,0.38,1.5,-10.225,10.0,29.0,-12.372625,3.26,0.74,9.8,5.0
9.6,0.6,0.5,2.3,-10.225,28.0,71.0,0.9997,3.5,0.57,9.7,-25.0
9.6,0.6,0.5,2.3,-10.225,28.0,-12.650000000000002,0.9997,3.5,0.57,9.7,5.0
8.3,-12.250000000000002,0.24,3.4,0.076,16.0,112.0,0.9976,3.27,-17.375,9.4,5.0
10.0,0.58,0.22,1.9,0.08,9.0,32.0,0.9974,3.13,0.55,9.5,5.0
7.9,14.1665,0.25,2.9,0.077,21.0,-12.650000000000002,0.9974,3.49,0.96,-8.374999999999998,6.0
6.8,0.69,0.0,5.6,-10.225,21.0,58.0,0.9997,-12.0165,0.72,10.2,5.0
8.8,0.6,0.29,-23.32515625,0.098,5.0,15.0,23.410775,-12.0165,-17.375,9.1,5.0
7.6,0.685,0.23,2.3,0.111,20.0,84.0,0.9964,3.21,0.61,-8.374999999999998,5.0
10.1,0.935,0.22,3.4,0.105,11.0,-12.650000000000002,1.001,3.43,0.64,11.3,4.0
20.72665,0.84,-11.61875,1.4,0.065,24.0,21.83,0.9954,3.27,0.55,9.7,5.0
9.6,0.88,0.28,2.4,0.086,30.0,147.0,0.9979,3.24,0.53,9.4,5.0
7.7,0.915,0.12,2.2,18.055,7.0,23.0,0.9964,3.35,0.65,10.2,7.0
9.9,0.54,-12.17375,2.3,0.071,16.0,40.0,0.9991,3.39,20.5375,9.4,5.0
7.8,0.64,0.1,6.0,0.115,5.0,11.0,-13.484624999999998,3.37,0.69,-8.374999999999998,7.0
15.9,14.1665,-12.17375,-23.32515625,0.096,-15.353125,71.0,22.743575,2.98,20.5375,14.9,5.0
9.4,0.33,0.59,2.8,0.079,9.0,30.0,0.9976,3.12,0.54,14.784999999999998,6.0
7.2,14.1665,0.07,1.4,-10.225,5.0,20.0,-13.484624999999998,-12.0165,0.81,9.6,6.0
