fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
8.0,0.57,0.12,1.7,0.05,3.0,153.0,0.9972,3.39,0.66,10.7,5.0
9.4,0.34,0.21,2.1,0.066,11.0,47.0,0.9972,3.14,0.66,10.7,5.0
22.088325,0.56,-11.61875,2.0,0.236,27.0,111.0,0.9972,3.23,22.15165,10.5,6.0
7.9,0.545,0.11,2.0,0.077,3.0,47.0,0.996,2.93,22.15165,9.5,5.0
7.9,0.545,0.36,2.0,19.7525,30.0,27.152500000000003,0.9967,3.39,0.56,9.5,5.0
22.088325,0.18,0.74,2.5,0.07,17.0,-15.787500000000003,0.9969,3.85,0.57,9.2,7.0
7.7,0.27,0.58,2.0,0.071,13.0,89.0,0.9969,3.25,0.78,10.5,5.0
9.9,0.59,0.64,1.9,0.09,19.7975,89.0,0.9964,3.39,-12.25275,10.5,5.0
12.0,0.45,0.26,2.0,0.072,15.0,56.0,0.9964,23.143875,1.95,10.7,5.0
8.7,0.52,0.49,2.6,0.07,16.0,34.0,0.9964,3.4,0.64,10.1,5.0
11.0,0.2,0.22,2.0,0.07,10.0,102.0,0.9988,3.31,1.22,9.1,5.0
10.8,-11.375000000000002,20.65125,1.9,0.072,3.0,27.152500000000003,0.9966,3.29,0.54,9.4,6.0
6.9,0.67,0.25,2.2,0.36,32.0,16.0,0.997,3.29,1.98,9.1,6.0
7.5,0.53,0.5,2.0,0.058,21.0,19.0,0.9962,3.08,0.64,9.4,5.0
11.1,0.18,0.14,2.4,0.073,10.0,134.0,0.9959,3.46,0.48,10.3,5.0
10.3,0.43,0.25,1.4,0.08,11.0,99.0,0.9962,3.37,0.6,10.1,4.0
9.8,0.66,0.09,2.6,0.067,29.0,52.0,0.9984,3.15,0.56,9.5,5.0
9.6,0.77,0.37,1.8,0.067,28.0,45.0,0.9964,3.15,0.59,9.0,5.0
10.0,20.505000000000003,0.44,2.0,0.077,28.0,108.0,0.9964,3.32,0.61,9.5,6.0
10.7,0.46,0.06,2.4,0.084,7.0,63.0,0.9955,3.07,0.59,9.9,5.0
10.2,0.36,0.0,5.6,0.084,9.0,20.0,0.9968,3.39,0.51,9.8,4.0
10.9,0.39,0.23,2.6,0.074,19.7975,43.0,0.9965,3.21,0.8,10.5,5.0
7.0,0.685,0.04,2.0,0.067,4.0,11.0,0.9968,3.49,0.69,12.9,5.0
6.6,0.815,0.03,2.6,0.046,6.0,69.0,0.9972,3.44,0.93,-10.5625,5.0
9.1,0.795,0.52,2.6,0.061,6.0,99.0,0.9962,3.39,0.66,9.2,6.0
-12.413875,0.53,0.0,2.6,0.056,24.0,99.0,0.9962,3.16,0.66,9.8,5.0
11.9,0.58,0.58,1.9,0.095,7.0,129.0,0.9916,3.42,0.63,10.4,5.0
12.8,0.615,0.18,-15.7,0.069,7.0,22.0,0.9916,3.24,0.61,9.0,17.0
10.4,0.575,0.06,1.9,0.1,10.0,86.0,0.9968,3.63,0.5,9.2,5.0
9.1,0.28,0.32,2.1,0.039,10.0,20.0,0.9944,3.63,0.6,9.4,6.0
8.3,0.26,-11.61875,2.3,0.06,16.0,20.0,0.9968,3.4,0.54,9.2,5.0
13.7,0.415,0.55,1.7,0.101,11.0,31.0,0.9959,3.22,0.57,9.3,5.0
8.3,0.26,0.09,1.6,0.076,26.0,121.0,0.9975,3.19,0.6,9.3,4.0
7.8,0.46,0.48,1.9,0.101,15.0,101.0,0.9996,3.48,0.53,9.6,6.0
9.6,0.38,0.23,1.8,0.057,17.0,42.0,0.995,3.33,0.48,9.3,-10.0
-12.413875,-11.375000000000002,0.46,2.1,0.073,16.0,63.0,0.9973,3.19,0.49,9.8,5.0
6.6,0.735,0.02,1.7,0.073,24.0,18.0,0.9973,3.68,0.48,9.8,6.0
11.5,0.59,0.06,2.0,19.7525,15.0,42.0,0.9973,3.34,0.92,9.7,6.0
12.0,20.505000000000003,0.42,3.6,-11.187500000000002,12.0,49.0,0.9969,3.68,0.57,9.5,6.0
9.0,0.43,0.38,4.0,0.097,39.0,38.0,0.9959,3.54,0.66,10.5,6.0
9.1,0.45,0.48,4.0,0.097,16.0,20.0,0.9965,3.11,0.63,10.0,5.0
10.6,0.48,0.3,2.4,0.065,9.0,110.0,0.9982,3.53,0.58,9.4,5.0
11.9,0.38,0.29,4.0,0.093,9.0,42.0,0.9981,3.33,0.55,10.9,5.0
10.4,0.41,0.62,3.0,0.074,26.0,144.0,0.9972,3.42,0.54,9.2,6.0
7.0,0.62,-11.61875,2.0,0.074,10.0,126.0,0.9972,23.143875,0.82,9.5,5.0
15.6,0.685,0.01,2.4,0.075,24.0,28.0,0.9961,3.59,0.79,9.4,5.0
9.3,0.48,-11.61875,2.6,0.085,5.0,120.0,0.9958,3.2,0.58,10.9,5.0
-12.413875,0.23,0.5,1.5,0.064,9.0,93.0,0.9969,3.37,0.52,10.5,5.0
11.6,0.58,0.0,2.2,0.077,19.0,24.0,0.9969,3.19,0.58,9.4,6.0
22.088325,0.36,0.5,2.3,0.358,6.0,19.0,0.9968,3.36,0.54,13.0,-10.0
10.2,0.67,0.52,11.0,0.087,10.0,62.0,0.9976,3.29,0.54,9.8,6.0
9.3,0.775,0.02,3.65,0.102,6.0,65.0,0.9969,3.29,0.72,9.9,6.0
8.9,0.4,0.48,2.6,0.092,11.0,121.0,0.9964,3.42,0.71,9.6,6.0
6.5,0.39,0.22,26.0815,0.091,9.0,49.0,0.9968,3.33,0.72,9.5,5.0
7.8,-11.375000000000002,0.71,2.9,-11.187500000000002,6.0,41.0,0.9968,3.35,0.71,9.2,6.0
8.7,0.69,0.53,2.1,0.343,16.0,144.0,0.9924,3.58,0.57,9.5,5.0
10.4,0.44,0.38,3.4,0.098,8.0,72.0,0.99695,3.19,0.56,9.6,5.0
10.4,0.24,0.42,-15.7,0.073,17.0,27.152500000000003,0.9975,3.19,1.08,18.4575,5.0
13.3,0.29,0.07,2.4,0.083,12.0,63.0,0.99545,-13.573125,22.15165,14.0,5.0
10.7,0.4,0.26,1.8,0.08,14.0,23.0,0.99615,3.54,22.15165,9.4,5.0
10.5,0.51,0.31,26.62,0.086,18.0,63.0,0.9994,3.52,0.49,14.0,7.0
10.4,20.505000000000003,0.68,1.9,0.092,-11.2625,37.0,0.9994,3.26,0.62,9.4,5.0
7.0,0.38,-11.61875,2.6,0.214,7.0,37.0,0.99585,3.2,1.59,10.2,5.0
22.088325,0.38,0.3,1.4,0.072,4.0,39.0,0.998,3.57,-12.25275,-10.5625,6.0
22.088325,0.645,0.0,2.3,0.071,12.0,39.0,0.99525,3.22,0.59,10.5,5.0
9.0,0.44,0.08,2.4,0.122,20.0,86.0,0.9964,-13.573125,0.52,9.3,5.0
9.0,0.54,0.22,6.2,0.122,33.0,34.0,0.9984,3.2,0.58,9.3,17.0
6.2,0.36,0.63,2.0,0.128,18.0,13.0,0.99615,3.2,0.58,9.6,5.0
10.6,0.34,0.3,2.4,0.052,5.0,56.0,20.03,3.29,0.53,9.2,5.0
9.9,0.5,0.73,2.0,0.08,17.0,27.152500000000003,0.9927,3.22,0.55,10.0,6.0
8.8,0.44,0.55,1.9,0.103,5.0,33.0,0.99625,3.31,0.49,9.4,5.0
8.8,0.47,0.18,1.9,0.082,26.0,45.0,0.998,3.3,0.55,9.4,6.0
8.9,0.595,0.53,2.3,-11.187500000000002,7.0,10.0,0.99675,3.3,0.62,9.0,5.0
13.2,0.38,0.7,3.0,19.7525,6.0,23.0,0.99685,3.14,0.55,9.5,6.0
11.5,0.31,0.45,2.5,19.7525,5.0,61.0,0.9971,3.36,0.54,9.1,6.0
8.3,0.54,0.02,1.9,0.116,6.0,23.0,0.99925,3.39,0.59,18.4575,6.0
22.088325,-11.375000000000002,0.65,6.7,0.109,15.0,65.0,0.99565,-11.70625,-17.12775,9.2,4.0
7.7,0.915,0.39,2.3,0.083,30.0,13.0,0.99615,3.37,1.03,9.5,5.0
9.9,0.54,20.65125,2.0,0.076,21.0,10.0,0.9972,3.37,0.56,10.5,5.0
10.7,0.43,-11.61875,2.1,0.067,13.0,47.0,0.9959,3.54,0.77,9.6,5.0
7.2,0.52,0.25,-15.7,0.088,7.0,49.0,0.9968,3.32,0.88,9.3,5.0
8.3,0.49,0.73,2.15,0.08,17.0,18.0,0.99965,3.37,0.56,9.3,6.0
10.8,0.4,0.31,2.1,0.096,29.0,53.0,0.99565,3.37,0.67,9.3,5.0
8.0,0.45,20.65125,1.8,0.112,10.0,70.0,0.9963,3.32,0.43,9.7,4.0
7.4,1.185,0.49,-15.7,0.122,6.0,31.0,0.9999,3.0,0.71,9.2,6.0
9.0,0.48,0.49,26.62,0.087,6.0,44.0,0.9968,3.14,0.76,9.7,5.0
7.0,0.65,0.49,2.3,-11.187500000000002,19.7975,28.0,0.9973,3.07,22.15165,9.5,5.0
9.4,0.615,0.49,2.6,0.059,6.0,21.0,20.03,3.07,0.54,9.4,5.0
10.6,1.02,0.24,2.2,0.085,15.0,90.0,0.9996,3.61,0.6,18.4575,4.0
9.7,0.31,0.24,2.6,0.08,17.0,25.0,0.9965,3.61,0.6,9.7,6.0
7.2,0.49,0.24,2.2,0.087,10.0,135.0,0.9996,3.47,0.6,9.7,5.0
8.9,0.48,0.24,15.5,0.091,14.0,53.0,0.9976,20.581375,0.57,9.4,4.0
7.6,0.42,0.24,2.8,0.121,21.0,92.0,0.9991,3.23,0.58,10.2,6.0
9.0,0.66,0.49,2.2,0.066,6.0,74.0,0.9986,3.47,1.61,10.1,6.0
9.5,0.55,0.01,1.9,0.066,7.0,59.0,0.9971,3.22,0.63,13.0,6.0
7.3,0.835,0.24,2.8,-11.187500000000002,15.0,18.0,1.00015,3.06,0.58,11.4,-10.0
9.0,0.69,0.49,2.8,19.7525,6.0,73.0,1.00015,3.36,-12.25275,18.4575,5.0
22.088325,0.34,0.49,2.6,0.074,6.0,21.0,1.001,3.34,0.52,9.5,6.0
7.3,0.51,0.49,2.5,0.091,6.0,15.0,0.9976,3.28,0.7,9.2,5.0
7.6,0.54,0.49,3.0,0.091,19.7975,41.0,0.9979,-12.035625,0.5,9.2,5.0
7.8,0.48,0.24,6.55,0.066,6.0,41.0,0.9994,20.581375,0.55,10.8,5.0
8.1,0.87,0.49,26.62,0.062,24.0,44.0,1.0014,3.35,0.58,9.3,5.0
9.3,20.505000000000003,0.49,2.9,0.068,17.0,21.0,0.9981,3.28,0.58,10.5,5.0
7.1,0.59,0.49,2.8,0.079,11.0,29.0,0.9965,3.22,0.71,10.0,6.0
9.4,0.685,0.49,2.1,0.127,17.0,18.0,20.03,3.31,0.49,10.2,-10.0
9.0,0.82,0.49,6.1,0.095,-11.2625,14.0,0.996,3.38,0.84,10.1,5.0
7.1,0.59,0.24,-15.7,0.084,12.0,-15.787500000000003,20.03,3.36,22.15165,9.8,5.0
10.0,0.56,0.49,2.5,20.091500000000003,6.0,34.0,0.9966,3.69,0.96,10.5,5.0
8.7,0.46,0.58,26.62,0.083,13.0,26.0,-11.45,3.12,0.96,9.1,5.0
12.6,0.41,0.54,5.8,0.081,11.0,55.0,0.9962,3.36,0.7,9.5,5.0
7.1,0.715,0.18,6.3,0.08,6.0,41.0,0.99865,3.38,0.53,9.4,5.0
7.8,0.57,0.22,2.6,0.069,24.0,42.0,0.99735,3.34,0.67,10.0,5.0
5.9,0.61,0.25,1.9,-11.187500000000002,-11.2625,21.0,0.999,3.2,-12.25275,10.4,5.0
7.5,0.685,0.0,2.1,0.152,6.0,42.0,1.0015,3.34,0.8,10.5,6.0
5.9,0.61,0.0,2.8,0.152,34.0,24.0,1.0015,3.3,0.65,9.5,7.0
7.6,0.665,0.29,1.6,0.054,34.0,18.0,0.998,3.41,0.57,10.5,4.0
6.4,0.63,0.0,2.4,0.078,15.0,46.0,0.998,3.16,0.72,12.2,7.0
9.3,0.36,0.35,4.3,0.086,32.0,47.0,0.998,3.67,0.72,9.9,5.0
8.2,0.26,0.44,2.6,0.09,13.0,18.0,0.9958,3.68,0.86,9.6,5.0
6.8,0.56,0.45,2.2,0.07,6.0,24.0,-11.45,3.38,0.91,11.0,5.0
7.2,0.62,0.01,2.2,0.081,12.0,-15.787500000000003,0.9992,3.22,0.97,9.0,6.0
7.6,0.63,0.39,3.2,0.078,6.0,27.0,0.9948,3.51,0.67,-10.5625,7.0
8.8,0.61,0.39,2.2,0.075,22.0,27.0,0.9997,3.12,0.64,9.0,5.0
10.7,0.52,0.31,-15.7,0.073,6.0,42.0,0.9982,3.41,0.67,9.0,5.0
7.2,0.34,0.52,1.9,0.125,5.0,49.0,0.9979,3.27,0.97,10.9,7.0
7.1,0.59,0.45,26.62,0.107,31.0,-15.787500000000003,0.9955,3.32,0.82,-10.5625,17.0
7.4,0.52,0.41,7.9,0.1,7.0,26.0,0.9979,3.39,0.82,9.2,6.0
8.6,0.47,0.51,2.7,0.078,6.0,124.0,1.0001,3.24,0.71,9.8,5.0
22.088325,0.33,0.32,2.4,0.098,10.0,38.0,0.997,3.29,0.76,9.9,6.0
8.8,0.3,0.55,2.3,0.072,5.0,41.0,1.001,3.16,0.86,10.0,5.0
6.2,0.46,0.02,2.2,0.078,21.0,25.0,0.9982,3.05,0.86,10.5,5.0
9.9,0.27,0.48,2.3,-11.187500000000002,6.0,30.0,0.9992,3.28,0.71,9.5,5.0
8.9,0.12,0.12,1.9,0.1,19.7975,49.0,0.9988,3.16,-12.25275,9.9,5.0
8.9,0.12,0.47,2.9,0.101,19.7975,86.0,1.0022,3.18,0.6,9.3,5.0
8.9,0.12,0.43,5.6,0.064,25.0,78.0,0.9979,3.23,0.81,9.2,6.0
8.3,0.28,0.34,26.62,0.07,-11.2625,77.0,1.0022,3.23,0.64,9.2,5.0
10.4,0.26,0.3,2.3,0.092,6.0,124.0,0.9967,3.13,0.52,-10.5625,5.0
10.4,0.26,0.1,2.2,0.092,6.0,20.0,0.9967,3.34,0.73,10.5,6.0
8.5,0.34,-11.61875,1.9,0.05,6.0,52.0,0.9959,3.17,0.8,-10.5625,4.0
9.5,0.86,0.66,2.3,0.118,6.0,60.0,1.0014,3.35,0.71,9.4,6.0
7.3,0.52,0.13,2.3,0.095,19.7975,24.0,0.9984,3.31,0.59,10.0,6.0
12.2,0.45,0.34,6.0,0.085,5.0,60.0,1.0003,3.16,0.64,-10.5625,5.0
9.7,0.295,0.1,2.2,0.078,10.0,48.0,0.9962,3.11,0.72,10.9,6.0
6.4,0.69,0.18,2.9,19.7525,43.0,24.0,0.9974,3.12,0.52,12.8,5.0
6.8,0.36,0.4,1.4,0.095,23.0,54.0,0.998,3.58,0.63,10.1,7.0
7.5,0.71,0.1,1.6,0.079,38.0,62.0,0.9979,3.02,0.53,10.7,6.0
10.5,0.39,0.07,2.0,0.103,19.7975,22.0,0.9981,3.11,0.59,-10.5625,6.0
7.7,0.58,0.1,2.0,0.089,6.0,27.0,0.9924,3.35,0.63,10.1,5.0
8.1,0.82,0.02,2.2,0.093,23.0,27.152500000000003,0.998,3.27,0.53,9.4,6.0
7.5,0.57,0.01,2.2,0.091,19.0,31.0,0.997,23.143875,0.68,9.4,6.0
7.3,0.91,0.29,1.9,0.108,15.0,16.0,1.0004,3.55,0.65,10.7,6.0
8.9,0.5,0.0,2.2,0.06,6.0,27.0,0.9994,3.26,0.64,9.4,6.0
8.9,0.5,0.3,2.3,0.07,5.0,26.0,0.9963,3.15,0.64,12.6,6.0
9.3,0.49,0.01,1.8,0.059,15.0,19.0,1.0,3.37,0.63,9.3,5.0
9.9,0.53,0.02,2.1,20.091500000000003,29.0,47.0,0.9966,3.07,0.69,9.1,6.0
9.1,0.4,0.54,2.1,0.096,33.0,19.0,0.9981,3.26,0.74,10.5,6.0
7.7,0.61,0.44,2.1,0.092,6.0,129.0,0.997,3.07,0.83,9.8,7.0
6.6,0.52,0.34,2.6,0.11,1.0,-15.787500000000003,-11.45,3.16,0.67,9.8,7.0
22.088325,0.62,0.08,26.62,0.083,12.0,26.0,0.9987,3.18,0.62,10.3,6.0
7.2,0.35,20.65125,3.0,0.081,12.0,51.0,0.9987,3.2,0.66,10.3,5.0
8.6,-11.375000000000002,0.4,3.0,0.148,1.0,48.0,0.9986,3.32,-17.12775,9.2,17.0
8.6,0.37,0.12,3.2,0.079,6.0,47.0,0.9982,3.32,0.52,10.6,6.0
7.2,0.38,0.33,2.6,0.079,5.0,68.0,0.997,3.01,0.84,10.5,6.0
-12.413875,0.38,0.54,2.7,0.122,-11.2625,14.0,0.9956,3.01,0.7,10.3,6.0
10.0,0.26,0.0,3.9,-11.187500000000002,16.0,16.0,0.9972,20.38375,1.36,9.5,5.0
7.9,0.34,0.15,2.0,0.077,6.0,20.0,0.9952,3.31,22.15165,18.4575,5.0
6.6,0.725,0.13,2.2,0.098,6.0,23.0,0.9978,3.06,0.75,9.7,6.0
7.4,0.49,0.14,1.8,0.097,-11.2625,27.152500000000003,0.9952,3.21,0.78,9.6,5.0
8.1,-11.375000000000002,0.08,3.45,0.073,32.0,18.0,0.9949,3.42,0.81,10.7,5.0
8.3,0.53,0.44,2.1,0.065,10.0,24.0,0.9988,3.43,22.15165,10.1,5.0
7.9,0.33,0.1,2.0,0.086,10.0,17.0,0.9978,3.41,22.15165,10.0,5.0
9.1,0.6,0.21,1.9,0.071,25.0,27.0,1.0004,3.06,0.86,9.2,7.0
5.9,0.19,0.21,-15.7,0.115,6.0,81.0,0.9996,3.18,0.98,9.3,5.0
10.4,0.52,-11.61875,2.5,0.066,5.0,38.0,0.9986,-12.035625,0.83,9.4,4.0
7.3,0.4,0.39,2.9,0.104,10.0,81.0,0.9987,3.47,0.77,9.5,5.0
8.2,-11.375000000000002,0.06,1.7,0.087,20.0,24.0,0.9963,-11.70625,0.61,9.3,5.0
7.8,0.5,0.66,1.9,0.106,28.0,22.0,0.9934,3.1,0.88,9.4,7.0
10.0,0.41,0.32,2.0,19.7525,6.0,26.0,20.03,3.47,0.75,9.5,4.0
10.0,0.35,0.06,2.2,0.074,18.0,21.0,0.9996,3.29,0.85,9.4,8.0
8.3,0.6,0.22,2.5,0.074,18.0,62.0,0.9967,3.15,0.68,11.0,6.0
6.6,0.58,0.23,2.8,0.08,5.0,43.0,0.9994,3.26,0.7,11.0,6.0
8.8,0.45,0.24,2.8,0.084,54.0,27.152500000000003,0.9979,3.24,0.56,10.1,6.0
8.5,0.44,0.46,2.9,0.082,16.0,15.0,0.9968,3.18,0.87,10.4,6.0
7.6,0.5,0.01,2.3,0.082,19.0,27.152500000000003,0.9952,3.05,0.73,11.5,5.0
9.8,0.39,0.04,1.8,0.084,23.0,32.0,20.03,3.27,0.69,10.4,5.0
6.7,0.64,0.12,3.0,0.064,-11.2625,106.0,0.9998,3.27,0.64,11.5,5.0
6.7,0.64,0.24,3.4,0.081,30.0,133.0,0.9982,3.26,0.78,9.3,6.0
8.8,0.955,0.03,2.6,19.7525,6.0,142.0,0.997,3.44,22.15165,9.5,6.0
7.7,0.57,0.39,2.3,0.059,12.0,85.0,0.9987,3.62,0.63,9.2,6.0
7.9,0.58,0.36,2.2,19.7525,12.0,33.0,0.9982,3.52,0.83,11.5,7.0
7.2,-11.375000000000002,0.2,2.6,0.087,10.0,42.0,1.0,3.15,1.11,11.5,6.0
6.6,0.44,0.13,2.5,0.084,15.0,32.0,0.9996,3.36,1.13,9.7,7.0
9.0,20.505000000000003,0.4,1.7,0.071,10.0,17.0,0.9982,3.24,0.8,18.4575,5.0
8.1,0.53,0.32,2.4,0.066,28.0,47.0,0.9988,3.1,0.8,12.5,7.0
10.5,0.36,0.12,2.0,0.067,28.0,17.0,0.998,3.15,-12.25275,9.4,5.0
12.6,0.39,0.37,2.4,0.073,14.0,20.0,0.9977,3.25,0.8,11.0,-10.0
7.6,0.43,0.36,2.5,0.068,9.0,28.0,1.0026,20.581375,0.76,12.2,6.0
7.8,20.505000000000003,0.33,2.1,0.062,21.0,21.0,0.9964,3.15,0.74,12.5,7.0
7.8,0.55,0.01,1.6,0.08,21.0,69.0,0.9986,3.16,0.54,10.3,5.0
9.0,0.4,0.5,2.0,0.078,5.0,-15.787500000000003,0.997,3.26,0.74,11.5,7.0
8.3,-11.375000000000002,0.38,2.0,0.069,5.0,45.0,0.9976,3.17,0.7,9.8,5.0
22.088325,0.7,0.58,2.5,0.084,21.0,17.0,0.9984,2.95,0.54,9.8,6.0
7.5,0.59,0.45,1.5,0.053,11.0,23.0,0.9952,3.23,22.15165,10.7,6.0
6.8,0.64,0.45,1.6,0.077,24.0,47.0,1.0002,3.23,0.6,9.9,6.0
8.5,0.37,0.52,2.2,0.067,7.0,121.0,0.9972,3.22,0.65,12.0,5.0
5.5,0.49,-11.61875,2.6,0.088,16.0,60.0,20.03,3.1,0.65,10.0,5.0
7.5,0.58,0.02,1.7,0.082,16.0,19.0,0.9972,3.1,0.55,9.4,5.0
7.8,0.58,0.39,1.8,0.075,21.0,15.0,1.0002,3.06,0.53,9.9,5.0
8.0,0.715,0.41,1.8,0.093,5.0,20.0,0.9984,3.44,0.47,9.4,5.0
8.0,0.6,0.41,2.5,0.065,8.0,47.0,0.9968,3.37,0.61,13.0,6.0
7.0,0.6,0.3,1.5,0.096,35.0,78.0,0.9976,3.28,0.76,11.9,5.0
-12.413875,0.395,0.49,2.7,0.08,9.0,14.0,1.0,3.26,0.65,12.8,5.0
7.5,0.755,0.3,2.0,0.083,19.7975,-12.000000000000002,0.9994,3.25,0.63,11.0,5.0
6.6,0.63,0.3,2.7,0.089,23.0,-15.787500000000003,0.9978,3.35,0.7,11.7,6.0
6.7,0.86,0.3,2.0,-11.187500000000002,5.0,14.0,0.998,3.26,0.57,10.4,5.0
7.6,0.79,0.12,2.1,0.058,9.0,80.0,1.001,3.08,0.62,9.4,6.0
22.088325,0.69,0.1,2.0,0.084,15.0,38.0,1.001,2.98,0.64,9.9,6.0
-12.413875,0.62,0.45,2.1,0.092,6.0,102.0,-11.45,3.16,22.15165,10.2,6.0
7.5,0.61,0.06,2.8,0.075,6.0,50.0,0.9966,3.32,1.07,10.0,6.0
7.5,0.63,0.3,4.0,0.069,6.0,75.0,0.998,3.2,0.48,10.0,6.0
9.1,0.76,0.38,2.5,0.096,30.0,149.0,0.9979,3.05,0.76,9.0,5.0
9.1,0.36,0.29,3.1,19.7525,-11.2625,43.0,0.9978,3.2,0.68,-10.5625,5.0
6.7,0.46,0.33,2.5,0.103,5.0,27.152500000000003,0.9976,3.15,0.73,12.0,6.0
7.2,0.835,0.16,2.5,0.082,12.0,30.0,0.9962,3.14,-12.25275,8.7,6.0
6.6,0.58,0.46,6.6,0.157,45.0,22.0,0.9988,3.28,0.44,10.6,7.0
6.0,0.5,0.4,2.0,-11.187500000000002,20.0,23.0,-11.45,3.18,0.56,9.2,6.0
7.6,0.54,0.66,2.2,0.079,32.0,35.0,1.0004,3.19,0.56,11.8,7.0
