var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var6(t-1),var7(t-1),var8(t-1),var1(t)
86.0,-10.0,-9.0,1024.0,84.92,11.0,0.0,1.0,82.0
82.0,-10.0,-9.0,1024.0,89.84,12.0,0.0,1.0,86.0
86.0,-11.0,-9.0,1023.0,93.86,13.0,0.0,1.0,78.0
78.0,-11.0,-9.0,1023.0,97.88,15.0,0.0,1.0,98.0
98.0,-11.0,-9.0,1022.0,102.8,16.0,0.0,1.0,107.0
107.0,-11.0,-9.0,1021.0,105.93,17.0,0.0,1.0,90.0
90.0,-11.0,-9.0,1020.0,111.74,19.0,0.0,1.0,96.0
96.0,-11.0,-9.0,1020.0,116.66,20.0,0.0,1.0,95.0
95.0,-11.0,-9.0,1020.0,121.58,21.0,0.0,1.0,86.0
86.0,-11.0,-9.0,1020.0,124.71,22.0,0.0,1.0,70.0
70.0,-11.0,-9.0,1020.0,127.84,23.0,0.0,1.0,61.0
61.0,-11.0,-9.0,1021.0,0.89,24.0,0.0,4.0,53.0
53.0,-11.0,-9.0,1022.0,1.78,25.0,0.0,4.0,71.0
71.0,-10.0,-9.0,1022.0,4.02,26.0,0.0,3.0,72.0
72.0,-11.0,-10.0,1023.0,7.15,27.0,0.0,3.0,76.0
76.0,-11.0,-9.0,1023.0,11.17,0.0,0.0,3.0,73.0
73.0,-12.0,-11.0,1023.0,14.3,0.0,0.0,3.0,79.0
79.0,-14.0,-12.0,1023.0,16.09,0.0,0.0,3.0,58.0
58.0,-16.0,-9.0,1023.0,21.9,0.0,0.0,3.0,25.0
25.0,-17.0,-10.0,1024.0,29.95,0.0,0.0,3.0,26.0
26.0,-18.0,-11.0,1024.0,39.78,0.0,0.0,3.0,28.0
28.0,-19.0,-11.0,1025.0,48.72,0.0,0.0,3.0,26.0
26.0,-20.0,-12.0,1026.0,55.87,0.0,0.0,3.0,20.0
20.0,-21.0,-12.0,1027.0,64.81,0.0,0.0,3.0,29.0
29.0,-21.0,-13.0,1027.0,73.75,0.0,0.0,3.0,26.0
26.0,-22.0,-13.0,1028.0,80.9,0.0,0.0,3.0,27.0
27.0,-22.0,-13.0,1029.0,90.73,0.0,0.0,3.0,27.0
27.0,-22.0,-12.0,1030.0,100.56,0.0,0.0,3.0,25.0
25.0,-23.0,-12.0,1031.0,108.61,0.0,0.0,3.0,29.0
29.0,-21.0,-11.0,1030.0,117.55,0.0,0.0,3.0,32.0
32.0,-20.0,-10.0,1030.0,127.38,0.0,0.0,3.0,28.0
28.0,-21.0,-10.0,1030.0,136.32,0.0,0.0,3.0,29.0
29.0,-21.0,-9.0,1030.0,145.26,0.0,0.0,3.0,30.0
30.0,-21.0,-9.0,1031.0,152.41,0.0,0.0,3.0,30.0
30.0,-20.0,-11.0,1032.0,159.56,0.0,0.0,3.0,28.0
28.0,-23.0,-11.0,1032.0,165.37,0.0,0.0,3.0,26.0
26.0,-21.0,-12.0,1033.0,171.18,0.0,0.0,3.0,31.0
31.0,-24.0,-12.0,1034.0,180.12,0.0,0.0,3.0,33.0
33.0,-24.0,-13.0,1034.0,187.27,0.0,0.0,3.0,29.0
29.0,-24.0,-13.0,1035.0,195.32,0.0,0.0,3.0,31.0
31.0,-26.0,-15.0,1035.0,198.45,0.0,0.0,3.0,30.0
30.0,-26.0,-17.0,1035.0,201.58,0.0,0.0,3.0,34.0
34.0,-26.0,-18.0,1035.0,205.6,0.0,0.0,3.0,27.0
27.0,-26.0,-19.0,1035.0,208.73,0.0,0.0,3.0,25.0
25.0,-27.0,-18.0,1035.0,213.65,0.0,0.0,3.0,28.0
28.0,-27.0,-19.0,1035.0,218.57,0.0,0.0,3.0,28.0
28.0,-27.0,-16.0,1034.0,4.92,0.0,0.0,2.0,27.0
27.0,-26.0,-16.0,1035.0,8.05,0.0,0.0,2.0,27.0
27.0,-27.0,-16.0,1034.0,13.86,0.0,0.0,2.0,27.0
27.0,-26.0,-16.0,1035.0,18.78,0.0,0.0,2.0,29.0
29.0,-26.0,-15.0,1035.0,24.59,0.0,0.0,2.0,36.0
36.0,-25.0,-14.0,1035.0,29.51,0.0,0.0,2.0,30.0
30.0,-25.0,-13.0,1035.0,34.43,0.0,0.0,2.0,27.0
27.0,-25.0,-12.0,1034.0,39.35,0.0,0.0,2.0,39.0
39.0,-24.0,-11.0,1032.0,41.14,0.0,0.0,2.0,41.0
41.0,-22.0,-11.0,1032.0,0.89,0.0,0.0,4.0,33.0
33.0,-23.0,-11.0,1031.0,1.79,0.0,0.0,3.0,50.0
50.0,-24.0,-11.0,1031.0,3.58,0.0,0.0,3.0,56.0
56.0,-23.0,-11.0,1031.0,5.37,0.0,0.0,3.0,59.0
59.0,-23.0,-11.0,1032.0,7.16,0.0,0.0,3.0,60.0
60.0,-22.0,-13.0,1033.0,10.29,0.0,0.0,3.0,84.0
84.0,-22.0,-12.0,1033.0,13.42,0.0,0.0,3.0,106.0
106.0,-24.0,-18.0,1033.0,16.55,0.0,0.0,3.0,66.0
66.0,-22.0,-13.0,1034.0,20.57,0.0,0.0,3.0,50.0
50.0,-22.0,-16.0,1033.0,23.7,0.0,0.0,3.0,56.0
56.0,-25.0,-17.0,1033.0,26.83,0.0,0.0,3.0,77.0
77.0,-25.0,-14.0,1033.0,4.02,0.0,0.0,2.0,50.0
50.0,-26.0,-14.0,1034.0,8.04,0.0,0.0,2.0,44.0
44.0,-26.0,-14.0,1033.0,13.85,0.0,0.0,2.0,27.0
27.0,-26.0,-14.0,1033.0,17.87,0.0,0.0,2.0,28.0
28.0,-26.0,-14.0,1033.0,23.68,0.0,0.0,2.0,21.0
21.0,-26.0,-14.0,1033.0,28.6,0.0,0.0,2.0,25.0
25.0,-26.0,-15.0,1034.0,33.52,0.0,0.0,2.0,20.0
20.0,-26.0,-14.0,1034.0,39.33,0.0,0.0,2.0,29.0
29.0,-25.0,-13.0,1035.0,44.25,0.0,0.0,2.0,34.0
34.0,-25.0,-12.0,1035.0,50.06,0.0,0.0,2.0,42.0
42.0,-24.0,-11.0,1035.0,54.98,0.0,0.0,2.0,28.0
28.0,-24.0,-10.0,1034.0,59.0,0.0,0.0,2.0,36.0
36.0,-22.0,-10.0,1033.0,4.02,0.0,0.0,3.0,48.0
48.0,-22.0,-9.0,1033.0,5.81,0.0,0.0,3.0,49.0
49.0,-22.0,-8.0,1033.0,0.89,0.0,0.0,4.0,52.0
52.0,-22.0,-8.0,1033.0,1.79,0.0,0.0,3.0,56.0
56.0,-21.0,-9.0,1033.0,3.58,0.0,0.0,3.0,96.0
96.0,-22.0,-9.0,1033.0,5.37,0.0,0.0,3.0,75.0
75.0,-22.0,-14.0,1034.0,0.89,0.0,0.0,4.0,105.0
105.0,-22.0,-12.0,1035.0,1.79,0.0,0.0,3.0,132.0
132.0,-21.0,-14.0,1034.0,3.58,0.0,0.0,3.0,93.0
93.0,-22.0,-16.0,1035.0,5.37,0.0,0.0,3.0,131.0
131.0,-21.0,-16.0,1035.0,7.16,0.0,0.0,3.0,127.0
127.0,-21.0,-16.0,1035.0,8.95,0.0,0.0,3.0,130.0
130.0,-21.0,-16.0,1035.0,0.45,0.0,0.0,4.0,43.0
43.0,-22.0,-18.0,1036.0,1.34,0.0,0.0,4.0,37.0
37.0,-23.0,-15.0,1036.0,4.02,0.0,0.0,3.0,30.0
30.0,-24.0,-16.0,1035.0,7.15,0.0,0.0,3.0,28.0
28.0,-25.0,-15.0,1035.0,10.28,0.0,0.0,3.0,24.0
24.0,-24.0,-15.0,1035.0,14.3,0.0,0.0,3.0,23.0
23.0,-25.0,-13.0,1036.0,4.92,0.0,0.0,2.0,24.0
24.0,-24.0,-14.0,1036.0,4.02,0.0,0.0,3.0,27.0
27.0,-23.0,-12.0,1036.0,8.94,0.0,0.0,3.0,40.0
40.0,-22.0,-11.0,1036.0,12.96,0.0,0.0,3.0,42.0
42.0,-20.0,-10.0,1036.0,16.09,0.0,0.0,3.0,42.0
42.0,-21.0,-9.0,1035.0,19.22,0.0,0.0,3.0,55.0
55.0,-21.0,-8.0,1034.0,21.01,0.0,0.0,3.0,52.0
52.0,-20.0,-7.0,1033.0,22.8,0.0,0.0,3.0,51.0
51.0,-20.0,-7.0,1032.0,24.59,0.0,0.0,3.0,57.0
57.0,-18.0,-8.0,1032.0,26.38,0.0,0.0,3.0,50.0
50.0,-19.0,-9.0,1032.0,28.17,0.0,0.0,3.0,54.0
54.0,-19.0,-11.0,1032.0,0.89,0.0,0.0,2.0,67.0
67.0,-18.0,-11.0,1033.0,1.79,0.0,0.0,3.0,106.0
106.0,-19.0,-15.0,1032.0,1.79,0.0,0.0,2.0,159.0
159.0,-19.0,-14.0,1032.0,0.45,0.0,0.0,4.0,198.0
198.0,-21.0,-14.0,1032.0,1.34,0.0,0.0,4.0,190.0
190.0,-21.0,-16.0,1032.0,2.23,0.0,0.0,4.0,210.0
210.0,-21.0,-17.0,1031.0,1.79,0.0,0.0,3.0,195.0
195.0,-19.0,-16.0,1031.0,3.58,0.0,0.0,3.0,275.0
275.0,-20.0,-16.0,1031.0,0.89,0.0,0.0,2.0,164.0
164.0,-19.0,-15.0,1030.0,0.89,0.0,0.0,1.0,110.0
110.0,-18.0,-15.0,1030.0,0.45,0.0,0.0,4.0,100.0
100.0,-18.0,-15.0,1029.0,1.34,0.0,0.0,4.0,81.0
81.0,-18.0,-15.0,1029.0,1.79,0.0,0.0,3.0,71.0
71.0,-16.0,-13.0,1029.0,0.89,0.0,0.0,2.0,66.0
66.0,-16.0,-12.0,1029.0,0.89,0.0,0.0,1.0,92.0
92.0,-16.0,-12.0,1030.0,1.78,0.0,0.0,1.0,135.0
135.0,-17.0,-10.0,1030.0,0.89,0.0,0.0,2.0,155.0
155.0,-16.0,-10.0,1029.0,0.89,0.0,0.0,4.0,198.0
198.0,-16.0,-9.0,1028.0,3.13,0.0,0.0,1.0,250.0
250.0,-15.0,-8.0,1026.0,4.92,0.0,0.0,1.0,200.0
200.0,-16.0,-8.0,1026.0,0.89,0.0,0.0,4.0,231.0
231.0,-16.0,-8.0,1025.0,1.78,0.0,0.0,4.0,250.0
250.0,-16.0,-8.0,1025.0,2.67,0.0,0.0,4.0,212.0
212.0,-17.0,-8.0,1025.0,0.89,0.0,0.0,1.0,219.0
219.0,-17.0,-9.0,1026.0,0.45,0.0,0.0,4.0,227.0
227.0,-17.0,-11.0,1026.0,1.34,0.0,0.0,4.0,226.0
226.0,-17.0,-12.0,1026.0,1.79,0.0,0.0,4.0,225.0
225.0,-18.0,-14.0,1027.0,1.79,0.0,0.0,3.0,168.0
168.0,-16.0,-9.0,1027.0,4.92,0.0,0.0,3.0,169.0
169.0,-16.0,-11.0,1027.0,6.71,0.0,0.0,3.0,165.0
165.0,-17.0,-13.0,1027.0,0.89,0.0,0.0,4.0,159.0
159.0,-17.0,-13.0,1027.0,3.13,0.0,0.0,3.0,167.0
167.0,-17.0,-14.0,1027.0,4.92,0.0,0.0,3.0,196.0
196.0,-17.0,-15.0,1027.0,8.05,0.0,0.0,3.0,169.0
169.0,-17.0,-13.0,1027.0,9.84,0.0,0.0,3.0,155.0
155.0,-19.0,-16.0,1027.0,13.86,0.0,0.0,3.0,119.0
119.0,-18.0,-15.0,1027.0,17.88,0.0,0.0,3.0,106.0
106.0,-19.0,-15.0,1027.0,21.9,0.0,0.0,3.0,93.0
93.0,-18.0,-14.0,1028.0,25.92,0.0,0.0,3.0,84.0
84.0,-18.0,-9.0,1029.0,5.81,0.0,0.0,2.0,73.0
73.0,-17.0,-7.0,1029.0,11.62,0.0,0.0,2.0,66.0
66.0,-17.0,-6.0,1030.0,17.43,0.0,0.0,2.0,40.0
40.0,-16.0,-6.0,1029.0,23.24,0.0,0.0,2.0,49.0
49.0,-16.0,-5.0,1029.0,28.16,0.0,0.0,2.0,50.0
50.0,-15.0,-4.0,1029.0,33.08,0.0,0.0,2.0,49.0
49.0,-14.0,-4.0,1028.0,37.1,0.0,0.0,2.0,41.0
41.0,-15.0,-4.0,1029.0,38.89,0.0,0.0,2.0,37.0
37.0,-15.0,-4.0,1030.0,1.79,0.0,0.0,3.0,45.0
45.0,-15.0,-7.0,1030.0,3.13,0.0,0.0,2.0,44.0
44.0,-15.0,-6.0,1031.0,3.13,0.0,0.0,3.0,54.0
54.0,-15.0,-7.0,1032.0,4.92,0.0,0.0,3.0,50.0
50.0,-15.0,-6.0,1032.0,3.13,0.0,0.0,2.0,47.0
47.0,-15.0,-8.0,1033.0,0.45,0.0,0.0,4.0,66.0
66.0,-15.0,-8.0,1033.0,0.9,0.0,0.0,4.0,75.0
75.0,-15.0,-11.0,1033.0,0.89,0.0,0.0,3.0,82.0
82.0,-17.0,-13.0,1033.0,1.78,0.0,0.0,3.0,66.0
66.0,-17.0,-12.0,1033.0,4.91,0.0,0.0,3.0,83.0
83.0,-17.0,-13.0,1033.0,8.04,0.0,0.0,3.0,62.0
62.0,-19.0,-14.0,1032.0,9.83,0.0,0.0,3.0,40.0
40.0,-18.0,-13.0,1032.0,12.96,0.0,0.0,3.0,23.0
23.0,-19.0,-13.0,1032.0,16.09,0.0,0.0,3.0,25.0
25.0,-19.0,-14.0,1033.0,19.22,0.0,0.0,3.0,27.0
27.0,-19.0,-14.0,1034.0,22.35,0.0,0.0,3.0,35.0
35.0,-17.0,-12.0,1033.0,24.14,0.0,0.0,3.0,50.0
50.0,-16.0,-7.0,1033.0,4.02,0.0,0.0,2.0,70.0
70.0,-15.0,-7.0,1033.0,3.13,0.0,0.0,3.0,75.0
75.0,-15.0,-7.0,1032.0,6.26,0.0,0.0,3.0,58.0
58.0,-14.0,-6.0,1031.0,9.39,0.0,0.0,3.0,70.0
70.0,-14.0,-6.0,1031.0,12.52,0.0,0.0,3.0,68.0
68.0,-13.0,-5.0,1030.0,14.31,0.0,0.0,3.0,71.0
71.0,-14.0,-5.0,1031.0,16.1,0.0,0.0,3.0,88.0
88.0,-14.0,-6.0,1031.0,19.23,0.0,0.0,3.0,84.0
84.0,-13.0,-7.0,1032.0,23.25,0.0,0.0,3.0,83.0
83.0,-15.0,-6.0,1032.0,27.27,0.0,0.0,3.0,66.0
66.0,-15.0,-6.0,1033.0,30.4,0.0,0.0,3.0,27.0
27.0,-15.0,-4.0,1034.0,35.32,0.0,0.0,3.0,24.0
24.0,-16.0,-4.0,1034.0,44.26,0.0,0.0,3.0,22.0
22.0,-17.0,-5.0,1035.0,52.31,0.0,0.0,3.0,23.0
23.0,-17.0,-6.0,1035.0,60.36,0.0,0.0,3.0,27.0
27.0,-17.0,-8.0,1035.0,0.89,0.0,0.0,4.0,23.0
23.0,-19.0,-11.0,1036.0,4.02,0.0,0.0,3.0,17.0
17.0,-20.0,-11.0,1036.0,8.94,0.0,0.0,3.0,17.0
17.0,-21.0,-11.0,1035.0,4.02,0.0,0.0,2.0,16.0
16.0,-22.0,-12.0,1035.0,3.13,0.0,0.0,3.0,16.0
16.0,-22.0,-12.0,1035.0,4.92,0.0,0.0,2.0,20.0
20.0,-22.0,-13.0,1036.0,5.81,0.0,0.0,3.0,20.0
20.0,-22.0,-9.0,1036.0,13.86,0.0,0.0,3.0,18.0
18.0,-22.0,-10.0,1036.0,21.91,0.0,0.0,3.0,25.0
25.0,-22.0,-9.0,1036.0,29.06,0.0,0.0,3.0,26.0
26.0,-21.0,-9.0,1036.0,33.08,0.0,0.0,3.0,27.0
27.0,-20.0,-6.0,1035.0,42.02,0.0,0.0,3.0,28.0
28.0,-19.0,-5.0,1034.0,50.96,0.0,0.0,3.0,15.0
15.0,-19.0,-5.0,1033.0,59.01,0.0,0.0,3.0,24.0
24.0,-20.0,-5.0,1033.0,66.16,0.0,0.0,3.0,13.0
13.0,-20.0,-5.0,1032.0,71.97,0.0,0.0,3.0,13.0
13.0,-20.0,-5.0,1033.0,76.89,0.0,0.0,3.0,13.0
13.0,-20.0,-7.0,1033.0,81.81,0.0,0.0,3.0,17.0
17.0,-22.0,-7.0,1033.0,85.83,0.0,0.0,3.0,20.0
20.0,-22.0,-8.0,1033.0,89.85,0.0,0.0,3.0,27.0
27.0,-23.0,-10.0,1033.0,91.64,0.0,0.0,3.0,20.0
20.0,-23.0,-13.0,1033.0,93.43,0.0,0.0,3.0,15.0
15.0,-22.0,-12.0,1032.0,0.89,0.0,0.0,4.0,21.0
21.0,-22.0,-15.0,1031.0,1.78,0.0,0.0,4.0,21.0
21.0,-22.0,-14.0,1031.0,1.79,0.0,0.0,2.0,37.0
37.0,-22.0,-14.0,1031.0,0.89,0.0,0.0,3.0,26.0
26.0,-24.0,-18.0,1030.0,1.79,0.0,0.0,2.0,15.0
15.0,-24.0,-13.0,1030.0,3.58,0.0,0.0,2.0,9.0
9.0,-25.0,-14.0,1030.0,3.13,0.0,0.0,3.0,11.0
11.0,-24.0,-14.0,1030.0,7.15,0.0,0.0,3.0,11.0
11.0,-25.0,-12.0,1030.0,12.96,0.0,0.0,3.0,16.0
16.0,-26.0,-14.0,1030.0,16.98,0.0,0.0,3.0,13.0
13.0,-25.0,-12.0,1031.0,21.0,0.0,0.0,3.0,15.0
15.0,-25.0,-11.0,1031.0,26.81,0.0,0.0,3.0,21.0
21.0,-24.0,-11.0,1030.0,35.75,0.0,0.0,3.0,24.0
24.0,-23.0,-11.0,1029.0,47.82,0.0,0.0,3.0,22.0
22.0,-22.0,-11.0,1029.0,63.02,0.0,0.0,3.0,22.0
22.0,-23.0,-11.0,1029.0,75.98,0.0,0.0,3.0,22.0
22.0,-22.0,-11.0,1029.0,88.05,0.0,0.0,3.0,19.0
19.0,-23.0,-11.0,1030.0,101.01,0.0,0.0,3.0,23.0
23.0,-24.0,-11.0,1030.0,109.06,0.0,0.0,3.0,25.0
25.0,-24.0,-11.0,1032.0,118.0,0.0,0.0,3.0,25.0
25.0,-23.0,-11.0,1032.0,126.05,0.0,0.0,3.0,31.0
31.0,-23.0,-12.0,1032.0,134.1,0.0,0.0,3.0,25.0
25.0,-24.0,-12.0,1033.0,142.15,0.0,0.0,3.0,22.0
22.0,-23.0,-12.0,1033.0,150.2,0.0,0.0,3.0,22.0
22.0,-23.0,-12.0,1034.0,160.03,0.0,0.0,3.0,15.0
15.0,-24.0,-12.0,1034.0,169.86,0.0,0.0,3.0,16.0
16.0,-24.0,-12.0,1033.0,178.8,0.0,0.0,3.0,11.0
11.0,-25.0,-12.0,1033.0,189.98,0.0,0.0,3.0,11.0
11.0,-24.0,-13.0,1033.0,198.03,0.0,0.0,3.0,12.0
12.0,-25.0,-12.0,1032.0,205.18,0.0,0.0,3.0,11.0
11.0,-25.0,-12.0,1033.0,215.01,0.0,0.0,3.0,12.0
12.0,-25.0,-12.0,1032.0,226.19,0.0,0.0,3.0,27.0
27.0,-25.0,-12.0,1032.0,235.13,0.0,0.0,3.0,28.0
28.0,-25.0,-12.0,1032.0,243.18,0.0,0.0,3.0,34.0
34.0,-23.0,-11.0,1033.0,252.12,0.0,0.0,3.0,33.0
33.0,-23.0,-10.0,1033.0,257.93,0.0,0.0,3.0,36.0
36.0,-22.0,-9.0,1033.0,263.74,0.0,0.0,3.0,26.0
26.0,-21.0,-8.0,1031.0,270.89,0.0,0.0,3.0,49.0
49.0,-21.0,-6.0,1030.0,278.94,0.0,0.0,3.0,52.0
52.0,-20.0,-5.0,1029.0,286.99,0.0,0.0,3.0,47.0
47.0,-22.0,-5.0,1028.0,294.14,0.0,0.0,3.0,47.0
47.0,-21.0,-5.0,1028.0,299.06,0.0,0.0,3.0,39.0
39.0,-19.0,-7.0,1028.0,1.79,0.0,0.0,1.0,59.0
59.0,-19.0,-8.0,1028.0,0.45,0.0,0.0,4.0,76.0
76.0,-20.0,-9.0,1028.0,1.34,0.0,0.0,4.0,96.0
96.0,-19.0,-10.0,1027.0,1.79,0.0,0.0,1.0,95.0
95.0,-19.0,-13.0,1027.0,0.89,0.0,0.0,4.0,68.0
68.0,-18.0,-12.0,1027.0,1.78,0.0,0.0,4.0,65.0
65.0,-18.0,-13.0,1027.0,0.89,0.0,0.0,2.0,75.0
75.0,-18.0,-14.0,1026.0,1.78,0.0,0.0,2.0,257.0
257.0,-20.0,-15.0,1025.0,2.67,0.0,0.0,2.0,174.0
174.0,-20.0,-15.0,1025.0,0.89,0.0,0.0,3.0,164.0
164.0,-20.0,-16.0,1025.0,1.78,0.0,0.0,3.0,161.0
161.0,-20.0,-16.0,1024.0,3.57,0.0,0.0,3.0,137.0
137.0,-21.0,-17.0,1024.0,6.7,0.0,0.0,3.0,92.0
92.0,-19.0,-14.0,1023.0,10.72,0.0,0.0,3.0,64.0
64.0,-21.0,-17.0,1023.0,13.85,0.0,0.0,3.0,87.0
87.0,-19.0,-15.0,1024.0,15.64,0.0,0.0,3.0,87.0
87.0,-19.0,-14.0,1024.0,18.77,0.0,0.0,3.0,84.0
84.0,-18.0,-10.0,1024.0,22.79,0.0,0.0,3.0,95.0
95.0,-17.0,-9.0,1023.0,24.58,0.0,0.0,3.0,79.0
79.0,-16.0,-6.0,1023.0,26.37,0.0,0.0,3.0,75.0
75.0,-17.0,-5.0,1022.0,28.16,0.0,0.0,3.0,79.0
79.0,-16.0,-5.0,1022.0,29.95,0.0,0.0,3.0,86.0
86.0,-15.0,-4.0,1022.0,33.08,0.0,0.0,3.0,72.0
72.0,-16.0,-4.0,1023.0,0.89,0.0,0.0,4.0,89.0
89.0,-15.0,-5.0,1025.0,1.79,0.0,0.0,1.0,94.0
94.0,-14.0,-3.0,1026.0,5.81,0.0,0.0,3.0,69.0
69.0,-16.0,-3.0,1027.0,11.62,0.0,0.0,3.0,49.0
49.0,-15.0,-4.0,1029.0,20.56,0.0,0.0,3.0,33.0
33.0,-16.0,-5.0,1031.0,24.58,0.0,0.0,3.0,27.0
27.0,-17.0,-6.0,1032.0,3.13,0.0,0.0,2.0,20.0
20.0,-18.0,-6.0,1033.0,8.05,0.0,0.0,2.0,36.0
36.0,-19.0,-7.0,1034.0,13.86,0.0,0.0,2.0,37.0
37.0,-17.0,-8.0,1035.0,5.81,0.0,0.0,3.0,30.0
30.0,-18.0,-10.0,1035.0,11.62,0.0,0.0,3.0,18.0
18.0,-19.0,-10.0,1036.0,14.75,0.0,0.0,3.0,21.0
21.0,-19.0,-9.0,1036.0,19.67,0.0,0.0,3.0,13.0
13.0,-19.0,-9.0,1036.0,7.15,0.0,0.0,2.0,23.0
23.0,-20.0,-9.0,1037.0,12.96,0.0,0.0,2.0,26.0
26.0,-19.0,-9.0,1037.0,18.77,0.0,0.0,2.0,27.0
27.0,-19.0,-8.0,1038.0,22.79,0.0,0.0,2.0,30.0
30.0,-19.0,-8.0,1039.0,28.6,0.0,0.0,2.0,28.0
28.0,-19.0,-7.0,1039.0,35.75,0.0,0.0,2.0,26.0
26.0,-18.0,-6.0,1039.0,41.56,0.0,0.0,2.0,26.0
26.0,-18.0,-5.0,1039.0,45.58,0.0,0.0,2.0,31.0
31.0,-17.0,-4.0,1038.0,1.79,0.0,0.0,3.0,35.0
35.0,-16.0,-3.0,1037.0,0.89,0.0,0.0,4.0,36.0
36.0,-17.0,-3.0,1037.0,1.78,0.0,0.0,4.0,37.0
37.0,-17.0,-2.0,1037.0,2.23,0.0,0.0,4.0,64.0
64.0,-15.0,-5.0,1036.0,0.89,0.0,0.0,1.0,83.0
83.0,-15.0,-6.0,1036.0,0.89,0.0,0.0,4.0,91.0
91.0,-15.0,-6.0,1037.0,1.78,0.0,0.0,4.0,90.0
90.0,-14.0,-6.0,1037.0,1.79,0.0,0.0,1.0,102.0
102.0,-14.0,-8.0,1036.0,3.58,0.0,0.0,1.0,94.0
94.0,-14.0,-10.0,1037.0,0.89,0.0,0.0,4.0,87.0
87.0,-15.0,-11.0,1036.0,1.78,0.0,0.0,4.0,141.0
141.0,-15.0,-11.0,1036.0,2.67,0.0,0.0,4.0,211.0
211.0,-16.0,-13.0,1036.0,0.89,0.0,0.0,2.0,242.0
242.0,-16.0,-12.0,1036.0,0.89,0.0,0.0,4.0,271.0
271.0,-16.0,-13.0,1035.0,0.89,0.0,0.0,2.0,249.0
249.0,-15.0,-12.0,1035.0,1.78,0.0,0.0,2.0,200.0
200.0,-14.0,-10.0,1034.0,1.79,0.0,0.0,3.0,147.0
147.0,-15.0,-10.0,1034.0,2.68,0.0,0.0,3.0,114.0
114.0,-15.0,-11.0,1034.0,4.47,0.0,0.0,3.0,102.0
102.0,-15.0,-11.0,1034.0,6.26,0.0,0.0,3.0,108.0
108.0,-14.0,-9.0,1034.0,8.05,0.0,0.0,3.0,135.0
135.0,-14.0,-9.0,1034.0,9.84,0.0,0.0,3.0,120.0
120.0,-13.0,-6.0,1034.0,0.89,0.0,0.0,4.0,148.0
148.0,-13.0,-5.0,1033.0,1.79,0.0,0.0,3.0,127.0
127.0,-12.0,-4.0,1031.0,0.89,0.0,0.0,4.0,128.0
128.0,-12.0,-3.0,1031.0,1.78,0.0,0.0,4.0,140.0
140.0,-12.0,-3.0,1030.0,2.67,0.0,0.0,4.0,148.0
148.0,-11.0,-3.0,1030.0,3.56,0.0,0.0,4.0,150.0
150.0,-11.0,-4.0,1031.0,0.89,0.0,0.0,2.0,154.0
154.0,-12.0,-7.0,1031.0,0.89,0.0,0.0,4.0,197.0
