Time,Longitude,Description,Latitude,Duration
01/09/2022 23:25:00,-122.312041,1183-Trfc Collision-Unkn Inj,37.824105,41
01/10/2022 01:16:00,-122.4278,WW-Wrong Way Driver,37.623624,132
01/10/2022 03:22:00,-122.393183,1179-Trfc Collision-1141 Enrt,37.701061,96
01/10/2022 03:41:00,-122.405846,1125-Traffic Hazard,37.76181,11
01/10/2022 07:59:00,-122.395028,1182-Trfc Collision-No Inj,37.612414,29
01/10/2022 08:13:00,-122.389859,1179-Trfc Collision-1141 Enrt,37.78699,21
01/10/2022 08:23:00,-122.401316,1183-Trfc Collision-Unkn Inj,37.624619,17
01/10/2022 09:12:00,-122.392449,1125-Traffic Hazard,37.756108,35
01/10/2022 09:26:00,-122.401316,1125-Traffic Hazard,37.624619,3
01/10/2022 10:16:00,-122.467303,1125-Traffic Hazard,37.709316,7
01/10/2022 10:23:00,-122.333551,1125-Traffic Hazard,37.821156,31
01/10/2022 11:31:00,-122.416885,FIRE-Report of Fire,37.769581,3
01/10/2022 11:44:00,-122.39266,1125-Traffic Hazard,37.784877,17
01/10/2022 12:25:00,-122.40282,FIRE-Report of Fire,37.753134,2
01/10/2022 14:33:00,-122.487453,1125-Traffic Hazard,37.671672,5
01/10/2022 15:49:00,-122.446186,1182-Trfc Collision-No Inj,37.725772,201
01/10/2022 15:54:00,-122.407848,1183-Trfc Collision-Unkn Inj,37.740299,4
01/10/2022 17:32:00,-122.448457,20002-Hit and Run No Injuries,37.719141,213
01/10/2022 17:59:00,-122.36171,1125-Traffic Hazard,37.813098,140
01/10/2022 18:20:00,-122.401165,1182-Trfc Collision-No Inj,37.778081,13
01/10/2022 18:30:00,-122.402997,1183-Trfc Collision-Unkn Inj,37.752501,79
01/10/2022 18:39:00,-122.402997,20002-Hit and Run No Injuries,37.752501,67
01/10/2022 19:07:00,-122.405578,20001-Hit and Run w/Injuries,37.743949,98
01/10/2022 19:06:00,-122.405578,1182-Trfc Collision-No Inj,37.743949,12
01/10/2022 21:39:00,-122.407848,CZP-Assist with Construction,37.740299,429
01/11/2022 05:20:00,-122.468222,1125-Traffic Hazard,37.673383,1
01/11/2022 09:28:00,-122.465358,1125-Traffic Hazard,37.710344,19
01/11/2022 09:50:00,-122.40282,FIRE-Report of Fire,37.753134,16
01/11/2022 11:23:00,-122.387523,1125-Traffic Hazard,37.789053,9
01/11/2022 12:00:00,-122.396457,1125-Traffic Hazard,37.665772,22
01/11/2022 12:58:00,-122.366974,1125-Traffic Hazard,37.808253,11
01/11/2022 13:59:00,-122.405578,FIRE-Report of Fire,37.743949,22
01/11/2022 15:04:00,-122.402525,1125-Traffic Hazard,37.737179,3
01/11/2022 15:36:00,-122.391447,1125-Traffic Hazard,37.785495,12
01/11/2022 19:18:00,-122.45352,1125-Traffic Hazard,37.712079,5
01/11/2022 21:05:00,-122.423836,1125-Traffic Hazard,37.731355,3
01/11/2022 21:33:00,-122.47164,1125-Traffic Hazard,37.698587,54
01/11/2022 21:54:00,-122.392571,1125-Traffic Hazard,37.784858,10
01/11/2022 22:56:00,-122.401464,1183-Trfc Collision-Unkn Inj,37.72401,7
01/12/2022 05:58:00,-122.403592,1125-Traffic Hazard,37.660879,24
01/12/2022 07:01:00,-122.397562,FIRE-Report of Fire,37.714657,3
01/12/2022 07:55:00,-122.394191,1125-Traffic Hazard,37.704218,4
01/12/2022 08:45:00,-122.425998,1125-Traffic Hazard,37.620402,6
01/12/2022 09:05:00,-122.439501,1125-Traffic Hazard,37.729942,34
01/12/2022 09:25:00,-122.423304,1125-Traffic Hazard,37.771852,11
01/12/2022 09:51:00,-122.412109,1125-Traffic Hazard,37.733502,3
01/12/2022 10:49:00,-122.490209,1125-Traffic Hazard,37.65362,2
01/12/2022 10:59:00,-122.317448,1125A-Animal Hazard,37.823899,9
01/12/2022 11:24:00,-122.402997,1125-Traffic Hazard,37.752501,7
01/12/2022 11:40:00,-122.366974,1125-Traffic Hazard,37.808253,14
01/12/2022 13:18:00,-122.392246,FIRE-Report of Fire,37.759824,27
01/12/2022 14:28:00,-122.484711,CFIRE-Car Fire,37.663365,2
01/12/2022 15:20:00,-122.402997,CFIRE-Car Fire,37.752501,28
01/12/2022 16:35:00,-122.392571,1125-Traffic Hazard,37.784858,5
01/12/2022 16:42:00,-122.40655,1125-Traffic Hazard,37.772948,46
01/12/2022 21:17:00,-122.367026,20002-Hit and Run No Injuries,37.808318,1
01/12/2022 21:30:00,-122.3201,20002-Hit and Run No Injuries,37.822692,38
01/12/2022 23:08:00,-122.392571,1166-Defective Traffic Signals,37.784858,4
01/13/2022 00:27:00,-122.339018,1125-Traffic Hazard,37.820747,3
01/13/2022 00:58:00,-122.449624,1183-Trfc Collision-Unkn Inj,37.645905,29
01/13/2022 02:38:00,-122.401165,20002-Hit and Run No Injuries,37.778081,21
01/13/2022 05:13:00,-122.402997,1125-Traffic Hazard,37.752501,11
01/13/2022 07:45:00,-122.439692,1183-Trfc Collision-Unkn Inj,37.636879,14
01/13/2022 09:00:00,-122.470568,1125-Traffic Hazard,37.690867,50
01/13/2022 09:12:00,-122.402881,1125-Traffic Hazard,37.631763,37
01/13/2022 09:38:00,-122.367026,1125-Traffic Hazard,37.808318,5
01/13/2022 10:45:00,-122.405846,1182-Trfc Collision-No Inj,37.76181,17
01/13/2022 10:59:00,-122.40655,1183-Trfc Collision-Unkn Inj,37.772948,47
01/13/2022 11:47:00,-122.470568,1125-Traffic Hazard,37.690867,5
01/13/2022 12:28:00,-122.446015,1125-Traffic Hazard,37.726304,13
01/13/2022 13:21:00,-122.393183,1125-Traffic Hazard,37.701061,
01/13/2022 14:03:00,-122.439969,1125-Traffic Hazard,37.729924,0
01/13/2022 14:19:00,-122.406733,1182-Trfc Collision-No Inj,37.734974,180
01/13/2022 15:58:00,-122.408164,1183-Trfc Collision-Unkn Inj,37.739978,29
01/13/2022 16:05:00,-122.366991,1125-Traffic Hazard,37.808203,16
01/13/2022 16:44:00,-122.408081,1182-Trfc Collision-No Inj,37.740032,71
01/13/2022 17:40:00,-122.40282,FIRE-Report of Fire,37.753134,33
01/13/2022 17:58:00,-122.405811,1182-Trfc Collision-No Inj,37.775564,4
01/13/2022 20:44:00,-122.401639,1125-Traffic Hazard,37.725182,9
01/13/2022 21:17:00,-122.377806,CZP-Assist with Construction,37.798183,99
01/13/2022 22:01:00,-122.407848,CZP-Assist with Construction,37.740299,360
01/13/2022 22:57:00,-122.407848,1125-Traffic Hazard,37.740299,54
01/14/2022 04:36:00,-122.404904,1125-Traffic Hazard,37.638051,104
01/14/2022 06:09:00,-122.467303,1125-Traffic Hazard,37.709316,24
01/14/2022 06:29:00,-122.377806,FOG-Foggy Conditions,37.798183,1
01/14/2022 06:38:00,-122.395505,FOG-Foggy Conditions,37.711312,56
01/14/2022 06:59:00,-122.389859,1183-Trfc Collision-Unkn Inj,37.78699,6
01/14/2022 08:14:00,-122.377864,1182-Trfc Collision-No Inj,37.798216,90
01/14/2022 10:01:00,-122.416885,1125-Traffic Hazard,37.769581,48
01/14/2022 11:17:00,-122.397562,1125-Traffic Hazard,37.714657,88
01/14/2022 11:24:00,-122.469656,1125-Traffic Hazard,37.67588,3
01/14/2022 12:13:00,-122.430734,DOT-Request CalTrans Notify,37.732175,1
01/14/2022 13:24:00,-122.404564,1125-Traffic Hazard,37.74697,5
01/14/2022 14:48:00,-122.405622,1125-Traffic Hazard,37.733096,12
01/14/2022 14:55:00,-122.452394,1125-Traffic Hazard,37.649757,16
01/14/2022 16:35:00,-122.405883,20002-Hit and Run No Injuries,37.641874,19
01/14/2022 16:59:00,-122.432073,1125-Traffic Hazard,37.732235,21
01/14/2022 17:27:00,-122.467303,1183-Trfc Collision-Unkn Inj,37.709316,52
01/14/2022 17:23:00,-122.470259,1182-Trfc Collision-No Inj,37.692917,29
01/14/2022 17:41:00,-122.430226,1125-Traffic Hazard,37.605727,9
01/14/2022 19:07:00,-122.432073,1182-Trfc Collision-No Inj,37.732235,
01/14/2022 19:04:00,-122.423836,1179-Trfc Collision-1141 Enrt,37.731355,98
01/14/2022 19:37:00,-122.401165,1125-Traffic Hazard,37.778081,44
01/14/2022 19:39:00,-122.404835,1183-Trfc Collision-Unkn Inj,37.765283,72
01/14/2022 19:53:00,-122.405846,1183-Trfc Collision-Unkn Inj,37.76181,46
01/14/2022 21:03:00,-122.405846,1125-Traffic Hazard,37.76181,14
01/14/2022 21:36:00,-122.393183,1179-Trfc Collision-1141 Enrt,37.701061,27
01/14/2022 22:33:00,-122.405578,CZP-Assist with Construction,37.743949,1
01/14/2022 22:50:00,-122.439501,1125-Traffic Hazard,37.729942,19
01/15/2022 02:46:00,-122.366974,1125-Traffic Hazard,37.808253,4
01/15/2022 02:54:00,-122.404835,1179-Trfc Collision-1141 Enrt,37.765283,153
01/15/2022 03:40:00,-122.468222,1125-Traffic Hazard,37.673383,19
01/15/2022 06:45:00,-122.406733,1125-Traffic Hazard,37.734974,2
01/15/2022 08:03:00,-122.401769,1179-Trfc Collision-1141 Enrt,37.626787,23
01/15/2022 08:18:00,-122.403812,1125-Traffic Hazard,37.660428,257
01/15/2022 10:06:00,-122.405578,1125-Traffic Hazard,37.743949,3
01/15/2022 10:30:00,-122.366974,1125-Traffic Hazard,37.808253,28
01/15/2022 10:47:00,-122.405578,1125-Traffic Hazard,37.743949,85
01/15/2022 11:19:00,-122.448254,BREAK-Traffic Break,37.719157,4
01/15/2022 15:53:00,-122.39682,1125-Traffic Hazard,37.742983,2
01/15/2022 16:15:00,-122.405389,1125-Traffic Hazard,37.658645,24
01/15/2022 18:13:00,-122.40655,1125-Traffic Hazard,37.772948,12
01/15/2022 18:25:00,-122.367026,1183-Trfc Collision-Unkn Inj,37.808318,80
01/15/2022 20:49:00,-122.485092,1183-Trfc Collision-Unkn Inj,37.62286,91
01/16/2022 01:08:00,-122.400645,1125-Traffic Hazard,37.62345,279
01/16/2022 09:50:00,-122.40282,FIRE-Report of Fire,37.753134,29
01/16/2022 11:20:00,-122.491896,1179-Trfc Collision-1141 Enrt,37.644139,168
01/16/2022 17:11:00,-122.514597,1125-Traffic Hazard,37.5589,28
01/16/2022 17:49:00,-122.397252,20001-Hit and Run w/Injuries,37.78173,275
01/16/2022 18:21:00,-122.395851,1125-Traffic Hazard,37.767668,103
01/16/2022 18:52:00,-122.366974,1125-Traffic Hazard,37.808253,3
01/16/2022 20:02:00,-122.434834,1183-Trfc Collision-Unkn Inj,37.630176,19
01/16/2022 20:32:00,-122.485092,1182-Trfc Collision-No Inj,37.62286,129
01/16/2022 22:46:00,-122.414206,1125-Traffic Hazard,37.732295,0
01/16/2022 23:11:00,-122.427629,1183-Trfc Collision-Unkn Inj,37.628803,1
01/16/2022 23:36:00,-122.408999,1182-Trfc Collision-No Inj,37.634087,51
01/17/2022 02:39:00,-122.366974,1125-Traffic Hazard,37.808253,2
01/17/2022 08:06:00,-122.427629,1125-Traffic Hazard,37.628803,162
01/17/2022 10:20:00,-122.401165,1125-Traffic Hazard,37.778081,5
01/17/2022 10:46:00,-122.484711,1125-Traffic Hazard,37.663365,5
01/17/2022 10:58:00,-122.406002,WW-Wrong Way Driver,37.643058,10
01/17/2022 11:37:00,-122.391972,1125-Traffic Hazard,37.609964,23
01/17/2022 11:51:00,-122.45352,1125-Traffic Hazard,37.712079,1
01/17/2022 12:22:00,-122.367026,1183-Trfc Collision-Unkn Inj,37.808318,105
01/17/2022 13:08:00,-122.411985,FIRE-Report of Fire,37.634289,2
01/17/2022 13:54:00,-122.405811,1183-Trfc Collision-Unkn Inj,37.775564,24
01/17/2022 14:07:00,-122.446186,1125-Traffic Hazard,37.725772,39
01/17/2022 14:37:00,-122.361464,1183-Trfc Collision-Unkn Inj,37.813756,6
01/17/2022 14:55:00,-122.465358,1125-Traffic Hazard,37.710344,4
01/17/2022 15:13:00,-122.452394,1179-Trfc Collision-1141 Enrt,37.649757,67
01/17/2022 16:14:00,-122.467303,1179-Trfc Collision-1141 Enrt,37.709316,145
01/17/2022 16:25:00,-122.408164,1125-Traffic Hazard,37.739978,7
01/17/2022 16:23:00,-122.367026,1182-Trfc Collision-No Inj,37.808318,19
01/17/2022 17:54:00,-122.405811,1182-Trfc Collision-No Inj,37.775564,10
01/17/2022 18:05:00,-122.367026,1125-Traffic Hazard,37.808318,3
01/17/2022 20:51:00,-122.408999,1125-Traffic Hazard,37.634087,19
01/17/2022 21:45:00,-122.406621,1125-Traffic Hazard,37.772168,7
01/17/2022 22:58:00,-122.405846,1125-Traffic Hazard,37.76181,4
01/17/2022 23:05:00,-122.395505,1184-Provide Traffic Control,37.711312,8
01/17/2022 23:47:00,-122.489438,1125-Traffic Hazard,37.632136,8
01/18/2022 01:19:00,-122.423393,1125-Traffic Hazard,37.771786,2
01/18/2022 08:56:00,-122.406002,1125-Traffic Hazard,37.643058,13
01/18/2022 09:02:00,-122.391972,1125-Traffic Hazard,37.609964,1
01/18/2022 09:55:00,-122.452828,20002-Hit and Run No Injuries,37.651032,18
01/18/2022 11:37:00,-122.446186,1125-Traffic Hazard,37.725772,30
01/18/2022 12:36:00,-122.446186,1125-Traffic Hazard,37.725772,3
01/18/2022 12:57:00,-122.434834,1125-Traffic Hazard,37.630176,15
01/18/2022 15:16:00,-122.392204,1183-Trfc Collision-Unkn Inj,37.750228,31
01/18/2022 16:10:00,-122.3201,1125-Traffic Hazard,37.822692,26
01/18/2022 16:27:00,-122.333551,1125-Traffic Hazard,37.821156,18
01/18/2022 17:06:00,-122.465358,1183-Trfc Collision-Unkn Inj,37.710344,6
01/18/2022 18:31:00,-122.40437,1179-Trfc Collision-1141 Enrt,37.731813,42
01/18/2022 20:35:00,-122.366974,1125-Traffic Hazard,37.808253,30
01/18/2022 21:12:00,-122.397771,1183-Trfc Collision-Unkn Inj,37.772848,75
01/18/2022 21:30:00,-122.414904,1125-Traffic Hazard,37.732277,25
01/18/2022 21:36:00,-122.407848,1125-Traffic Hazard,37.740299,2
01/18/2022 21:43:00,-122.393183,CZP-Assist with Construction,37.701061,475
01/18/2022 21:50:00,-122.367026,1125-Traffic Hazard,37.808318,56
01/19/2022 00:36:00,-122.400209,1125-Traffic Hazard,37.720795,11
01/19/2022 01:39:00,-122.411985,1125-Traffic Hazard,37.634289,13
01/19/2022 06:06:00,-122.405811,1125-Traffic Hazard,37.775564,32
01/19/2022 07:53:00,-122.333653,1125-Traffic Hazard,37.821537,1
01/19/2022 07:48:00,-122.401464,CFIRE-Car Fire,37.72401,35
01/19/2022 10:52:00,-122.366974,1125-Traffic Hazard,37.808253,10
01/19/2022 11:03:00,-122.446015,1125-Traffic Hazard,37.726304,14
01/19/2022 11:13:00,-122.471982,1125-Traffic Hazard,37.701458,48
01/19/2022 12:54:00,-122.425998,1125-Traffic Hazard,37.620402,9
01/19/2022 13:19:00,-122.480709,1125-Traffic Hazard,37.67053,17
01/19/2022 13:46:00,-122.480652,1125-Traffic Hazard,37.665315,0
01/19/2022 14:10:00,-122.439692,1184-Provide Traffic Control,37.636879,32
01/19/2022 14:24:00,-122.430734,1125-Traffic Hazard,37.732175,48
