AGE,B,CHAS,CRIM,DIS,INDUS,LSTAT,NOX,PRICE,PTRATIO,RAD,RM,TAX,ZN
89.2,392.53,0.0,0.85204,4.0123,8.14,13.83,0.538,19.6,21.0,4.0,5.965,307.0,0.0
91.7,396.9,0.0,1.23247,3.9769,8.14,18.72,0.538,15.2,21.0,4.0,6.142,307.0,0.0
100.0,394.54,0.0,0.98843,4.0952,8.14,19.88,0.538,14.5,21.0,4.0,5.813,307.0,0.0
94.1,394.33,0.0,0.75026,4.3996,8.14,16.3,0.538,15.6,21.0,4.0,5.924,307.0,0.0
85.7,303.42,0.0,0.84054,4.4546,8.14,16.51,0.538,13.9,21.0,4.0,5.599,307.0,0.0
90.3,376.88,0.0,0.67191,4.682,8.14,14.81,0.538,16.6,21.0,4.0,5.813,307.0,0.0
88.8,306.38,0.0,0.95577,4.4534,8.14,17.28,0.538,14.8,21.0,4.0,6.047,307.0,0.0
94.4,387.94,0.0,0.77299,4.4547,8.14,12.8,0.538,18.4,21.0,4.0,6.495,307.0,0.0
87.3,380.23,0.0,1.00245,4.239,8.14,11.98,0.538,21.0,21.0,4.0,6.674,307.0,0.0
94.1,360.17,0.0,1.13081,4.233,8.14,22.6,0.538,12.7,21.0,4.0,5.713,307.0,0.0
100.0,376.73,0.0,1.35472,4.175,8.14,13.04,0.538,14.5,21.0,4.0,6.072,307.0,0.0
82.0,232.6,0.0,1.38799,3.99,8.14,27.71,0.538,13.2,21.0,4.0,5.95,307.0,0.0
95.0,358.77,0.0,1.15172,3.7872,8.14,18.35,0.538,13.1,21.0,4.0,5.701,307.0,0.0
96.9,248.31,0.0,1.61282,3.7598,8.14,20.34,0.538,13.5,21.0,4.0,6.096,307.0,0.0
68.2,396.9,0.0,0.06417,3.3603,5.96,9.68,0.499,18.9,19.2,5.0,5.933,279.0,0.0
61.4,377.56,0.0,0.09744,3.3779,5.96,11.41,0.499,20.0,19.2,5.0,5.841,279.0,0.0
41.5,396.9,0.0,0.08014,3.9342,5.96,8.77,0.499,21.0,19.2,5.0,5.85,279.0,0.0
30.2,393.43,0.0,0.17505,3.8473,5.96,10.13,0.499,24.7,19.2,5.0,5.966,279.0,0.0
21.8,395.63,0.0,0.02763,5.4011,2.95,4.32,0.428,30.8,18.3,3.0,6.595,252.0,75.0
15.8,395.62,0.0,0.03359,5.4011,2.95,1.98,0.428,34.9,18.3,3.0,7.024,252.0,75.0
2.9,385.41,0.0,0.12744,5.7209,6.91,4.84,0.448,26.6,17.9,3.0,6.77,233.0,0.0
6.6,383.37,0.0,0.1415,5.7209,6.91,5.81,0.448,25.3,17.9,3.0,6.169,233.0,0.0
6.5,394.46,0.0,0.15936,5.7209,6.91,7.44,0.448,24.7,17.9,3.0,6.211,233.0,0.0
40.0,389.39,0.0,0.12269,5.7209,6.91,9.55,0.448,21.2,17.9,3.0,6.069,233.0,0.0
33.8,396.9,0.0,0.17142,5.1004,6.91,10.21,0.448,19.3,17.9,3.0,5.682,233.0,0.0
33.3,396.9,0.0,0.18836,5.1004,6.91,14.15,0.448,20.0,17.9,3.0,5.786,233.0,0.0
85.5,392.74,0.0,0.22927,5.6894,6.91,18.8,0.448,16.6,17.9,3.0,6.03,233.0,0.0
95.3,396.9,0.0,0.25387,5.87,6.91,30.81,0.448,14.4,17.9,3.0,5.399,233.0,0.0
62.0,396.9,0.0,0.21977,6.0877,6.91,16.2,0.448,19.4,17.9,3.0,5.602,233.0,0.0
45.7,395.56,0.0,0.08873,6.8147,5.64,13.45,0.439,19.7,16.8,4.0,5.963,243.0,21.0
63.0,393.97,0.0,0.04337,6.8147,5.64,9.43,0.439,20.5,16.8,4.0,6.115,243.0,21.0
21.1,396.9,0.0,0.0536,6.8147,5.64,5.28,0.439,25.0,16.8,4.0,6.511,243.0,21.0
21.4,396.9,0.0,0.04981,6.8147,5.64,8.43,0.439,23.4,16.8,4.0,5.998,243.0,21.0
47.6,396.9,0.0,0.0136,7.3197,4.0,14.8,0.41,18.9,21.1,3.0,5.888,469.0,75.0
21.9,395.93,0.0,0.01311,8.6966,1.22,4.81,0.403,35.4,17.9,5.0,7.249,226.0,90.0
35.7,396.9,0.0,0.02055,9.1876,0.74,5.77,0.41,24.7,17.3,2.0,6.383,313.0,85.0
40.5,392.9,0.0,0.01432,8.3248,1.32,3.95,0.411,31.6,15.1,5.0,6.816,256.0,100.0
29.2,390.68,0.0,0.15445,7.8148,5.13,6.86,0.453,23.3,19.7,8.0,6.145,284.0,25.0
47.2,396.9,0.0,0.10328,6.932,5.13,9.22,0.453,19.6,19.7,8.0,5.927,284.0,25.0
66.2,395.11,0.0,0.14932,7.2254,5.13,13.15,0.453,18.7,19.7,8.0,5.741,284.0,25.0
93.4,378.08,0.0,0.17171,6.8185,5.13,14.44,0.453,16.0,19.7,8.0,5.966,284.0,25.0
67.8,396.9,0.0,0.11027,7.2255,5.13,6.73,0.453,22.2,19.7,8.0,6.456,284.0,25.0
43.4,395.58,0.0,0.1265,7.9809,5.13,9.5,0.453,25.0,19.7,8.0,6.762,284.0,25.0
59.5,393.24,0.0,0.01951,9.2229,1.38,8.05,0.4161,33.0,18.6,3.0,7.104,216.0,17.5
17.8,396.9,0.0,0.03584,6.6115,3.37,4.67,0.398,23.5,16.1,4.0,6.29,337.0,80.0
31.1,396.9,0.0,0.04379,6.6115,3.37,10.24,0.398,19.4,16.1,4.0,5.787,337.0,80.0
21.4,396.21,0.0,0.05789,6.498,6.07,8.1,0.409,22.0,18.9,4.0,5.878,345.0,12.5
36.8,396.9,0.0,0.13554,6.498,6.07,13.09,0.409,17.4,18.9,4.0,5.594,345.0,12.5
33.0,396.9,0.0,0.12816,6.498,6.07,8.79,0.409,20.9,18.9,4.0,5.885,345.0,12.5
6.6,383.73,0.0,0.08826,5.2873,10.81,6.72,0.413,24.2,19.2,4.0,6.417,305.0,0.0
17.5,376.94,0.0,0.15876,5.2873,10.81,9.88,0.413,21.7,19.2,4.0,5.961,305.0,0.0
7.8,390.91,0.0,0.09164,5.2873,10.81,5.52,0.413,22.8,19.2,4.0,6.065,305.0,0.0
6.2,377.17,0.0,0.19539,5.2873,10.81,7.54,0.413,23.4,19.2,4.0,6.245,305.0,0.0
6.0,394.92,0.0,0.07896,4.2515,12.83,6.78,0.437,24.1,18.7,5.0,6.273,398.0,0.0
45.0,383.23,0.0,0.09512,4.5026,12.83,8.94,0.437,21.4,18.7,5.0,6.286,398.0,0.0
74.5,373.66,0.0,0.10153,4.0522,12.83,11.97,0.437,20.0,18.7,5.0,6.279,398.0,0.0
45.8,386.96,0.0,0.08707,4.0905,12.83,10.27,0.437,20.8,18.7,5.0,6.14,398.0,0.0
53.7,386.4,0.0,0.05646,5.0141,12.83,12.34,0.437,21.2,18.7,5.0,6.232,398.0,0.0
36.6,396.06,0.0,0.08387,4.5026,12.83,9.1,0.437,20.3,18.7,5.0,5.874,398.0,0.0
33.5,396.9,0.0,0.04113,5.4007,4.86,5.29,0.426,28.0,19.0,4.0,6.727,281.0,25.0
70.4,395.63,0.0,0.04462,5.4007,4.86,7.22,0.426,23.9,19.0,4.0,6.619,281.0,25.0
32.2,396.9,0.0,0.03659,5.4007,4.86,6.72,0.426,24.8,19.0,4.0,6.302,281.0,25.0
46.7,390.64,0.0,0.03551,5.4007,4.86,7.51,0.426,22.9,19.0,4.0,6.167,281.0,25.0
48.0,396.9,0.0,0.05059,4.7794,4.49,9.62,0.449,23.9,18.5,3.0,6.389,247.0,0.0
56.1,392.3,0.0,0.05735,4.4377,4.49,6.53,0.449,26.6,18.5,3.0,6.63,247.0,0.0
45.1,395.99,0.0,0.05188,4.4272,4.49,12.86,0.449,22.5,18.5,3.0,6.015,247.0,0.0
56.8,395.15,0.0,0.07151,3.7476,4.49,8.44,0.449,22.2,18.5,3.0,6.121,247.0,0.0
86.3,396.9,0.0,0.0566,3.4217,3.41,5.5,0.489,23.6,17.8,2.0,7.007,270.0,0.0
63.1,396.06,0.0,0.05302,3.4145,3.41,5.7,0.489,28.7,17.8,2.0,7.079,270.0,0.0
66.1,392.18,0.0,0.04684,3.0923,3.41,8.81,0.489,22.6,17.8,2.0,6.417,270.0,0.0
73.9,393.55,0.0,0.03932,3.0921,3.41,8.2,0.489,22.0,17.8,2.0,6.405,270.0,0.0
53.6,395.01,0.0,0.04203,3.6659,15.04,8.16,0.464,22.9,18.2,4.0,6.442,270.0,28.0
28.9,396.33,0.0,0.02875,3.6659,15.04,6.21,0.464,25.0,18.2,4.0,6.211,270.0,28.0
77.3,396.9,0.0,0.04294,3.615,15.04,10.59,0.464,20.6,18.2,4.0,6.249,270.0,28.0
57.8,357.98,0.0,0.12204,3.4952,2.89,6.65,0.445,28.4,18.0,2.0,6.625,276.0,0.0
69.6,391.83,0.0,0.11504,3.4952,2.89,11.34,0.445,21.4,18.0,2.0,6.163,276.0,0.0
76.0,396.9,0.0,0.12083,3.4952,2.89,4.21,0.445,38.7,18.0,2.0,8.069,276.0,0.0
36.9,393.53,0.0,0.08187,3.4952,2.89,3.57,0.445,43.8,18.0,2.0,7.82,276.0,0.0
62.5,396.9,0.0,0.0686,3.4952,2.89,6.19,0.445,33.2,18.0,2.0,7.416,276.0,0.0
79.9,394.76,0.0,0.14866,2.7778,8.56,9.42,0.52,27.5,20.9,5.0,6.727,384.0,0.0
71.3,395.58,0.0,0.11432,2.8561,8.56,7.67,0.52,26.5,20.9,5.0,6.781,384.0,0.0
85.4,70.8,0.0,0.22876,2.7147,8.56,10.63,0.52,18.6,20.9,5.0,6.405,384.0,0.0
87.4,394.47,0.0,0.21161,2.7147,8.56,13.44,0.52,19.3,20.9,5.0,6.137,384.0,0.0
90.0,392.69,0.0,0.1396,2.421,8.56,12.33,0.52,20.1,20.9,5.0,6.167,384.0,0.0
96.7,394.05,0.0,0.13262,2.1069,8.56,16.47,0.52,19.5,20.9,5.0,5.851,384.0,0.0
91.9,395.67,0.0,0.1712,2.211,8.56,18.66,0.52,19.5,20.9,5.0,5.836,384.0,0.0
85.2,387.69,0.0,0.13117,2.1224,8.56,14.09,0.52,20.4,20.9,5.0,6.127,384.0,0.0
97.1,395.24,0.0,0.12802,2.4329,8.56,12.27,0.52,19.8,20.9,5.0,6.474,384.0,0.0
91.2,391.23,0.0,0.26363,2.5451,8.56,15.55,0.52,19.4,20.9,5.0,6.229,384.0,0.0
54.4,393.49,0.0,0.10793,2.7778,8.56,13.0,0.52,21.7,20.9,5.0,6.195,384.0,0.0
81.6,395.59,0.0,0.10084,2.6775,10.01,10.16,0.547,22.8,17.8,6.0,6.715,432.0,0.0
92.9,394.95,0.0,0.12329,2.3534,10.01,16.21,0.547,18.8,17.8,6.0,5.913,432.0,0.0
95.4,396.9,0.0,0.22212,2.548,10.01,17.09,0.547,18.7,17.8,6.0,6.092,432.0,0.0
84.2,388.74,0.0,0.14231,2.2565,10.01,10.45,0.547,18.5,17.8,6.0,6.254,432.0,0.0
88.2,344.91,0.0,0.17134,2.4631,10.01,15.76,0.547,18.3,17.8,6.0,5.928,432.0,0.0
72.5,393.3,0.0,0.13158,2.7301,10.01,12.04,0.547,21.2,17.8,6.0,6.176,432.0,0.0
82.6,394.51,0.0,0.15098,2.7474,10.01,10.3,0.547,19.2,17.8,6.0,6.021,432.0,0.0
73.1,338.63,0.0,0.13058,2.4775,10.01,15.37,0.547,20.4,17.8,6.0,5.872,432.0,0.0
65.2,391.5,0.0,0.14476,2.7592,10.01,13.61,0.547,19.3,17.8,6.0,5.731,432.0,0.0
69.7,389.15,0.0,0.06899,2.2577,25.65,14.37,0.581,22.0,19.1,2.0,5.87,188.0,0.0
84.1,377.67,0.0,0.07165,2.1974,25.65,14.27,0.581,20.3,19.1,2.0,6.004,188.0,0.0
92.9,378.09,0.0,0.09299,2.0869,25.65,17.93,0.581,20.5,19.1,2.0,5.961,188.0,0.0
97.0,370.31,0.0,0.15038,1.9444,25.65,25.41,0.581,17.3,19.1,2.0,5.856,188.0,0.0
95.8,379.38,0.0,0.09849,2.0063,25.65,17.58,0.581,18.8,19.1,2.0,5.879,188.0,0.0
88.4,385.02,0.0,0.16902,1.9929,25.65,14.81,0.581,21.4,19.1,2.0,5.986,188.0,0.0
95.6,359.29,0.0,0.38735,1.7572,25.65,27.26,0.581,15.7,19.1,2.0,5.613,188.0,0.0
96.0,392.11,0.0,0.25915,1.7883,21.89,17.19,0.624,16.2,21.2,4.0,5.693,437.0,0.0
98.8,396.9,0.0,0.32543,1.8125,21.89,15.39,0.624,18.0,21.2,4.0,6.431,437.0,0.0
94.7,396.9,0.0,0.88125,1.9799,21.89,18.34,0.624,14.3,21.2,4.0,5.637,437.0,0.0
98.9,395.04,0.0,0.34006,2.1185,21.89,12.6,0.624,19.2,21.2,4.0,6.458,437.0,0.0
97.7,396.9,0.0,1.19294,2.271,21.89,12.26,0.624,19.6,21.2,4.0,6.326,437.0,0.0
97.9,385.76,0.0,0.59005,2.3274,21.89,11.12,0.624,23.0,21.2,4.0,6.372,437.0,0.0
95.4,388.69,0.0,0.32982,2.4699,21.89,15.03,0.624,18.4,21.2,4.0,5.822,437.0,0.0
98.4,262.76,0.0,0.97617,2.346,21.89,17.31,0.624,15.6,21.2,4.0,5.757,437.0,0.0
98.2,394.67,0.0,0.55778,2.1107,21.89,16.96,0.624,18.1,21.2,4.0,6.335,437.0,0.0
93.5,378.25,0.0,0.32264,1.9669,21.89,16.9,0.624,17.4,21.2,4.0,5.942,437.0,0.0
98.4,394.08,0.0,0.35233,1.8498,21.89,14.59,0.624,17.1,21.2,4.0,6.454,437.0,0.0
98.2,392.04,0.0,0.2498,1.6686,21.89,21.32,0.624,13.3,21.2,4.0,5.857,437.0,0.0
97.9,396.9,0.0,0.54452,1.6687,21.89,18.46,0.624,17.8,21.2,4.0,6.151,437.0,0.0
93.6,388.08,0.0,0.2909,1.6119,21.89,24.16,0.624,14.0,21.2,4.0,6.174,437.0,0.0
100.0,396.9,0.0,1.62864,1.4394,21.89,34.41,0.624,14.4,21.2,4.0,5.019,437.0,0.0
100.0,396.9,1.0,3.32105,1.3216,19.58,26.82,0.871,13.4,14.7,5.0,5.403,403.0,0.0
100.0,396.9,0.0,4.0974,1.4118,19.58,26.42,0.871,15.6,14.7,5.0,5.468,403.0,0.0
97.8,396.9,0.0,2.77974,1.3459,19.58,29.29,0.871,11.8,14.7,5.0,4.903,403.0,0.0
100.0,172.91,0.0,2.37934,1.4191,19.58,27.8,0.871,13.8,14.7,5.0,6.13,403.0,0.0
100.0,169.27,0.0,2.15505,1.5166,19.58,16.65,0.871,15.6,14.7,5.0,5.628,403.0,0.0
95.7,391.71,0.0,2.36862,1.4608,19.58,29.53,0.871,14.6,14.7,5.0,4.926,403.0,0.0
93.8,356.99,0.0,2.33099,1.5296,19.58,28.32,0.871,17.8,14.7,5.0,5.186,403.0,0.0
94.9,351.85,0.0,2.73397,1.5257,19.58,21.45,0.871,15.4,14.7,5.0,5.597,403.0,0.0
97.3,372.8,0.0,1.6566,1.618,19.58,14.1,0.871,21.5,14.7,5.0,6.122,403.0,0.0
100.0,341.6,0.0,1.49632,1.5916,19.58,13.28,0.871,19.6,14.7,5.0,5.404,403.0,0.0
88.0,343.28,1.0,1.12658,1.6102,19.58,12.12,0.871,15.3,14.7,5.0,5.012,403.0,0.0
98.5,261.95,0.0,2.14918,1.6232,19.58,15.79,0.871,19.4,14.7,5.0,5.709,403.0,0.0
96.0,321.02,1.0,1.41385,1.7494,19.58,15.12,0.871,17.0,14.7,5.0,6.129,403.0,0.0
82.6,88.01,1.0,3.53501,1.7455,19.58,15.02,0.871,15.6,14.7,5.0,6.152,403.0,0.0
94.0,88.63,0.0,2.44668,1.7364,19.58,16.14,0.871,13.1,14.7,5.0,5.272,403.0,0.0
97.4,363.43,0.0,1.22358,1.8773,19.58,4.59,0.605,41.3,14.7,5.0,6.943,403.0,0.0
100.0,353.89,0.0,1.34284,1.7573,19.58,6.43,0.605,24.3,14.7,5.0,6.066,403.0,0.0
100.0,364.31,0.0,1.42502,1.7659,19.58,7.39,0.871,23.3,14.7,5.0,6.51,403.0,0.0
92.6,338.92,1.0,1.27346,1.7984,19.58,5.5,0.605,27.0,14.7,5.0,6.25,403.0,0.0
90.8,374.43,0.0,1.46336,1.9709,19.58,1.73,0.605,50.0,14.7,5.0,7.489,403.0,0.0
98.2,389.61,1.0,1.83377,2.0407,19.58,1.92,0.605,50.0,14.7,5.0,7.802,403.0,0.0
93.9,388.45,1.0,1.51902,2.162,19.58,3.32,0.605,50.0,14.7,5.0,8.375,403.0,0.0
91.8,395.11,0.0,2.24236,2.422,19.58,11.64,0.605,22.7,14.7,5.0,5.854,403.0,0.0
93.0,240.16,0.0,2.924,2.2834,19.58,9.81,0.605,25.0,14.7,5.0,6.101,403.0,0.0
96.2,369.3,0.0,2.01019,2.0459,19.58,3.7,0.605,50.0,14.7,5.0,7.929,403.0,0.0
79.2,227.61,0.0,1.80028,2.4259,19.58,12.14,0.605,23.8,14.7,5.0,5.877,403.0,0.0
96.1,297.09,0.0,2.3004,2.1,19.58,11.1,0.605,23.8,14.7,5.0,6.319,403.0,0.0
95.2,330.04,0.0,2.44953,2.2625,19.58,11.32,0.605,22.3,14.7,5.0,6.402,403.0,0.0
94.6,292.29,0.0,1.20742,2.4259,19.58,14.43,0.605,17.4,14.7,5.0,5.875,403.0,0.0
97.3,348.13,0.0,2.3139,2.3887,19.58,12.03,0.605,19.1,14.7,5.0,5.88,403.0,0.0
88.5,396.9,0.0,0.13914,2.5961,4.05,14.69,0.51,23.1,16.6,5.0,5.572,296.0,0.0
84.1,395.5,0.0,0.09178,2.6463,4.05,9.04,0.51,23.6,16.6,5.0,6.416,296.0,0.0
68.7,393.23,0.0,0.08447,2.7019,4.05,9.64,0.51,22.6,16.6,5.0,5.859,296.0,0.0
33.1,390.96,0.0,0.06664,3.1323,4.05,5.33,0.51,29.4,16.6,5.0,6.546,296.0,0.0
47.2,393.23,0.0,0.07022,3.5549,4.05,10.11,0.51,23.2,16.6,5.0,6.02,296.0,0.0
73.4,395.6,0.0,0.05425,3.3175,4.05,6.29,0.51,24.6,16.6,5.0,6.315,296.0,0.0
74.4,391.27,0.0,0.06642,2.9153,4.05,6.92,0.51,29.9,16.6,5.0,6.86,296.0,0.0
58.4,396.9,0.0,0.0578,2.829,2.46,5.04,0.488,37.2,17.8,3.0,6.98,193.0,0.0
83.3,395.56,0.0,0.06588,2.741,2.46,7.56,0.488,39.8,17.8,3.0,7.765,193.0,0.0
62.2,396.9,0.0,0.06888,2.5979,2.46,9.45,0.488,36.2,17.8,3.0,6.144,193.0,0.0
92.2,394.12,0.0,0.09103,2.7006,2.46,4.82,0.488,37.9,17.8,3.0,7.155,193.0,0.0
95.6,396.9,0.0,0.10008,2.847,2.46,5.68,0.488,32.5,17.8,3.0,6.563,193.0,0.0
89.8,391.0,0.0,0.08308,2.9879,2.46,13.98,0.488,26.4,17.8,3.0,5.604,193.0,0.0
68.8,387.11,0.0,0.06047,3.2797,2.46,13.15,0.488,29.6,17.8,3.0,6.153,193.0,0.0
53.6,392.63,0.0,0.05602,3.1992,2.46,4.45,0.488,50.0,17.8,3.0,7.831,193.0,0.0
41.1,393.87,0.0,0.07875,3.7886,3.44,6.68,0.437,32.0,15.2,5.0,6.782,398.0,45.0
29.1,382.84,0.0,0.12579,4.5667,3.44,4.56,0.437,29.8,15.2,5.0,6.556,398.0,45.0
38.9,396.9,0.0,0.0837,4.5667,3.44,5.39,0.437,34.9,15.2,5.0,7.185,398.0,45.0
21.5,377.68,0.0,0.09068,6.4798,3.44,5.1,0.437,37.0,15.2,5.0,6.951,398.0,45.0
30.8,389.71,0.0,0.06911,6.4798,3.44,4.69,0.437,30.5,15.2,5.0,6.739,398.0,45.0
26.3,390.49,0.0,0.08664,6.4798,3.44,2.87,0.437,36.4,15.2,5.0,7.178,398.0,45.0
9.9,393.37,0.0,0.02187,6.2196,2.93,5.03,0.401,31.1,15.6,1.0,6.8,265.0,60.0
18.8,376.7,0.0,0.01439,6.2196,2.93,4.38,0.401,29.1,15.6,1.0,6.604,265.0,60.0
32.0,394.23,0.0,0.01381,5.6484,0.46,2.97,0.422,50.0,14.4,4.0,7.875,255.0,80.0
34.1,396.9,0.0,0.04011,7.309,1.52,4.08,0.404,33.3,12.6,2.0,7.287,329.0,80.0
36.6,354.31,0.0,0.04666,7.309,1.52,8.61,0.404,30.3,12.6,2.0,7.107,329.0,80.0
38.3,392.2,0.0,0.03768,7.309,1.52,6.62,0.404,34.6,12.6,2.0,7.274,329.0,80.0
15.3,396.9,0.0,0.0315,7.6534,1.47,4.56,0.403,34.9,17.0,3.0,6.975,402.0,95.0
13.9,384.3,0.0,0.01778,7.6534,1.47,4.45,0.403,32.9,17.0,3.0,7.135,402.0,95.0
38.4,393.77,0.0,0.03445,6.27,2.03,7.43,0.415,24.1,14.7,2.0,6.162,348.0,82.5
15.7,395.38,0.0,0.02177,6.27,2.03,3.11,0.415,42.3,14.7,2.0,7.61,348.0,82.5
33.2,392.78,0.0,0.0351,5.118,2.68,3.81,0.4161,48.5,14.7,4.0,7.853,224.0,95.0
31.9,390.55,0.0,0.02009,5.118,2.68,2.88,0.4161,50.0,14.7,4.0,8.034,224.0,95.0
22.3,396.9,0.0,0.13642,3.9454,10.59,10.87,0.489,22.6,18.6,4.0,5.891,277.0,0.0
52.5,394.87,0.0,0.22969,4.3549,10.59,10.97,0.489,24.4,18.6,4.0,6.326,277.0,0.0
72.7,389.43,0.0,0.25199,4.3549,10.59,18.06,0.489,22.5,18.6,4.0,5.783,277.0,0.0
59.1,381.32,1.0,0.13587,4.2392,10.59,14.66,0.489,24.4,18.6,4.0,6.064,277.0,0.0
100.0,396.9,1.0,0.43571,3.875,10.59,23.09,0.489,20.0,18.6,4.0,5.344,277.0,0.0
92.1,393.25,1.0,0.17446,3.8771,10.59,17.27,0.489,21.7,18.6,4.0,5.96,277.0,0.0
88.6,395.24,1.0,0.37578,3.665,10.59,23.98,0.489,19.3,18.6,4.0,5.404,277.0,0.0
53.8,390.94,1.0,0.21719,3.6526,10.59,16.03,0.489,22.4,18.6,4.0,5.807,277.0,0.0
32.3,385.81,0.0,0.14052,3.9454,10.59,9.38,0.489,28.1,18.6,4.0,6.375,277.0,0.0
9.8,348.93,0.0,0.28955,3.5875,10.59,29.55,0.489,23.7,18.6,4.0,5.412,277.0,0.0
42.4,393.63,0.0,0.19802,3.9454,10.59,9.47,0.489,25.0,18.6,4.0,6.182,277.0,0.0
56.0,392.8,1.0,0.0456,3.1121,13.89,13.51,0.55,23.3,16.4,5.0,5.888,276.0,0.0
85.1,392.78,0.0,0.07013,3.4211,13.89,9.69,0.55,28.7,16.4,5.0,6.642,276.0,0.0
93.8,396.9,1.0,0.11069,2.8893,13.89,17.92,0.55,21.5,16.4,5.0,5.951,276.0,0.0
92.4,393.74,1.0,0.11425,3.3633,13.89,10.5,0.55,23.0,16.4,5.0,6.373,276.0,0.0
88.5,391.7,1.0,0.35809,2.8617,6.2,9.71,0.507,26.7,17.4,8.0,6.951,307.0,0.0
91.3,395.24,1.0,0.40771,3.048,6.2,21.46,0.507,21.7,17.4,8.0,6.164,307.0,0.0
77.7,390.39,1.0,0.62356,3.2721,6.2,9.93,0.507,27.5,17.4,8.0,6.879,307.0,0.0
80.8,396.9,0.0,0.6147,3.2721,6.2,7.6,0.507,30.1,17.4,8.0,6.618,307.0,0.0
78.3,385.05,0.0,0.31533,2.8944,6.2,4.14,0.504,44.8,17.4,8.0,8.266,307.0,0.0
83.0,382.0,0.0,0.52693,2.8944,6.2,4.63,0.504,50.0,17.4,8.0,8.725,307.0,0.0
86.5,387.38,0.0,0.38214,3.2157,6.2,3.13,0.504,37.6,17.4,8.0,8.04,307.0,0.0
79.9,372.08,0.0,0.41238,3.2157,6.2,6.36,0.504,31.6,17.4,8.0,7.163,307.0,0.0
17.0,377.51,0.0,0.29819,3.3751,6.2,3.92,0.504,46.7,17.4,8.0,7.686,307.0,0.0
21.4,380.34,0.0,0.44178,3.3751,6.2,3.76,0.504,31.5,17.4,8.0,6.552,307.0,0.0
68.1,378.35,0.0,0.537,3.6715,6.2,11.65,0.504,24.3,17.4,8.0,5.981,307.0,0.0
76.9,376.14,0.0,0.46296,3.6715,6.2,5.25,0.504,31.7,17.4,8.0,7.412,307.0,0.0
73.3,385.91,0.0,0.57529,3.8384,6.2,2.47,0.507,41.7,17.4,8.0,8.337,307.0,0.0
70.4,378.95,0.0,0.33147,3.6519,6.2,3.95,0.507,48.3,17.4,8.0,8.247,307.0,0.0
66.5,360.2,1.0,0.44791,3.6519,6.2,8.05,0.507,29.0,17.4,8.0,6.726,307.0,0.0
61.5,376.75,0.0,0.33045,3.6519,6.2,10.88,0.507,24.0,17.4,8.0,6.086,307.0,0.0
76.5,388.45,1.0,0.52058,4.148,6.2,9.54,0.507,25.1,17.4,8.0,6.631,307.0,0.0
71.6,390.07,0.0,0.51183,4.148,6.2,4.73,0.507,31.5,17.4,8.0,7.358,307.0,0.0
18.5,379.41,0.0,0.08244,6.1899,4.93,6.36,0.428,23.7,16.6,6.0,6.481,300.0,30.0
