hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
20.0,0.0,2.0,0.0,3.5,0.1,0.1667,0.37,0.2239,0.0,18.0,-22.27275
1.0,0.0,2.0,1.0,1.0,0.08,0.197,0.37,0.2239,17.998625,1.0,11.0
16.0,0.0,2.0,1.0,1.0,0.18,0.1212,0.55,0.2537,11.0,55.0,-22.27275
12.07,0.0,2.0,1.0,1.0,0.16,0.1212,0.55,0.2836,8.0,59.0,45.0
20.0,0.0,3.0,1.0,1.0,0.14,0.1061,0.74,0.1642,9.0,74.0,84.0
0.0,0.0,3.0,1.0,1.0,0.12,0.0606,0.74,0.1642,5.0,163.0,-22.27275
9.75,0.0,3.0,1.0,2.0,0.1,0.0909,0.59,0.1642,4.0,19.0,-22.27275
7.0,0.0,4.0,1.0,2.0,0.2,0.1667,0.39,0.1045,16.0,125.0,5.0
8.0,0.0,4.0,1.0,2.0,0.2,0.1515,0.42,0.1045,19.0,47.0,34.0
12.07,0.0,5.0,1.0,3.0,0.18,0.1061,0.4,0.2537,1.0,92.0,72.0
6.0,0.0,6.0,1.0,1.0,0.14,0.1515,0.54,0.5224,0.0,8.0,7.0
14.0,0.0,6.0,1.0,1.0,0.18,0.1818,0.5,0.4627,8.0,60.0,9.0
18.0,0.0,6.0,1.0,1.0,0.2,0.197,0.4,0.3881,5.0,83.0,61.0
14.0,0.0,0.0,1.0,2.0,0.16,0.2273,0.4,0.4179,3.0,64.0,102.0
19.0,0.0,0.0,1.0,1.0,0.14,0.1515,0.4,0.194,0.0,26.0,74.0
9.0,0.0,0.0,0.0,1.0,0.14,0.1515,0.55,0.2239,0.0,4.0,22.0
12.0,0.0,0.0,0.0,1.0,0.2,0.1515,0.55,0.2836,0.0,1.0,25.0
15.0,0.0,0.0,0.0,3.5,0.22,0.1667,0.51,0.2985,1.0,1.0,11.0
9.0,0.0,1.0,0.0,1.0,0.1,0.1212,0.93,0.194,5.0,-13.312500000000002,49.0
11.0,0.0,1.0,0.0,2.0,0.1,0.1212,0.93,0.1642,13.0,77.0,49.0
14.0,0.0,1.0,0.0,3.5,0.12,0.1212,0.86,0.1045,3.0,79.0,83.0
22.0,0.0,2.0,0.0,1.0,0.22,0.1364,0.55,0.1642,2.0,6.0,41.0
8.0,0.0,3.0,0.0,2.0,0.16,0.1818,0.47,0.2239,2.0,31.0,3.0
11.0,0.0,3.0,0.0,3.5,0.16,0.1515,0.5,0.1045,4.0,75.0,1.0
12.0,0.0,3.0,0.0,2.0,0.16,0.1212,0.55,0.0,2.0,184.0,3.0
8.0,0.0,3.0,0.0,1.0,0.32,0.1667,0.5,0.1343,3.0,154.0,47.0
-7.45,0.0,3.0,0.0,1.0,0.3,0.197,0.5,0.1642,1.0,-14.8725,45.0
10.0,0.0,3.0,0.0,1.0,0.32,0.197,0.5,0.3284,1.0,73.0,74.0
13.0,0.0,4.0,0.0,1.0,0.3,0.2424,0.41,0.5821,2.0,18.0,95.0
15.0,0.0,4.0,0.0,1.0,0.26,0.2576,0.38,0.3582,0.0,10.0,74.0
3.0,0.0,4.0,1.0,2.0,0.22,0.197,0.46,0.4179,3.0,97.0,3.0
8.0,0.0,4.0,1.0,2.0,0.26,0.2273,0.54,0.4478,4.0,51.0,6.0
3.0,0.0,5.0,1.0,3.0,0.18,0.3333,0.37,0.194,0.0,32.0,47.0
17.0,0.0,5.0,1.0,2.0,0.16,0.2879,0.59,0.4478,0.0,7.0,51.0
21.0,0.0,6.0,1.0,2.0,0.18,0.2727,0.69,0.2985,0.0,1.0,-22.27275
-6.25,0.0,6.0,1.0,2.0,0.18,0.2727,0.55,0.2836,0.0,16.0,19.0
1.0,0.0,6.0,1.0,2.0,0.2,0.2576,0.55,0.3284,3.0,54.0,7.0
5.0,0.0,6.0,1.0,2.0,0.2,0.2576,0.59,0.2537,-10.664375,125.0,6.0
11.0,0.0,0.0,1.0,1.0,0.22,0.2121,0.34,0.2836,1.0,57.0,68.0
6.0,0.0,1.0,1.0,1.0,0.4,0.1515,0.56,0.0,0.0,3.0,7.0
7.0,0.0,1.0,1.0,2.0,0.4,0.1515,0.69,0.0,-10.664375,28.0,2.0
8.0,0.0,1.0,1.0,1.0,0.4,0.1515,0.56,0.0,5.0,72.0,-22.27275
2.0,0.0,2.0,0.0,1.0,0.26,0.2273,0.47,0.2239,0.0,64.0,42.0
12.0,0.0,3.0,0.0,1.0,0.24,0.2273,0.43,0.2537,0.0,1.0,40.0
2.0,0.0,4.0,1.0,2.0,0.22,0.4091,0.55,0.0896,-10.664375,59.0,46.7673
11.0,0.0,5.0,1.0,1.0,0.12,0.303,0.51,0.1642,9.0,59.0,158.0
16.0,0.0,5.0,1.0,1.0,0.06,0.2727,0.8,0.2836,3.0,134.0,61.0
17.0,0.0,5.0,1.0,1.0,0.04,0.2727,0.93,0.2537,0.0,89.0,77.0
-7.45,0.0,5.0,1.0,1.0,0.04,0.2576,0.86,0.2537,2.0,48.0,68.0
23.0,0.0,5.0,1.0,2.0,0.02,0.2121,0.87,0.2537,3.0,26.3075,159.0
-7.45,0.0,5.0,1.0,1.0,0.04,0.2273,0.87,0.2537,2.0,25.0,139.0
13.0,0.0,6.0,1.0,1.0,0.12,0.303,0.93,0.1642,1.0,1.0,27.0
12.07,0.0,6.0,1.0,1.0,0.02,0.2273,0.92,0.1343,17.998625,74.0,3.0
12.0,0.0,0.0,1.0,1.0,0.14,0.1818,0.58,0.194,14.0,95.0,59.0
14.0,0.0,0.0,1.0,2.0,0.14,0.1667,0.54,0.1343,6.0,26.3075,72.0
-6.25,0.0,0.0,1.0,1.0,0.14,0.1515,0.57,0.1642,6.0,51.0,129.0
3.0,0.0,0.0,1.0,2.0,0.06,0.0758,0.56,0.2537,0.0,6.0,57.0
10.0,0.0,0.0,1.0,1.0,0.04,0.0455,0.56,0.2239,3.0,1.0,39.0
0.0,0.0,1.0,1.0,2.0,0.12,0.0303,0.42,0.1045,23.0,95.0,3.0
-7.45,0.0,1.0,1.0,2.0,0.14,0.0606,0.45,0.0896,11.0,69.0,18.0
12.0,0.0,1.0,1.0,2.0,0.14,0.1515,0.56,0.1343,7.0,77.0,79.0
13.0,0.0,1.0,0.0,2.0,0.14,0.1364,0.56,0.1343,6.0,82.0,93.0
12.07,0.0,2.0,0.0,3.0,0.16,0.0909,0.6,0.1343,2.0,56.0,104.0
21.0,0.0,2.0,0.0,3.0,0.16,0.0758,0.65,0.0896,0.0,47.0,118.0
12.07,0.0,2.0,0.0,1.0,0.24,0.0606,0.6,0.0896,17.998625,16.0,37.36365
21.0,0.0,3.0,0.0,2.0,0.32,0.0758,0.47,0.3881,3.0,2.0,21.0
-7.45,0.0,3.0,0.0,2.0,0.22,0.1364,0.26,0.1642,12.0,50.0,3.0
9.0,0.0,3.0,0.0,3.0,0.22,0.1061,0.3,0.3881,21.0,55.0,37.36365
11.0,0.0,3.0,0.0,3.0,0.22,0.1212,0.33,0.0,4.0,22.7875,13.0
16.0,0.0,3.0,0.0,1.0,0.22,0.0606,0.45,0.2239,3.0,67.0,46.7673
-7.45,0.0,4.0,0.0,2.0,0.22,0.0606,0.41,0.2239,0.0,26.3075,80.0
23.0,0.0,4.0,1.0,2.0,0.22,0.0455,0.41,0.2836,1.0,58.0,93.0
4.0,0.0,4.0,1.0,1.0,0.22,0.0606,0.48,0.2985,-10.664375,-14.8725,93.0
6.0,0.0,4.0,1.0,1.0,0.22,0.0758,0.44,0.1642,2.0,13.0,82.0
17.0,0.0,4.0,1.0,2.0,0.2,0.1667,0.28,0.194,0.0,61.0,13.0
4.0,0.0,5.0,1.0,1.0,0.18,0.1515,0.57,0.2537,1.0,41.0,35.0
9.0,0.0,5.0,1.0,1.0,0.22,0.1667,0.57,0.1642,1.0,19.0,125.0
15.0,0.0,5.0,1.0,2.0,0.24,0.1818,0.57,0.4179,1.0,3.0,83.0
20.0,0.0,5.0,1.0,1.0,0.24,0.1818,0.62,0.2836,2.0,7.0,33.0
2.0,0.0,6.0,1.0,1.0,0.22,0.2424,0.46,0.3582,1.0,32.0,20.0
13.0,0.0,6.0,1.0,2.0,0.18,0.3182,0.28,0.5821,11.0,-14.8725,7.0
20.0,0.0,6.0,1.0,1.0,0.24,0.2273,0.3,0.3582,7.0,67.0,32.0
21.0,0.0,6.0,1.0,1.0,0.22,0.2424,0.36,0.3582,-10.664375,68.0,37.36365
9.0,0.0,0.0,1.0,2.0,0.16,0.2121,0.45,0.3881,6.0,156.0,47.0
13.0,0.0,0.0,1.0,2.0,0.14,0.197,0.48,0.3284,1.0,108.0,52.0
15.0,0.0,0.0,1.0,2.0,0.14,0.197,0.48,0.3881,5.0,74.0,70.0
20.0,0.0,0.0,1.0,2.0,0.22,0.1818,0.42,0.2239,0.0,8.0,37.36365
21.0,0.0,0.0,1.0,2.0,0.3,0.2273,0.46,0.2836,0.0,3.0,197.0
14.0,0.0,1.0,1.0,2.0,0.24,0.2121,0.59,0.0,12.0,140.0,37.36365
1.0,0.0,1.0,1.0,2.0,0.16,0.2121,0.69,0.1343,8.0,77.0,-22.27275
4.0,0.0,1.0,1.0,3.0,0.16,0.2121,0.74,0.1642,8.0,86.0,1.0
19.0,0.0,2.0,0.0,2.0,0.3,0.2273,0.56,0.1045,0.0,54.0,68.0
4.0,0.0,2.0,0.0,1.0,0.16,0.2273,0.49,0.2239,1.0,6.0,70.0
9.0,0.0,2.0,0.0,1.0,0.16,0.1818,0.65,0.4627,0.0,-14.8725,91.0
23.0,0.0,3.0,0.0,1.0,0.24,0.2424,0.86,0.2537,6.0,57.0,31.0
20.0,0.0,4.0,0.0,3.5,0.22,0.2121,0.55,0.0,3.0,41.0,63.0
5.0,0.0,4.0,0.0,2.0,0.24,0.303,0.74,0.2239,0.0,11.0,65.0
10.0,0.0,4.0,1.0,2.0,0.38,0.2879,0.75,0.2537,3.0,2.0,120.0
11.0,0.0,4.0,1.0,2.0,0.36,0.2576,0.75,0.194,4.0,8.0,96.0
14.0,0.0,5.0,1.0,2.0,0.28,0.2424,0.8,0.1642,12.0,37.0,-22.27275
15.0,0.0,5.0,1.0,2.0,0.24,0.2273,0.86,0.2239,11.0,50.0,34.0
3.0,0.0,5.0,1.0,2.0,0.2,0.2273,0.93,0.2239,0.0,64.0,11.0
15.0,0.0,6.0,1.0,2.0,0.18,0.1364,0.75,0.1343,2.0,53.0,27.0
17.0,0.0,6.0,1.0,3.0,0.2,0.1515,0.75,0.1045,17.998625,39.0,53.0
19.0,0.0,6.0,1.0,3.0,0.22,0.2273,0.75,0.0896,3.0,23.0,37.36365
3.0,0.0,6.0,1.0,3.0,0.2,0.3182,0.64,0.0,2.0,4.0,83.0
6.0,0.0,6.0,1.0,3.0,0.18,0.197,0.69,0.1642,7.0,1.0,54.0
10.0,0.0,6.0,1.0,2.0,0.16,0.1818,0.55,0.1642,-10.664375,17.0,45.0
12.0,0.0,6.0,1.0,2.0,0.14,0.1818,0.59,0.1642,12.0,25.0,-22.27275
17.0,0.0,0.0,1.0,1.0,0.14,0.2121,0.55,0.2836,5.0,75.0,13.0
22.0,0.0,0.0,1.0,1.0,0.16,0.2273,0.69,0.2985,5.0,93.0,18.0
6.0,0.0,0.0,1.0,1.0,0.26,0.2424,0.69,0.2985,4.0,56.0,3.0
8.0,0.0,0.0,1.0,1.0,0.28,0.2576,0.74,0.3284,5.0,44.0,2.0
18.0,0.0,0.0,1.0,1.0,0.24,0.2424,0.8,0.3284,0.0,23.0,99.0
21.0,0.0,1.0,1.0,1.0,0.24,0.2576,0.93,0.194,0.0,7.0,87.0
22.0,0.0,1.0,1.0,1.0,0.24,0.197,0.86,0.1045,0.0,1.0,110.0
23.0,0.0,1.0,1.0,1.0,0.24,0.2424,0.86,0.0896,5.0,1.0,77.0
5.0,0.0,1.0,1.0,1.0,0.2,0.2424,0.61,0.1343,11.0,171.0,35.0
9.0,0.0,1.0,1.0,1.0,0.22,0.2576,0.56,0.1642,2.0,34.0,28.0
11.0,0.0,1.0,1.0,1.0,0.22,0.2727,0.56,0.1045,-10.664375,43.0,21.0
12.0,0.0,1.0,1.0,1.0,0.22,0.2273,0.65,0.1045,17.998625,52.0,7.0
12.07,0.0,1.0,1.0,1.0,0.22,0.3333,0.65,0.0896,8.0,43.0,1.0
9.75,0.0,1.0,1.0,1.0,0.28,0.3939,0.7,0.0896,17.998625,66.0,5.0
19.0,0.0,1.0,1.0,2.0,0.28,0.3333,0.65,0.1045,6.0,178.0,37.36365
12.0,0.0,2.0,1.0,2.0,0.24,0.1667,0.59,0.194,0.0,32.0,46.0
14.0,0.0,2.0,1.0,2.0,0.24,0.1667,0.59,0.1343,0.0,21.0,63.0
20.0,0.0,2.0,1.0,1.0,0.32,0.1212,0.59,0.1343,17.998625,5.0,45.0
10.0,0.0,3.0,0.0,1.0,0.28,0.197,0.61,0.1343,21.0,26.3075,81.0
20.0,0.0,3.0,0.0,1.0,0.2,0.2273,0.69,0.194,14.0,-14.8725,9.0
21.0,0.0,4.0,0.0,2.0,0.34,0.2424,0.75,0.1045,3.0,49.0,144.0
8.0,0.0,4.0,0.0,3.5,0.28,0.2424,0.87,0.0,1.0,5.0,106.0
5.0,0.0,5.0,1.0,1.0,0.24,0.2273,0.93,0.0896,4.0,55.0,37.36365
5.0,0.0,6.0,1.0,1.0,0.06,0.2121,0.48,0.2239,17.998625,26.0,10.0
17.0,0.0,6.0,1.0,1.0,0.2,0.2576,0.43,0.2836,0.0,55.0,58.0
19.0,0.0,6.0,1.0,1.0,0.2,0.2273,0.5,0.2836,-10.664375,27.0,41.0
21.0,0.0,0.0,1.0,1.0,0.2,0.2879,0.43,0.2836,1.0,16.0,48.0
14.0,0.0,0.0,1.0,1.0,0.1,0.3485,0.37,0.194,1.0,155.0,104.0
6.0,0.0,1.0,1.0,1.0,0.16,0.2727,0.44,0.0,1.0,147.0,1.0
7.0,0.0,1.0,1.0,1.0,0.14,0.2576,0.59,0.0,0.0,107.0,4.0
9.0,0.0,1.0,1.0,1.0,0.14,0.2576,0.63,0.0,1.0,22.7875,16.0
14.0,0.0,1.0,1.0,2.0,0.1,0.2727,0.59,0.0,0.0,26.0,101.0
1.0,0.0,2.0,1.0,2.0,0.3,0.3333,0.42,0.1045,4.0,4.0,149.0
13.0,0.0,2.0,1.0,1.0,0.2,0.3182,0.65,0.1045,19.0,66.0,26.0
0.0,0.0,3.0,1.0,1.0,0.12,0.2273,0.75,0.1343,6.0,98.0,20.0
4.0,0.0,3.0,1.0,1.0,0.12,0.197,0.93,0.1045,1.0,82.0,8.0
18.0,0.0,3.0,1.0,1.0,0.32,0.1818,1.0,0.194,1.0,30.0,55.0
5.0,0.0,4.0,0.0,1.0,0.2,0.1061,1.0,0.2985,4.0,1.0,-22.27275
23.0,0.0,5.0,0.0,1.0,0.36,0.1818,0.6,0.5224,19.0,87.0,32.0
7.0,0.0,5.0,0.0,1.0,0.42,0.197,0.6,0.3582,9.0,95.0,29.0
9.75,0.0,5.0,0.0,1.0,0.4,0.1667,0.65,0.3284,3.0,104.0,11.0
19.0,0.0,5.0,0.0,1.0,0.38,0.1515,0.46,0.4478,5.0,46.0,3.0
1.0,0.0,6.0,0.0,1.0,0.34,0.1212,0.56,0.2537,0.0,6.0,59.0
5.0,0.0,6.0,0.0,1.0,0.44,0.0758,0.6,0.0,1.0,2.0,122.0
-7.45,0.0,6.0,0.0,1.0,0.52,0.1061,0.6,0.0896,3.0,26.3075,109.0
7.0,0.0,6.0,0.0,1.0,0.56,0.1061,0.65,0.1045,0.0,8.0,46.7673
12.0,0.0,6.0,0.0,1.0,0.52,0.1667,0.75,0.1045,2.0,71.0,65.0
-7.45,0.0,6.0,0.0,2.0,0.36,0.1818,0.86,0.1045,3.0,46.0,21.0
1.0,0.0,6.0,0.0,1.0,0.22,0.1515,0.8,0.1343,3.0,85.0,7.0
2.0,0.0,0.0,0.0,1.0,0.2,0.1364,0.75,0.1343,3.0,41.0,1.0
6.0,0.0,0.0,0.0,1.0,0.22,0.1212,0.62,0.1642,3.0,155.0,-22.27275
10.0,0.0,0.0,1.0,2.0,0.28,0.1212,0.54,0.1642,0.0,-14.8725,8.0
20.0,0.0,0.0,1.0,1.0,0.3,0.2879,0.7,0.1045,0.0,6.0,48.0
0.0,0.0,0.0,1.0,1.0,0.26,0.2879,0.81,0.1343,0.0,3.0,68.0
-7.45,0.0,0.0,1.0,3.5,0.24,0.3333,0.81,0.1642,0.0,-13.541312499999998,54.0
-6.25,0.0,1.0,1.0,2.0,0.22,0.2273,0.93,0.1343,-10.664375,22.0,86.0
23.0,0.0,1.0,1.0,1.0,0.42,0.1515,0.32,0.0896,3.0,45.0,3.0
2.0,0.0,1.0,1.0,1.0,0.46,0.1818,0.35,0.1343,0.0,172.0,2.0
8.0,0.0,2.0,1.0,1.0,0.38,0.2727,0.32,0.1642,1.0,105.0,22.0
13.0,0.0,2.0,1.0,1.0,0.34,0.303,0.4,0.0,4.0,34.0,116.0
20.0,0.0,2.0,1.0,1.0,0.3,0.2576,0.36,0.2537,1.0,1.0,54.0
21.0,0.0,2.0,1.0,1.0,0.32,0.303,0.38,0.194,1.0,1.0,52.0
-7.45,0.0,2.0,1.0,1.0,0.58,0.2121,0.43,0.2239,2.0,59.0,64.0
12.0,0.0,3.0,1.0,1.0,0.48,0.2273,0.34,0.1045,7.0,74.0,2.0
1.0,0.0,3.0,1.0,2.0,0.46,0.4242,0.86,0.0896,1.0,26.3075,49.0
8.0,0.0,3.0,1.0,1.0,0.42,0.4091,0.8,0.1642,0.0,29.0,61.0
8.0,0.0,4.0,0.0,2.0,0.58,0.3939,0.54,0.0,1.0,2.0,37.36365
10.0,0.0,4.0,0.0,2.0,0.52,0.3182,0.49,0.0,6.0,2.0,76.0
16.0,0.0,4.0,0.0,2.0,0.4,0.3939,0.34,0.0,9.0,86.0,190.0
22.0,0.0,5.0,0.0,3.0,0.38,0.4394,0.27,0.0,2.0,184.0,182.0
9.0,0.0,6.0,0.0,1.0,0.2,0.1818,0.73,0.1343,1.0,170.0,1.0
12.07,0.0,6.0,1.0,1.0,0.34,0.197,0.47,0.0896,0.0,53.0,188.0
14.0,0.0,0.0,1.0,1.0,0.42,0.2576,0.8,0.4925,9.0,61.0,-22.27275
22.0,0.0,0.0,1.0,1.0,0.32,0.197,0.74,0.4179,10.0,73.0,41.0
6.0,0.0,1.0,1.0,1.0,0.28,0.303,0.41,0.4627,1.0,152.0,1.0
10.0,0.0,1.0,1.0,2.0,0.24,0.4242,0.39,0.4627,1.0,-14.8725,7.0
12.0,0.0,1.0,1.0,2.0,0.22,0.4545,0.31,0.3284,1.0,-14.8725,87.0
6.0,0.0,2.0,1.0,2.0,0.22,0.3182,0.64,0.0,3.0,26.3075,90.0
7.0,0.0,2.0,1.0,2.0,0.2,0.3333,0.59,0.1642,3.0,4.0,99.0
11.0,0.0,2.0,1.0,3.0,0.16,0.3333,0.69,0.2985,10.0,10.0,-27.9455
22.0,0.0,2.0,1.0,3.5,0.14,0.5303,0.45,0.2537,-10.664375,46.0,43.0
23.0,0.0,2.0,1.0,1.0,0.18,0.5455,0.39,0.2985,8.0,42.0,37.36365
9.75,0.0,3.0,1.0,2.0,0.32,0.4545,0.28,0.194,5.0,63.0,17.0
15.0,0.0,3.0,1.0,1.0,0.24,0.4394,0.28,0.194,3.0,64.0,11.0
20.0,0.0,3.0,1.0,1.0,0.22,0.4545,0.35,0.2836,0.0,43.0,10.0
1.0,0.0,3.0,1.0,2.0,0.2,0.4242,0.35,0.4179,3.0,52.0,20.0
20.0,0.0,4.0,1.0,1.0,0.34,0.5455,0.37,0.3582,-10.664375,40.0,47.0
8.0,0.0,4.0,1.0,1.0,0.32,0.4394,0.53,0.2985,2.0,-14.8725,55.0
9.0,0.0,4.0,1.0,1.0,0.32,0.4242,0.46,0.2836,7.0,1.0,60.0
12.07,0.0,5.0,0.0,1.0,0.34,0.4091,0.4,0.2537,15.0,1.0,71.0
-7.45,0.0,6.0,0.0,3.0,0.22,0.1818,0.37,0.1343,1.0,115.0,20.0
