Id,Name,Type,Pic,Localization,Date,H_G_D,Video,Chanel depth,Wind,AIS link,Distance,Atmospheric and oceanographic data,Duration,Notes,Target
8,Mar de Onza (Entering),Passengers,,Cangas ships departureClickfor zoom,2013-07-10 12:48:00,"(2),(4),(2.85)",NO,4.8,0,AIS data,<50,"Mean air temperature (ºC) 18,9Maximum air temperature (ºC) 20,5Minimum air temperature (ºC) 17,4Mean relative humidity (%) 95Maximum relative humidity (%) 100Minimum relative humidity (%) 87Dew temperature (ºC) 18Cold hours (7 ºC base) (h) 0Wind speed (km/h) 11,66Streak (km/h) 28,22Streak direction (Degrees) 248Main wind direction(Degrees) 270Rain (L/m2) 0",1:33,"First series of recordings. There is not in situ wind speed measures. Quite harbor noise.
Entering the port for docking.",Class_C
9,Mar de Onza (Waiting),Passengers,,Cangas ships departureClickfor zoom,2013-07-10 12:55:00,"(2),(4),(2.85)",NO,4.8,0,AIS data,<50,"Mean air temperature (ºC) 18,9Maximum air temperature (ºC) 20,5Minimum air temperature (ºC) 17,4Mean relative humidity (%) 95Maximum relative humidity (%) 100Minimum relative humidity (%) 87Dew temperature (ºC) 18Cold hours (7 ºC base) (h) 0Wind speed (km/h) 11,66Streak (km/h) 28,22Streak direction (Degrees) 248Main wind direction(Degrees) 270Rain (L/m2) 0",1:00,"First series of recordings. There is not in situ wind speed measures. 
Quite harbor noise.
Waing for passengers loading.",Class_C
16,MSC Opera,Ocean liner,,Ocean liner harbourClickor zoom,2013-07-10 14:52:00,"(2),(4),(2.85)",No,9.1,0,AIS data,<50,"Mean air temperature (ºC) 18,9Maximum air temperature (ºC) 20,5Minimum air temperature (ºC) 17,4Mean relative humidity (%) 95Maximum relative humidity (%) 100Minimum relative humidity (%) 87Dew temperature (ºC) 18Cold hours (7 ºC base) (h) 0Wind speed (km/h) 11,66Streak (km/h) 28,22Streak direction (Degrees) 248Main wind direction(Degrees) 270Rain (L/m2) 0",2:43,"First series of recordings. There is not in situ wind speed measures. Quite harbor noise.

There were no direct vision between hidrophones and ship",Class_D
21,Motorboat,Motorboat,,Bouzas CoveClickfor zoom,2013-07-18 18:13:00,"(1,2)(2,32)(2.5,3.5)",SI,7.5,2,Not available,<50,"Mean air temperature (ºC) 23,4Maximum air temperature (ºC) 31Minimum air temperature (ºC) 17,4Mean relative humidity (%) 68Maximum relative humidity (%) 100Minimum relative humidity (%) 44Dew temperature (ºC) 16,5Cold hours (7 ºC base) (h) 0Wind speed (km/h) 11,81Streak (km/h) 36,94Streak direction (Degrees) 2Main wind direction(Degrees) 45Rain (L/m2) 0",0:43,"Recorded at Bouzas cove, at the end of the walk zone, in a place with rocks. Clear video, no apparent interferences.
Considerable rock noise.

H2 saturated!",Class_B
18,Autopride (Entering),RORO,,Bouzas CoveClickfor zoom,2013-07-18 18:20:00,"(1,2)(2,32)(2.5,3.5)",SI,7.5,2,AIS data,<50,"Mean air temperature (ºC) 23,4Maximum air temperature (ºC) 31Minimum air temperature (ºC) 17,4Mean relative humidity (%) 68Maximum relative humidity (%) 100Minimum relative humidity (%) 44Dew temperature (ºC) 16,5Cold hours (7 ºC base) (h) 0Wind speed (km/h) 11,81Streak (km/h) 36,94Streak direction (Degrees) 2Main wind direction(Degrees) 45Rain (L/m2) 0",11:22,"Recorded at Bouzas cove, at the end of the walk zone, in a place with rocks. Clear video, no apparent interferences.
Considerable rock noise.
Ship reaches the port.

H2 saturated!",Class_D
19,Autopride(reverse),RORO,,Bouzas CoveClickfor zoom,2013-07-18 18:20:00,"(1,2)(2,32)(2.5,3.5)",SI,7.5,2,AIS data,<50,"Mean air temperature (ºC) 23,4Maximum air temperature (ºC) 31Minimum air temperature (ºC) 17,4Mean relative humidity (%) 68Maximum relative humidity (%) 100Minimum relative humidity (%) 44Dew temperature (ºC) 16,5Cold hours (7 ºC base) (h) 0Wind speed (km/h) 11,81Streak (km/h) 36,94Streak direction (Degrees) 2Main wind direction(Degrees) 45Rain (L/m2) 0",6:14,"Recorded at Bouzas cove, at the end of the walk zone, in a place with rocks. Clear video, no apparent interferences.
Considerable rock noise.
Ship in reverse.
H2 saturated!",Class_D
20,Autopride(preparing maneuver),RORO,,Bouzas CoveClickfor zoom,2013-07-18 18:20:00,"(1,2)(2,32)(2.5,3.5)",SI,7.5,2,AIS data,<50,"Mean air temperature (ºC) 23,4Maximum air temperature (ºC) 31Minimum air temperature (ºC) 17,4Mean relative humidity (%) 68Maximum relative humidity (%) 100Minimum relative humidity (%) 44Dew temperature (ºC) 16,5Cold hours (7 ºC base) (h) 0Wind speed (km/h) 11,81Streak (km/h) 36,94Streak direction (Degrees) 2Main wind direction(Degrees) 45Rain (L/m2) 0",0:30,"Recorded at Bouzas cove, at the end of the walk zone, in a place with rocks. Clear video, no apparent interferences.
Considerable rock noise.
Ship prepares maneover for docking.
H2 saturated!",Class_D
38,Arroios,Passengers,,Red lighthouse at the portClickfor zoom,2013-07-19 00:05:00,"(1,2)(2,32)(2.5,3.5)",SI,5.8,13,AIS data,<50,"Mean air temperature (ºC) 23,4Maximum air temperature (ºC) 31Minimum air temperature (ºC) 17,4Mean relative humidity (%) 68Maximum relative humidity (%) 100Minimum relative humidity (%) 44Dew temperature (ºC) 16,5Cold hours (7 ºC base) (h) 0Wind speed (km/h) 11,81Streak (km/h) 36,94Streak direction (Degrees) 2Main wind direction(Degrees) 45Rain (L/m2) 0",1:46,"Considerable harbour noise. 
H2 not available.

Arroios leaves while Pirata de Cies and Mar de Ons arrive.",Class_C
40,"Mar de Cangas (arrives, interference",Passengers,,Red lighthouse at the portClickfor zoom,2013-07-19 00:08:00,"(1,2)(2,32)(2.5,3.5)",SI,5.8,13,AIS data,<50,"Mean air temperature (ºC) 23,4Maximum air temperature (ºC) 31Minimum air temperature (ºC) 17,4Mean relative humidity (%) 68Maximum relative humidity (%) 100Minimum relative humidity (%) 44Dew temperature (ºC) 16,5Cold hours (7 ºC base) (h) 0Wind speed (km/h) 11,81Streak (km/h) 36,94Streak direction (Degrees) 2Main wind direction(Degrees) 45Rain (L/m2) 0",0:44,"Considerable harbour noise. 
H2 not available.

Mar de Cangas arrives followed by pirata de Cies. Arroios leaves in the distance.",Class_C
43,"Pirata de Cies (arrives, interference)",Passengers,,Red lighthouse at the portClickfor zoom,2013-07-19 00:08:00,"(1,2)(2,32)(2.5,3.5)",SI,5.8,13,AIS data,<50,"Mean air temperature (ºC) 23,4Maximum air temperature (ºC) 31Minimum air temperature (ºC) 17,4Mean relative humidity (%) 68Maximum relative humidity (%) 100Minimum relative humidity (%) 44Dew temperature (ºC) 16,5Cold hours (7 ºC base) (h) 0Wind speed (km/h) 11,81Streak (km/h) 36,94Streak direction (Degrees) 2Main wind direction(Degrees) 45Rain (L/m2) 0",0:51,"Considerable harbour noise. 
H2 not available.

Pirata de Cies arrives behind Mar de Cangas, Arrois leaves.",Class_C
42,Pirata de Cies (leaves),Passengers,,Red lighthouse at the portClickfor zoom,2013-07-19 00:22:00,"(1,2)(2,32)(2.5,3.5)",SI,5.8,13,AIS data,<50,"Mean air temperature (ºC) 23,4Maximum air temperature (ºC) 31Minimum air temperature (ºC) 17,4Mean relative humidity (%) 68Maximum relative humidity (%) 100Minimum relative humidity (%) 44Dew temperature (ºC) 16,5Cold hours (7 ºC base) (h) 0Wind speed (km/h) 11,81Streak (km/h) 36,94Streak direction (Degrees) 2Main wind direction(Degrees) 45Rain (L/m2) 0",0:58,"Considerable harbour noise. 
H2 not available.

Pirata de Cies leaves after a reversal maneuver.",Class_C
41,Minho uno (arrives),Passengers,,Red lighthouse at the portClickfor zoom,2013-07-19 00:24:00,"(1,2)(2,32)(2.5,3.5)",SI,5.8,13,AIS data,<50,"Mean air temperature (ºC) 23,4Maximum air temperature (ºC) 31Minimum air temperature (ºC) 17,4Mean relative humidity (%) 68Maximum relative humidity (%) 100Minimum relative humidity (%) 44Dew temperature (ºC) 16,5Cold hours (7 ºC base) (h) 0Wind speed (km/h) 11,81Streak (km/h) 36,94Streak direction (Degrees) 2Main wind direction(Degrees) 45Rain (L/m2) 0",0:52,"Considerable harbour noise. 
H2 not available.

Minho uno arrives at port, Pirata de Cies leaves in the distance. Low signal.",Class_C
39,"Motorboat ""Duda"" (arrives)",Motorboat,,Red lighthouse at the portClickfor zoom,2013-07-19 00:30:00,"(1,2)(2,32)(2.5,3.5)",SI,5.8,13,Not available,<50,"Mean air temperature (ºC) 23,4Maximum air temperature (ºC) 31Minimum air temperature (ºC) 17,4Mean relative humidity (%) 68Maximum relative humidity (%) 100Minimum relative humidity (%) 44Dew temperature (ºC) 16,5Cold hours (7 ºC base) (h) 0Wind speed (km/h) 11,81Streak (km/h) 36,94Streak direction (Degrees) 2Main wind direction(Degrees) 45Rain (L/m2) 0",1:13,"Considerable harbour noise. 
H2 not available.

Motorboat Duda arrives. Low signal.",Class_B
45,Yacht (leaves),Motorboat,,Red lighthouse at the portClickfor zoom,2013-07-19 00:32:00,"(1,2)(2,32)(2.5,3.5)",SI,5.8,13,Not available,<50,"Mean air temperature (ºC) 23,4Maximum air temperature (ºC) 31Minimum air temperature (ºC) 17,4Mean relative humidity (%) 68Maximum relative humidity (%) 100Minimum relative humidity (%) 44Dew temperature (ºC) 16,5Cold hours (7 ºC base) (h) 0Wind speed (km/h) 11,81Streak (km/h) 36,94Streak direction (Degrees) 2Main wind direction(Degrees) 45Rain (L/m2) 0",1:32,"Considerable harbour noise. 
H2 not available.

Unidentified yacht leaving port. Low signal.",Class_B
26,Motorboat,Motorboat,,In front of ocean liners harbourclickfor zoom,2013-07-19 09:17:00,"(1,2)(2,32)(2.5,3.5)",SI,5.8,0,Not available,<50,"Mean air temperature (ºC) 23,4Maximum air temperature (ºC) 31Minimum air temperature (ºC) 17,4Mean relative humidity (%) 68Maximum relative humidity (%) 100Minimum relative humidity (%) 44Dew temperature (ºC) 16,5Cold hours (7 ºC base) (h) 0Wind speed (km/h) 11,81Streak (km/h) 36,94Streak direction (Degrees) 2Main wind direction(Degrees) 45Rain (L/m2) 0",0:23,"Small background noise from ship ""Rio Caxil"", there's also some harbor noise,
H2 saturated, only H1 was considerate.

Motorboat passes, small signal.",Class_B
27,Motorboat (close recording),Motorboat,,In front of ocean liners harbourclickfor zoom,2013-07-19 09:22:00,"(1,2)(2,32)(2.5,3.5)",SI,5.8,0,Not available,<50,"Mean air temperature (ºC) 23,4Maximum air temperature (ºC) 31Minimum air temperature (ºC) 17,4Mean relative humidity (%) 68Maximum relative humidity (%) 100Minimum relative humidity (%) 44Dew temperature (ºC) 16,5Cold hours (7 ºC base) (h) 0Wind speed (km/h) 11,81Streak (km/h) 36,94Streak direction (Degrees) 2Main wind direction(Degrees) 45Rain (L/m2) 0",0:30,"Small background noise from ship ""Rio Caxil"", there's also some harbor noise,
H2 saturated, only H1 was considerate.

Motorboat start, good signal.",Class_B
28,Nuevo ria Aldan,Trawler,,In front of ocean liners harbourclickfor zoom,2013-07-19 09:22:00,"(1,2)(2,32)(2.5,3.5)",SI,5.8,0,AIS data,<50,"Mean air temperature (ºC) 23,4Maximum air temperature (ºC) 31Minimum air temperature (ºC) 17,4Mean relative humidity (%) 68Maximum relative humidity (%) 100Minimum relative humidity (%) 44Dew temperature (ºC) 16,5Cold hours (7 ºC base) (h) 0Wind speed (km/h) 11,81Streak (km/h) 36,94Streak direction (Degrees) 2Main wind direction(Degrees) 45Rain (L/m2) 0",2:43,"Small background noise from ship ""Rio Caxil"", there's also some harbor noise,
H2 saturated, only H1 was considerate.

""Nuevo ria Aldan"" leaves the dock, good signal.",Class_A
31,Tugboat (start-stop engine),Tugboat,,In front of ocean liners harbourclickfor zoom,2013-07-19 09:32:00,"(1,2)(2,32)(2.5,3.5)",SI,5.8,0,Not available,<50,"Mean air temperature (ºC) 23,4Maximum air temperature (ºC) 31Minimum air temperature (ºC) 17,4Mean relative humidity (%) 68Maximum relative humidity (%) 100Minimum relative humidity (%) 44Dew temperature (ºC) 16,5Cold hours (7 ºC base) (h) 0Wind speed (km/h) 11,81Streak (km/h) 36,94Streak direction (Degrees) 2Main wind direction(Degrees) 45Rain (L/m2) 0",1:04,"Small background noise from ship ""Rio Caxil"", there's also some harbor noise,
H2 saturated, only H1 was considerate.

Tugboat leaving dock starting and stopping the motor. Medium-good signal.",Class_A
29,Pilot ship,Pilot ship,,In front of ocean liners harbourclickfor zoom,2013-07-19 09:37:00,"(1,2)(2,32)(2.5,3.5)",SI,5.8,0,Not available,<50,"Mean air temperature (ºC) 23,4Maximum air temperature (ºC) 31Minimum air temperature (ºC) 17,4Mean relative humidity (%) 68Maximum relative humidity (%) 100Minimum relative humidity (%) 44Dew temperature (ºC) 16,5Cold hours (7 ºC base) (h) 0Wind speed (km/h) 11,81Streak (km/h) 36,94Streak direction (Degrees) 2Main wind direction(Degrees) 45Rain (L/m2) 0",1:34,"Small background noise from ship ""Rio Caxil"", there's also some harbor noise,
H2 saturated, only H1 was considerate.

Pilot ship arrives before Adventure of the Seas. Small signal.",Class_B
30,Pilot ship,Pilot ship,,In front of ocean liners harbourclickfor zoom,2013-07-19 09:40:00,"(1,2)(2,32)(2.5,3.5)",SI,5.8,0,Not available,<50,"Mean air temperature (ºC) 23,4Maximum air temperature (ºC) 31Minimum air temperature (ºC) 17,4Mean relative humidity (%) 68Maximum relative humidity (%) 100Minimum relative humidity (%) 44Dew temperature (ºC) 16,5Cold hours (7 ºC base) (h) 0Wind speed (km/h) 11,81Streak (km/h) 36,94Streak direction (Degrees) 2Main wind direction(Degrees) 45Rain (L/m2) 0",0:44,"Small background noise from ship ""Rio Caxil"", there's also some harbor noise,
H2 saturated, only H1 was considerate.

Pilot ship passes. Medium-good signal.",Class_B
24,Adventure of the seas (slowing),Ocean liner,,In front of ocean linersOcean liner harbourclickfor zoom,2013-07-19 09:45:00,"(1,2)(2,32)(2.5,3.5)",SI,5.8,0,AIS data,<50,"Mean air temperature (ºC) 23,4Maximum air temperature (ºC) 31Minimum air temperature (ºC) 17,4Mean relative humidity (%) 68Maximum relative humidity (%) 100Minimum relative humidity (%) 44Dew temperature (ºC) 16,5Cold hours (7 ºC base) (h) 0Wind speed (km/h) 11,81Streak (km/h) 36,94Streak direction (Degrees) 2Main wind direction(Degrees) 45Rain (L/m2) 0",0:42,"Small background noise from ship ""Rio Caxil"", there's also some harbor noise,
H2 saturated, only H1 was considerate.
Slowing before the docking maneuver of Adventure os the Seas.",Class_D
25,Adventure of the seas (arrives),Ocean liner,,In front of ocean liners harbourclickfor zoom,2013-07-19 09:45:00,"(1,2)(2,32)(2.5,3.5)",SI,5.8,0,AIS data,<50,"Mean air temperature (ºC) 23,4Maximum air temperature (ºC) 31Minimum air temperature (ºC) 17,4Mean relative humidity (%) 68Maximum relative humidity (%) 100Minimum relative humidity (%) 44Dew temperature (ºC) 16,5Cold hours (7 ºC base) (h) 0Wind speed (km/h) 11,81Streak (km/h) 36,94Streak direction (Degrees) 2Main wind direction(Degrees) 45Rain (L/m2) 0",2:20,"Small background noise from ship ""Rio Caxil"", there's also some harbor noise,
H2 saturated, only H1 was considerate.
AOTS arriving to dock. Possible interferences from a fishing ship and also from the pilot ship ship wich help to dock big ships.",Class_D
22,Adventure of the seas (maneuver),Ocean liner,,In front of ocean liners harbourclickfor zoom,2013-07-19 09:50:00,"(1,2)(2,32)(2.5,3.5)",SI,5.8,0,AIS data,<50,"Mean air temperature (ºC) 23,4Maximum air temperature (ºC) 31Minimum air temperature (ºC) 17,4Mean relative humidity (%) 68Maximum relative humidity (%) 100Minimum relative humidity (%) 44Dew temperature (ºC) 16,5Cold hours (7 ºC base) (h) 0Wind speed (km/h) 11,81Streak (km/h) 36,94Streak direction (Degrees) 2Main wind direction(Degrees) 45Rain (L/m2) 0",0:53,"Small background noise from ship ""Rio Caxil"", there's also some harbor noise,
H2 saturated, only H1 was considerate.
Docking maneuver of Adventure os the Seas.",Class_D
23,Adventure of the seas (stopped),Ocean liner,,In front of ocean liners harbourclickfor zoom,2013-07-19 10:05:00,"(1,2)(2,32)(2.5,3.5)",SI,5.8,0,AIS data,<50,"Mean air temperature (ºC) 23,4Maximum air temperature (ºC) 31Minimum air temperature (ºC) 17,4Mean relative humidity (%) 68Maximum relative humidity (%) 100Minimum relative humidity (%) 44Dew temperature (ºC) 16,5Cold hours (7 ºC base) (h) 0Wind speed (km/h) 11,81Streak (km/h) 36,94Streak direction (Degrees) 2Main wind direction(Degrees) 45Rain (L/m2) 0",0:09,"Small background noise from ship ""Rio Caxil"", there's also some harbor noise,
H2 saturated, only H1 was considerate.
Background noise at the end of the docking maneuver.",Class_D
37,Sailboat (starts and leaves),Sailboat,,Red lighthouse at the portClickfor zoom,2013-07-19 12:17:00,"(1,2)(2,32)(2.5,3.5)",SI,5.8,13,Not available,<50,"Mean air temperature (ºC) 23,4Maximum air temperature (ºC) 31Minimum air temperature (ºC) 17,4Mean relative humidity (%) 68Maximum relative humidity (%) 100Minimum relative humidity (%) 44Dew temperature (ºC) 16,5Cold hours (7 ºC base) (h) 0Wind speed (km/h) 11,81Streak (km/h) 36,94Streak direction (Degrees) 2Main wind direction(Degrees) 45Rain (L/m2) 0",0:43,"Considerable harbour noise. 
H2 not available

Good signal. Starts engine and leaves port.",Class_B
36,Minho uno (leaving),Passengers,,Red lighthouse at the portClickfor zoom,2013-07-19 12:22:00,"(1,2)(2,32)(2.5,3.5)",SI,5.8,13,AIS data,<50,"Mean air temperature (ºC) 23,4Maximum air temperature (ºC) 31Minimum air temperature (ºC) 17,4Mean relative humidity (%) 68Maximum relative humidity (%) 100Minimum relative humidity (%) 44Dew temperature (ºC) 16,5Cold hours (7 ºC base) (h) 0Wind speed (km/h) 11,81Streak (km/h) 36,94Streak direction (Degrees) 2Main wind direction(Degrees) 45Rain (L/m2) 0",1:41,"Considerable harbour noise. 
H2 not available.

Low signal. Mar de Onza arriving in the distance.",Class_C
34,Mar de Onza (arrives),Passengers,,Red lighthouse at the portClickfor zoom,2013-07-19 12:24:00,"(1,2)(2,32)(2.5,3.5)",SI,5.8,13,AIS data,<50,"Mean air temperature (ºC) 23,4Maximum air temperature (ºC) 31Minimum air temperature (ºC) 17,4Mean relative humidity (%) 68Maximum relative humidity (%) 100Minimum relative humidity (%) 44Dew temperature (ºC) 16,5Cold hours (7 ºC base) (h) 0Wind speed (km/h) 11,81Streak (km/h) 36,94Streak direction (Degrees) 2Main wind direction(Degrees) 45Rain (L/m2) 0",2:03,"Considerable harbour noise. 
H2 not available.
Mar de Onza arriving at port. Low signal, Minho uno in the distance.",Class_C
33,"""Duda"" (going out)",Motorboat,,Red lighthouse at the portClickfor zoom,2013-07-19 12:36:00,"(1,2)(2,32)(2.5,3.5)",SI,5.8,13,Not available,<50,"Mean air temperature (ºC) 23,4Maximum air temperature (ºC) 31Minimum air temperature (ºC) 17,4Mean relative humidity (%) 68Maximum relative humidity (%) 100Minimum relative humidity (%) 44Dew temperature (ºC) 16,5Cold hours (7 ºC base) (h) 0Wind speed (km/h) 11,81Streak (km/h) 36,94Streak direction (Degrees) 2Main wind direction(Degrees) 45Rain (L/m2) 0",0:37,"Considerable harbour noise. 
H2 not available

Start and stop of motorboat ""Duda"", good signal.",Class_B
35,Mar de Onza (going out),Passengers,,Red lighthouse at the portClickfor zoom,2013-07-19 12:37:00,"(1,2)(2,32)(2.5,3.5)",SI,5.8,13,AIS data,<50,"Mean air temperature (ºC) 23,4Maximum air temperature (ºC) 31Minimum air temperature (ºC) 17,4Mean relative humidity (%) 68Maximum relative humidity (%) 100Minimum relative humidity (%) 44Dew temperature (ºC) 16,5Cold hours (7 ºC base) (h) 0Wind speed (km/h) 11,81Streak (km/h) 36,94Streak direction (Degrees) 2Main wind direction(Degrees) 45Rain (L/m2) 0",1:37,"Considerable harbour noise. 
H2 not available.

Mar de Onza leaving port. Low signal. Arroios entering in the distance.",Class_C
32,Arroios (arrives),Passengers,,Red lighthouse at the portClickfor zoom,2013-07-19 12:39:00,"(1,2)(2,32)(2.5,3.5)",SI,5.8,13,AIS data,<50,"Mean air temperature (ºC) 23,4Maximum air temperature (ºC) 31Minimum air temperature (ºC) 17,4Mean relative humidity (%) 68Maximum relative humidity (%) 100Minimum relative humidity (%) 44Dew temperature (ºC) 16,5Cold hours (7 ºC base) (h) 0Wind speed (km/h) 11,81Streak (km/h) 36,94Streak direction (Degrees) 2Main wind direction(Degrees) 45Rain (L/m2) 0",3:36,"Considerable harbour noise. 
H2 not available
Arriving at port, Mar de Onza going out in the distance",Class_C
46,Mussel boat1,Mussel boat,,Vigo sea loch - Zone 1Clickfor zoom,2013-07-23 12:00:00,"(1,2,3)(2,16,64)(5.5,6.5,7.5)",SI,15.0,10.5,Not available,50-100,"Mean air temperature (ºC) 20Maximum air temperature (ºC) 22,7Minimum air temperature (ºC) 17Mean relative humidity (%) 81Maximum relative humidity (%) 93Minimum relative humidity (%) 65Dew temperature (ºC) 16,5Cold hours (7 ºC base) (h) 0Wind speed (km/h) 13,28Streak (km/h) 43,34Streak direction (Degrees) 4Main wind direction(Degrees) 225Rain (L/m2) 0",0:11,"Zone 1 - in front of Moaña.
Recording with better gain without clipping is presented. Other signals available.

H3 signal, far take.",Class_A
