,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Side,City,County,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Humidity(%),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition
45,2,2016-04-20 11:38,2016-04-20 17:38,37.76969,-122.416209,37.76967,-122.41598,0.013,At Van Ness Ave/Duboce Ave/Exit 434A - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-04-20 11:56,66,42,10,NNE,6.9,,Mostly Cloudy
46,2,2016-04-20 14:36,2016-04-20 20:36,37.77332,-122.40654,37.77554,-122.40529,0.168,At 7th St/Bryant St - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-04-20 14:56,73.9,43,10,SW,12.7,,Mostly Cloudy
48,2,2016-04-20 18:50,2016-04-21 0:50,37.770257,-122.421295,37.770258,-122.421303,0,At Market St - Accident.,L,San Francisco,San Francisco,US/Pacific,KSFO,2016-04-20 18:56,66,56,10,West,8.1,,Mostly Cloudy
49,2,2016-04-21 9:40,2016-04-21 15:40,37.71974,-122.44819,37.71951,-122.44822,0.016,At Geneva Ave - Accident. Right lane blocked.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-04-21 9:56,62.1,78,10,South,8.1,,Overcast
50,2,2016-04-21 16:05,2016-04-21 22:05,37.74492,-122.40505,37.76287,-122.40524,1.24,Between Army St/Potrero Ave and Vermont St - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-04-21 16:13,68,50,10,SW,12.7,,Mostly Cloudy
53,2,2016-04-22 10:27,2016-04-22 16:27,37.73158,-122.43652,37.73155,-122.44887,0.675,At Monterey Blvd/San Jose Ave - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-04-22 10:56,57,93,10,SSW,18.4,0,Light Rain
54,2,2016-04-22 16:19,2016-04-22 22:19,37.61502,-122.39399,37.61159,-122.39454,0.239,At Terminal Acc - Accident.,R,San Francisco,San Mateo,US/Pacific,KSFO,2016-04-22 15:56,61,67,10,WSW,21.9,,Mostly Cloudy
55,2,2016-04-22 17:25,2016-04-22 23:25,37.8027,-122.46756,37.80504,-122.47301,0.339,At CA-1 (San Francisco) - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-04-22 16:56,61,64,10,WSW,20.7,,Mostly Cloudy
57,2,2016-04-27 8:01,2016-04-27 14:01,37.71951,-122.44822,37.71974,-122.44819,0.016,At Geneva Ave - Accident. Right lane blocked.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-04-27 7:56,53.1,89,10,Variable,4.6,,Overcast
61,2,2016-04-28 15:39,2016-04-28 21:39,37.73226,-122.43197,37.73016,-122.4394,0.431,At Monterey Blvd/San Jose Ave - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-04-28 15:56,60.1,64,10,West,27.6,,Partly Cloudy
62,2,2016-04-28 15:47,2016-04-28 21:47,37.73473,-122.40638,37.74072,-122.40774,0.42,At I-280/Alemany Blvd - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-04-28 15:56,60.1,64,10,West,27.6,,Partly Cloudy
68,2,2016-05-03 19:41,2016-05-04 1:41,37.808319,-122.476798,37.807517,-122.476047,0.069,Between Golden Gate Brg and Golden Gate Bridge/Toll Plaza - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-05-03 19:56,53.1,93,10,West,21.9,,Mostly Cloudy
71,2,2016-05-05 9:55,2016-05-05 15:55,37.71145,-122.39556,37.71868,-122.39939,0.542,At 3rd St/Exit 429B/Exit 429C - Accident. Right lane blocked.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-05-05 9:56,61,78,10,South,8.1,,Overcast
74,2,2016-05-10 8:42,2016-05-10 14:42,37.72297,-122.4477,37.72536,-122.4465,0.178,At Ocean Ave - Accident. Left lane blocked.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-05-10 8:56,55.9,93,8,Calm,,,Overcast
76,2,2016-05-10 16:14,2016-05-10 22:14,37.72297,-122.4477,37.726361,-122.445727,0.258,Between Ocean Ave and Monterey Blvd/San Jose Ave - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-05-10 15:56,64.9,70,10,WNW,23,,Scattered Clouds
78,2,2016-05-12 9:43,2016-05-12 15:43,37.72297,-122.4477,37.72536,-122.4465,0.178,At Ocean Ave - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-05-12 9:56,57.9,87,9,Variable,4.6,,Overcast
81,2,2016-05-12 14:54,2016-05-12 20:54,37.764816,-122.40485,37.765404,-122.404859,0.041,At I-80 - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-05-12 14:56,64,67,10,WNW,19.6,,Mostly Cloudy
83,2,2016-05-12 16:11,2016-05-12 22:11,37.71403,-122.45152,37.71189,-122.45409,0.204,At Sickles Ave - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-05-12 15:56,64,65,10,West,19.6,,Mostly Cloudy
84,2,2016-05-12 17:40,2016-05-12 23:40,37.73473,-122.40638,37.74072,-122.40774,0.42,At I-280/Alemany Blvd - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-05-12 17:56,60.1,78,10,WNW,23,,Scattered Clouds
87,2,2016-05-12 18:32,2016-05-13 0:32,37.73007,-122.43918,37.731918,-122.432684,0.377,At Monterey Blvd/San Jose Ave - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-05-12 18:56,59,81,10,West,24.2,,Scattered Clouds
88,2,2016-05-12 20:47,2016-05-13 2:47,37.74492,-122.40505,37.75251,-122.40279,0.539,At Army St/Potrero Ave - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-05-12 20:56,57,87,10,West,15,,Mostly Cloudy
89,2,2016-05-17 7:47,2016-05-17 13:47,37.73137,-122.42359,37.7319,-122.41589,0.422,At Alemany Blvd - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-05-17 7:56,61,58,10,ESE,3.5,,Clear
90,2,2016-05-18 11:46,2016-05-18 17:46,37.77034,-122.409735,37.77018,-122.40894,0.045,Ramp to US-101 - Accident. Left lane blocked.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-05-18 11:56,71.1,63,10,WNW,13.8,,Scattered Clouds
93,2,2016-05-18 18:46,2016-05-19 0:46,37.7374,-122.40227,37.7335,-122.41211,0.601,At US-101 (San Francisco) - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-05-18 18:56,62.1,75,10,WNW,19.6,,Partly Cloudy
97,2,2016-05-21 23:56,2016-05-22 5:56,37.77188,-122.42346,37.77044,-122.42213,0.123,At Market St - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-05-21 23:56,55,74,10,WSW,9.2,,Mostly Cloudy
98,2,2016-05-22 14:23,2016-05-22 20:23,37.74492,-122.40505,37.76287,-122.40524,1.24,Between Army St/Potrero Ave and Vermont St - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-05-22 13:56,64.9,63,10,West,17.3,,Mostly Cloudy
99,2,2016-05-23 7:35,2016-05-23 13:35,37.76937,-122.41783,37.76966,-122.41729,0.036,At 13th St - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-05-23 7:34,55.9,69,10,West,12.7,,Mostly Cloudy
105,2,2016-05-26 14:51,2016-05-26 20:51,37.735302,-122.406745,37.74054,-122.407786,0.366,At I-280/Alemany Blvd - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-05-26 14:56,68,70,10,WNW,18.4,,Partly Cloudy
106,2,2016-05-26 16:27,2016-05-26 22:27,37.730019,-122.439314,37.73203,-122.43219,0.413,At Monterey Blvd/San Jose Ave - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-05-26 16:56,63,75,10,WSW,21.9,,Partly Cloudy
107,2,2016-05-26 16:31,2016-05-26 22:31,37.73235,-122.4141,37.736954,-122.402944,0.688,Between US-101 (San Francisco) and Army St - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-05-26 16:56,63,75,10,WSW,21.9,,Partly Cloudy
108,2,2016-05-26 20:30,2016-05-27 2:30,37.73473,-122.40638,37.74072,-122.40774,0.42,At I-280/Alemany Blvd - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-05-26 20:56,55.9,77,10,WSW,13.8,,Partly Cloudy
111,2,2016-05-27 11:14,2016-05-27 17:14,37.76542,-122.40486,37.77055,-122.40553,0.356,At US-101 - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-05-27 10:56,63,75,10,NE,4.6,,Partly Cloudy
115,2,2016-05-28 23:25,2016-05-29 5:25,37.77304,-122.40657,37.78231,-122.39608,0.859,Between 7th St/Bryant St and 4th St/5th St - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-05-28 22:56,57.9,70,10,WNW,10.4,,Partly Cloudy
116,2,2016-05-29 6:01,2016-05-29 12:01,37.76905,-122.40925,37.77055,-122.40553,0.228,Ramp to Exit 433C - Accident.,L,San Francisco,San Francisco,US/Pacific,KSFO,2016-05-29 5:56,53.1,80,9,West,5.8,,Partly Cloudy
117,2,2016-05-29 10:07,2016-05-29 16:07,37.77304,-122.40657,37.77579,-122.40504,0.208,At 7th St/Bryant St - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-05-29 9:56,64.9,58,10,ENE,4.6,,Partly Cloudy
121,2,2016-06-01 9:57,2016-06-01 15:57,37.76792,-122.40578,37.76624,-122.40526,0.12,At I-80 - Accident. Right lane blocked.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-06-01 9:56,63,84,10,NNE,9.2,,Scattered Clouds
123,2,2016-06-01 15:08,2016-06-01 21:08,37.74492,-122.40505,37.75251,-122.40279,0.539,At Army St/Potrero Ave - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-06-01 14:56,73,53,10,NE,6.9,,Mostly Cloudy
126,2,2016-06-02 10:33,2016-06-02 16:33,37.806018,-122.47436,37.805452,-122.473786,0.05,At CA-1 (San Francisco) - Accident. Right lane blocked.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-06-02 10:56,64.9,70,9,North,8.1,,Partly Cloudy
130,2,2016-06-06 16:04,2016-06-06 22:04,37.721741,-122.400576,37.721376,-122.400432,0.026,At 3rd St/Exit 429B/Exit 429C - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-06-06 15:56,66.9,59,10,WNW,23,,Partly Cloudy
132,3,2016-06-07 17:13,2016-06-07 23:13,37.73244,-122.41367,37.73303,-122.4121,0.095,Ramp to Alemany Blvd - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-06-07 16:56,66.9,63,10,West,16.1,,Mostly Cloudy
133,2,2016-06-07 17:18,2016-06-07 23:18,37.721113,-122.400344,37.721137,-122.400352,0.002,At 3rd St/Exit 429B/Exit 429C - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-06-07 16:56,66.9,63,10,West,16.1,,Mostly Cloudy
134,2,2016-06-08 8:43,2016-06-08 14:43,37.73473,-122.40638,37.74072,-122.40774,0.42,At I-280/Alemany Blvd - Accident. Left lane blocked.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-06-08 8:56,60.1,75,10,WSW,12.7,,Overcast
135,2,2016-06-08 8:39,2016-06-08 14:39,37.714955,-122.450441,37.714081,-122.451459,0.082,At Sickles Ave - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-06-08 8:56,60.1,75,10,WSW,12.7,,Overcast
136,2,2016-06-08 16:18,2016-06-08 22:18,37.73473,-122.40638,37.74072,-122.40774,0.42,At I-280/Alemany Blvd - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-06-08 15:56,66.9,59,10,West,19.6,,Mostly Cloudy
137,2,2016-06-08 18:02,2016-06-09 0:02,37.743076,-122.406502,37.742213,-122.407211,0.071,At I-280/Alemany Blvd - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-06-08 17:56,63,70,10,West,21.9,,Mostly Cloudy
138,2,2016-06-08 19:21,2016-06-09 1:21,37.73473,-122.40638,37.74072,-122.40774,0.42,At I-280/Alemany Blvd - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-06-08 18:56,62.1,72,10,West,24.2,,Mostly Cloudy
143,3,2016-06-09 22:45,2016-06-10 4:45,37.73235,-122.4141,37.74292,-122.397,1.186,Between US-101 (San Francisco) and Army St - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-06-09 22:56,59,75,10,West,17.3,,Partly Cloudy
147,2,2016-06-17 15:19,2016-06-17 21:19,37.760952,-122.406231,37.76287,-122.40524,0.143,At Vermont St - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-06-17 14:56,66,70,10,WSW,15,,Overcast
152,2,2016-12-03 16:09,2016-12-03 22:09,37.73174,-122.40434,37.72792,-122.40295,0.275,Ramp to Alemany Blvd - Accident.,L,San Francisco,San Francisco,US/Pacific,KSFO,2016-12-03 15:56,59,62,10,WNW,12.7,,Partly Cloudy
153,2,2016-12-03 16:09,2016-12-03 22:09,37.73235,-122.4141,37.73174,-122.40434,0.535,Ramp to US-101/James Lick Fwy Southbound - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-12-03 15:56,59,62,10,WNW,12.7,,Partly Cloudy
154,2,2016-12-05 13:21,2016-12-05 19:21,37.736362,-122.390099,37.737877,-122.389536,0.109,At La Salle Ave - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-12-05 12:56,54,77,10,NNE,6.9,,Overcast
156,2,2016-12-06 12:02,2016-12-06 18:02,37.73473,-122.40638,37.74072,-122.40774,0.42,At I-280/Alemany Blvd - Accident. Left lane blocked.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-12-06 11:56,54,59,10,ENE,5.8,,Mostly Cloudy
157,2,2016-12-07 8:51,2016-12-07 14:51,37.73473,-122.40638,37.74072,-122.40774,0.42,At I-280/Alemany Blvd - Accident. Center lane blocked.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-12-07 8:56,46,71,10,SSE,10.4,,Overcast
158,2,2016-12-07 9:09,2016-12-07 15:09,37.77188,-122.42346,37.77155,-122.42325,0.026,At Market St - Accident. Left lane blocked.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-12-07 8:56,46,71,10,SSE,10.4,,Overcast
159,2,2016-12-08 5:20,2016-12-08 11:20,37.71951,-122.44822,37.71974,-122.44819,0.016,At Geneva Ave - Accident. Right lane blocked.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-12-08 4:56,48.9,93,2,North,12.7,0.16,Light Rain
161,2,2016-12-12 15:36,2016-12-12 21:36,37.77304,-122.40657,37.77579,-122.40504,0.208,At 7th St/Bryant St - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-12-12 15:56,54,69,10,Calm,,,Overcast
162,2,2016-12-12 16:47,2016-12-12 22:47,37.733732,-122.406008,37.73385,-122.40608,0.009,At Bacon St - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-12-12 16:56,53.1,71,10,Calm,,,Overcast
164,2,2016-12-13 5:37,2016-12-13 11:37,37.76967,-122.41598,37.76969,-122.41621,0.013,At Van Ness Ave/Duboce Ave/Exit 434A - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-12-13 5:56,51.1,80,10,SSW,3.5,,Mostly Cloudy
165,2,2016-12-13 6:57,2016-12-13 12:57,37.71145,-122.39556,37.71868,-122.39939,0.542,At 3rd St/Exit 429B/Exit 429C - Accident. Left lane blocked.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-12-13 6:56,51.1,77,10,ENE,4.6,,Mostly Cloudy
166,2,2016-12-13 7:03,2016-12-13 13:03,37.76792,-122.40578,37.76624,-122.40526,0.12,At I-80 - Accident. Right lane blocked.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-12-13 6:56,51.1,77,10,ENE,4.6,,Mostly Cloudy
167,2,2016-12-13 7:05,2016-12-13 13:05,37.74063,-122.40793,37.73515,-122.40685,0.383,At I-280/Alemany Blvd - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-12-13 6:56,51.1,77,10,ENE,4.6,,Mostly Cloudy
171,2,2016-12-14 6:59,2016-12-14 12:59,37.76792,-122.40578,37.76624,-122.40526,0.12,At I-80 - Accident. Right lane blocked.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-12-14 6:56,55,89,10,Calm,,,Overcast
172,3,2016-12-14 10:02,2016-12-14 16:02,37.736475,-122.407578,37.73544,-122.40701,0.078,At US-101 (San Francisco) - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-12-14 9:56,59,87,10,SE,9.2,,Mostly Cloudy
173,2,2016-12-14 10:41,2016-12-14 16:41,37.807779,-122.476299,37.806422,-122.474785,0.125,Between Golden Gate Brg and Merchant Rd - Accident. Left lane blocked.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-12-14 10:56,57,89,10,East,5.8,,Overcast
175,3,2016-12-15 4:57,2016-12-15 10:57,37.77544,-122.40593,37.7734,-122.40684,0.149,At 7th St/Bryant St - Accident.,L,San Francisco,San Francisco,US/Pacific,KSFO,2016-12-15 4:56,57.9,78,6,SE,12.7,0.02,Light Rain
176,2,2016-12-15 7:05,2016-12-15 13:05,37.73137,-122.42359,37.7319,-122.41589,0.422,At Alemany Blvd - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-12-15 7:01,57.9,78,9,SSE,12.7,0,Light Rain
177,2,2016-12-15 9:57,2016-12-15 15:57,37.74063,-122.40793,37.73515,-122.40685,0.383,At I-280/Alemany Blvd - Accident. Left lane blocked.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-12-15 9:56,57,89,8,SSE,15,0,Light Rain
178,3,2016-12-15 12:56,2016-12-15 18:56,37.73137,-122.42359,37.7319,-122.41589,0.422,At Alemany Blvd - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-12-15 12:56,60.1,86,1.5,South,24.2,0.05,Rain
181,2,2016-12-15 16:39,2016-12-15 22:39,37.72297,-122.4477,37.72536,-122.4465,0.178,At Ocean Ave - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-12-15 16:31,60.1,86,1.5,South,27.6,0.12,Rain
182,2,2016-12-15 19:32,2016-12-16 1:32,37.72297,-122.4477,37.72536,-122.4465,0.178,At Ocean Ave - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-12-15 19:29,60.1,86,5,South,18.4,0.01,Light Rain
185,3,2016-12-16 21:33,2016-12-17 3:33,37.765912,-122.40523,37.74731,-122.40446,1.286,Between I-80 and Army St/Potrero Ave - Accident.,L,San Francisco,San Francisco,US/Pacific,KSFO,2016-12-16 21:56,48,58,10,WNW,15,,Partly Cloudy
186,2,2016-12-19 6:37,2016-12-19 12:37,37.7374,-122.40227,37.7335,-122.41211,0.601,At US-101 (San Francisco) - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-12-19 6:56,37.9,83,10,SW,3.5,,Partly Cloudy
187,2,2016-12-19 13:39,2016-12-19 19:39,37.800774,-122.469504,37.796303,-122.469577,0.309,Between US-101 and General Douglas MacArthur Tunl - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-12-19 13:56,53.1,43,10,North,4.6,,Scattered Clouds
188,2,2016-12-20 18:38,2016-12-21 0:38,37.712817,-122.45296,37.712817,-122.452961,0,At Sickles Ave - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-12-20 18:56,53.1,61,10,North,5.8,,Partly Cloudy
191,2,2016-12-21 18:54,2016-12-22 0:54,37.765044,-122.40485,37.766358,-122.40503,0.091,At I-80 - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-12-21 18:56,55,69,10,NNE,4.6,,Partly Cloudy
194,2,2016-12-22 15:39,2016-12-22 21:39,37.77304,-122.40657,37.774007,-122.406328,0.068,At 7th St/Bryant St - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-12-22 15:56,55.9,67,10,WNW,6.9,,Partly Cloudy
195,2,2016-12-22 18:36,2016-12-23 0:36,37.72297,-122.4477,37.72536,-122.4465,0.178,At Ocean Ave - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-12-22 18:56,48.9,86,10,WNW,10.4,,Scattered Clouds
196,2,2016-12-23 4:26,2016-12-23 10:26,37.72297,-122.4477,37.72536,-122.4465,0.178,At Ocean Ave - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-12-23 4:56,52,63,9,ESE,12.7,0.08,Rain
197,2,2016-12-23 13:50,2016-12-23 19:50,37.72297,-122.4477,37.725605,-122.446336,0.197,Between Ocean Ave and Monterey Blvd/San Jose Ave - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-12-23 13:56,53.1,86,8,West,19.6,0.04,Light Rain
198,2,2016-12-23 15:08,2016-12-23 21:08,37.771961,-122.406331,37.77579,-122.40504,0.274,At 7th St/Bryant St - Accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2016-12-23 14:56,53.1,80,9,West,19.6,0,Mostly Cloudy
